param,rhat,means_by_seed_1,means_by_seed_2,means_by_seed_3
gamma1,1.06466168784301,0.514446594026927,0.556416260879939,0.513858605443685
gamma2,1.36673663061344,-0.278054387886314,-0.220330832278417,-0.169722079327445
xi1,1.49529776050587,-0.258070162164072,-0.357108207691867,-0.221346200048977
xi2,1.55230359564343,-0.14138379789011,0.0877949269697417,-0.040923083261698
rhoU,1.34471513702501,0.655336926921065,0.823142380243301,0.765985015638693
theta1,1.91889813713961,0.180030494509716,-0.0803350243768933,-0.0444761629659479
theta2,1.92149425935909,-0.0897884986762777,0.170911523545542,0.137879385751325
rhopr,1.68892062708799,0.929194335544917,0.709894402121213,0.819660499986711
lam1,1.01485079996607,0.335473082260963,0.34924332275405,0.309367690973575
lam2,1.09192961847749,-0.137672568850384,-0.16313395791507,-0.0372275887117916
rhohpp,1.40363435594353,0.597955748305271,0.507107549839396,0.282156725795797
chi1,1.25337566003924,0.0333841992879866,-0.00493205775458302,0.0197965030277648
chi2,1.07553083802403,0.0171018848557321,0.0364124440401625,0.0260388950440302
rhok,1.12087702860303,0.960943626144483,0.936601727116387,0.969038961989397
rhow,1.83610052790355,0.971826960229613,0.982867228056196,0.893820067379514
phisum,1.10075748712559,0.918400867938211,0.903930857085365,0.936878517543249
phi2,1.32699358048282,-0.135758861560639,-0.361911611912404,-0.160547826108895
nu,1.0213648487571,-0.00970828920521714,-0.0201872498188973,-0.0131713506118631
alpha,1.0958099910897,0.324302280718298,0.350944769791907,0.339189331173228
gtrend_sum,2.07742964545138,0.477082659484759,0.709127491804587,0.526364435190241
gtrend_split,1.25483120699032,-0.267735372712162,-0.31042718299153,-0.135972761894611
pistar,1.2671724953875,2.26209422900808,2.45452519195258,2.52843488878449
alphapi,1.28560161161749,0.0876957655159023,0.106407762360004,0.158327285069943
phiy,1.37071782629708,-0.0329459504577807,-0.0415726304682017,-0.0642782315351073
phiu,1.02614148938937,-0.00990385838073627,-0.00869487565569517,-0.00993994487354155
phipr,1.01270965132016,-0.00123847821646864,0.00161670239360599,-0.000915753648597805
phihpp,1.71108194237171,0.0180509800436777,0.0207276464938254,-0.0221564443842349
phik,1.12010886584711,-0.000968437290896681,0.000973015703597307,-9.85146077952679e-05
sig_c,2.05165541792068,0.378693036465457,0.331102231141923,0.47556406303883
sig_Ustar,1.02419206972414,0.0953091931253225,0.0936985298011956,0.0992396660283949
sig_pie,1.03908561939905,0.227305236945429,0.234583616199337,0.222114853607679
sig_z,1.11432596622688,0.383294333948247,0.38811094676457,0.349319793983649
sig_gz,1.18088712127203,0.0429870557728901,0.0484525528086313,0.0569427522313103
sig_k,1.12732587256851,0.0774756099029062,0.0851874395900257,0.0801593435953583
sig_gk,1.58283686955189,0.0351228344246722,0.0456181975815259,0.0370998465446782
sig_w,2.67793111290047,0.0576440601272645,0.0592207339898226,0.0870137820721906
sig_gw,2.19378231976871,0.0378843653882609,0.027933219116941,0.0438713564515717
sig_hpp,1.16572010137786,0.255258697705249,0.248003310333501,0.284928296572282
sig_ghpp,1.12115630408489,0.0401857273727363,0.0328852885086199,0.0358084110194479
sig_pr,1.37252202616887,0.225578985456109,0.183678836536005,0.192566514642338
sig_gpr,1.81028161857676,0.0341027318373218,0.0332444148947931,0.0534758288344657
sig_xi,1.0210490452958,0.152699086718291,0.140049044121602,0.145883058215618
sme_y,1.41369377119306,0.314916918469627,0.312764311232024,0.259158434037775
sme_pi,1.00656241453764,0.715473901837105,0.711586012894911,0.704608893220724
sme_w,2.58398976018423,0.0568712294614188,0.0649524709287856,0.0860415790557215
sme_U,1.05183460274713,0.1295127192768,0.138063593761141,0.13494587361398
sme_pr,1.08587812147075,0.221670654127923,0.227044064047366,0.239636220416334
sme_hpp,1.33470928279175,0.323342900386795,0.360361587369197,0.31301290959563
sme_k,1.04194705903347,0.0638860546049909,0.0675335314420343,0.0661546015245953
sme_pieobs,1,0.3,0.3,0.3
m84_y,1.09240023813151,1.33787305212686,1.12267759547233,1.43692866329229
m84_z,1.04595481673101,1.94487802472059,2.09273681692345,1.8611399149532
m84_c,1.20961412603164,1.69018359827683,1.80847373267339,1.37296828285438
m93_pi,1.08330030550494,1.49719266842318,1.42512006092585,1.60049814432527
m93_U,1.33092234949661,1.84736495283866,1.4878137943878,2.31937470519863
kapc_2021,1.05741810256169,3.74994765951945,3.78706317823831,2.89607221731634
kapy_20,1.21700278491994,6.6875769762888,7.07926859869174,11.4742645104695
kapy_21,1.24248206462277,3.49593702390288,7.1248639235545,7.00847537569509
kapu_20,1.08575698984227,7.42261383336788,8.0519402755794,5.3883602962749
kapu_2122,1.51543566827514,1.66693159969366,1.37286674264064,2.48232607744095
kappr_20,1.05781210570507,8.15248592776508,8.3431014201223,7.03612066803275
kappr_2122,1.77832605073218,1.49500361731686,2.48680971763775,4.34679142086187
kaphpp_2022,1.12057405941992,4.58144534150311,3.71725273012285,4.82416950103031
kappop_2021,1.16382009963871,5.48886356727476,4.30918989294496,3.72893431513403
kappi_2023,1.09444641453408,2.19879823075061,2.44280773956707,1.98821014883996
