stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_la_w2020
1,0.00647187082565322,1999.99999999998,1000,0.188125,9.00622841666667,-8.1789736947748,2,4500,500,9,0.609558716779407,-0.19673229567107,-0.273489364194292,-0.282138243424884,0.546161783476646,0.261989834101524,0.22097710289162,0.513450876903006,0.24154881190122,0.218049676004144,0.487725969637408,0.0223552763613562,0.0146292754076515,0.487678031160136,0.495724583326498,0.514812645385289,-0.218319973571405,-0.0931365403901642,0.351971957047081,0.296541746520913,0.390241563277364,2.49651170962845,0.433335643128156,-0.0756498869550408,-0.0342977630387577,-0.00161290811785374,0.0113404184771159,6.97156103015253e-05,0.692944268682547,0.140277491726888,0.276132045502189,0.475360175572939,0.046916019617414,0.268186953127102,0.0474539425492764,0.179148435886182,0.047086312918591,0.374939320238501,0.0460453741423293,0.280651905896207,0.0473884573933443,0.143408795310426,0.538493633739585,0.899715052488593,0.179293174419165,0.239689386321912,0.283294456639466,0.461835174077534,0.186465961528902,0.299999999999999,1.70940768646589,1.71783375129086,1.59680434343015,1.74612958740782,1.78360377900551,2.94223672277761,3.25192520113609,3.02437883126086,3.50604544730533,2.83211386298273,3.56179573811302,2.87738650586235,3.17816595679057,2.97039629671871,2.91897104752544,3.50339931646222,2.98969649741227,0.963726161901988,0.687258249051407
2,0.0151979075200469,4500.00000000003,2250,0.29175,9.61324133333333,-9.97602298983864,2,4500,500,9,0.58631720388273,-0.199599828600302,-0.24891301716756,-0.253911989389535,0.582960796942226,0.285097168325176,0.197732985335242,0.516819827391033,0.208423364308867,0.239808035608557,0.504318335752237,0.0537972379328725,0.0240510913620432,0.467505219029967,0.514880875884614,0.514742096029392,-0.18672075267905,-0.0993375081599984,0.353210209720394,0.287938011285691,0.379716771949264,2.49998959130382,0.37360520831509,-0.0704433764548714,-0.029759025965302,-0.0039272140287896,0.0136708474996411,-0.00209805083214645,0.628218783512217,0.142629797500377,0.269659993952689,0.474862073353198,0.0483751178465208,0.254770476233061,0.0473031767693119,0.174879749203878,0.0451710718556542,0.359750401966829,0.0446281364220532,0.274297648393278,0.047284170310255,0.14435304372614,0.526518810949317,0.857075980719419,0.16542506835634,0.233422610866121,0.281111252646774,0.447972523153018,0.182271949970436,0.299999999999999,1.70605911588623,1.70332156453168,1.57820974494714,1.74228964590248,1.76679142337961,2.9818006502071,3.30416935728183,2.96693626787887,3.42249926381513,2.93303373394244,3.67547156588467,2.95390010635245,3.30321305076288,3.02203267001488,2.97359606476205,3.33619930183982,3.07481097969908,0.96110124786001,0.723098654256694
3,0.0263256584466144,4500.00000000003,2250,0.31175,9.88163625,-11.7367475102606,2,4500,500,9,0.571866341050967,-0.208143951604231,-0.276538358573304,-0.202049764168698,0.621297006509761,0.343561894814936,0.204101845009032,0.531819326686025,0.159335527077604,0.302304935334128,0.52352075987796,0.0455870612449707,0.0380892316108326,0.471979840977467,0.528007241544437,0.50903021448986,-0.167646642381034,-0.103221722955744,0.357806163850791,0.280067991971168,0.369430577241961,2.47273342047338,0.343394692794077,-0.0664932487865525,-0.0275295460619806,-0.00402353443465085,0.020007377173193,-0.00274545049865397,0.579417441403567,0.142206730206248,0.269705413783868,0.46277975384585,0.0502304863226126,0.243853959599845,0.0474788801315007,0.167094109958661,0.044708579375115,0.351962329154892,0.0426038966090278,0.268864089752729,0.0472326207079782,0.145351703000891,0.515140796063998,0.865223745053714,0.155758314044962,0.225619685935165,0.274040172039078,0.434375709190627,0.177529898249176,0.299999999999999,1.6303871981516,1.74105834526832,1.61214665396609,1.66552679964261,1.75958798801049,2.91823867083291,3.36005834150981,2.99465988305621,3.46249683767046,3.04094110695511,3.74237047289758,2.87217149196328,3.19728758748233,3.00191140319884,2.89845718669714,3.15633759637711,3.05656666950628,0.948556072340774,0.699378989428037
4,0.0405950623138858,4500.00000000003,2250,0.353,9.68143620833333,-14.0083015976735,2,4500,500,9,0.542805515789296,-0.212712078712212,-0.3255378316339,-0.168869282205817,0.670849236651309,0.388051291165024,0.277087531466879,0.551233339255689,0.124056474061607,0.337990608871645,0.540030148173307,0.0316106806532317,0.0699346826090113,0.468249544408022,0.52896951503791,0.509981643977384,-0.137480329898409,-0.0957051115261669,0.361714253097021,0.270453783424941,0.347786745684009,2.42086845803552,0.293925694363719,-0.0637922138341451,-0.0264048575936572,-0.00708806639091547,0.0230844197620834,-0.000186415996829172,0.558582519336001,0.142170813746791,0.26392326083697,0.453538840538159,0.0502402090224917,0.227693704122279,0.04679397649834,0.159396143187749,0.043421199416207,0.346100912846918,0.0411804900669966,0.267661717055253,0.0456245391224406,0.144469915026001,0.492685370071239,0.874310041844684,0.148838779553811,0.218908562509166,0.262928951611782,0.422302790131621,0.174949628389487,0.299999999999999,1.56136685193498,1.79333425229178,1.57700720186111,1.57095271594383,1.7290289389035,2.87099032244621,3.40002254223691,2.89591332784327,3.48667445075867,3.17131737699222,3.79230416291129,2.76719924829555,3.0843986809655,3.01851113395786,2.68564582470402,2.95292987821348,2.99382801446353,0.942445740129606,0.712543529838121
5,0.0560714052690837,4500.00000000003,2250,0.267875,9.61066266666667,-14.1616934697271,2,4500,500,9,0.515731984727654,-0.209254021776075,-0.308100631118971,-0.169917895718377,0.719654606210166,0.382557444296328,0.26407176820639,0.563642518313934,0.112015528996704,0.326326486270978,0.570573415152306,0.025954387240661,0.0732093284717764,0.457991892329355,0.580871516860362,0.539537613115752,-0.140325945099984,-0.0980102087000227,0.364391419024504,0.273699969534971,0.334647410822347,2.41672636096117,0.275430890695106,-0.0585265644755016,-0.0233211244529868,-0.00967563229850278,0.0214752954937946,-0.000183644736746552,0.541456385947322,0.142654108658351,0.261507119422589,0.442001175891297,0.0497817356162178,0.217535084734696,0.0458553340629319,0.153046309561989,0.0431371418876993,0.348792650106943,0.0404369871437683,0.266658210743568,0.0452060109579374,0.143454782113868,0.480629742377663,0.867386862739923,0.143860813866386,0.213693065526349,0.251176871070674,0.412424206657097,0.168557804026746,0.299999999999999,1.48593291729924,1.83469227892872,1.50222432567881,1.53004143330414,1.66465732247292,2.92227995535101,3.36893882272118,2.90502835869671,3.56372563742519,3.08964647498282,3.76003174762577,2.6790466449443,2.90397640708966,2.99268605825734,2.54452495165101,2.69577372281881,3.00096825717486,0.952924736535657,0.755052373383605
6,0.0711523762469937,4500.00000000003,2250,0.260875,9.598599875,-12.9246912300605,2,4500,500,9,0.511845347170624,-0.213197914040143,-0.298887429220321,-0.141835746647733,0.764444625039165,0.310167259134817,0.211620020787966,0.579216995792226,0.12392773774881,0.299269385366536,0.576649539315934,0.014132190980033,0.0605670539418944,0.458663307473894,0.671727454568734,0.585604810110848,-0.157479016443184,-0.0993524552131967,0.361323119424857,0.277236845786246,0.329228365322802,2.42123359261453,0.262349558378581,-0.0541275184750693,-0.0191968228063204,-0.00973021153056392,0.0217070113925059,0.00119568295572517,0.52636374987025,0.143349716654963,0.258085826469684,0.428280584329514,0.0498615533724028,0.20859159244487,0.0448171768925537,0.14537759774539,0.0432685876759613,0.356436442956194,0.040480145066473,0.26425300125916,0.0452521656202065,0.139506191776617,0.468174640270412,0.856290029254107,0.141003888057363,0.206912183226205,0.249223682855984,0.405496406981762,0.159492870790047,0.299999999999999,1.44908801153064,1.84336234377776,1.4469980129798,1.53862761728184,1.61863325564496,3.04314410237558,3.27796596466837,2.9189215061099,3.71006519931598,2.91085122699393,3.74432847634839,2.73917344754766,2.83973856409248,2.9842444371857,2.40979630991079,2.64696530130683,3.12773094969126,0.967752046684316,0.772004219816667
7,0.0861878953836893,4500.00000000003,2250,0.27025,9.71279441666667,-12.0119044915853,2,4500,500,9,0.501316071885091,-0.217287420192075,-0.309096681878126,-0.133200183621731,0.781285763353338,0.217879081934098,0.160997410783575,0.58002990282698,0.133163167577983,0.233802903876705,0.575423586589948,0.0200496870726761,0.0574752293140961,0.471059730795891,0.766377438857739,0.618347736128558,-0.149683718468816,-0.0967469375408829,0.359092311035551,0.278469110261,0.331195317044932,2.43853485833433,0.240516532711012,-0.0487427898771243,-0.0162442522022286,-0.00932052446635991,0.0176183399044613,0.00138116599154843,0.513226765773534,0.140982822207472,0.25440322757332,0.420343424759626,0.0491251985568432,0.204308191655114,0.0439072426098887,0.137623473735848,0.0423003128089663,0.364307114016267,0.0408027065445874,0.25679321877979,0.0457213710867417,0.132207463758833,0.457345684668497,0.837269279279137,0.138139640937149,0.197944595412157,0.248767443796897,0.396121744334967,0.149574832564336,0.299999999999999,1.4507520136557,1.8441580634648,1.39660418634296,1.55755530659774,1.60937737046306,3.17263397586175,3.19106013615263,2.81648715442339,4.076806450646,2.67945343434104,3.80415140203835,2.94482246256655,2.83972173283352,2.9944539334866,2.22362214110085,2.62694232445327,3.17160287195442,1.00428583260077,0.732286449202954
8,0.102548690128274,4500.00000000003,2250,0.2785,9.66610216666667,-12.1261649739584,2,4500,500,9,0.477821363845752,-0.216524990920355,-0.329618574337017,-0.131067535336834,0.778513419662017,0.122030408782375,0.114349884458899,0.576137071524838,0.170420402043011,0.131472385077012,0.559023928470647,0.0268699672741939,0.0576433683682594,0.534790046143941,0.834006834188811,0.647372197373452,-0.100610440271432,-0.0892908553847072,0.356863855348438,0.280695809765076,0.323734112817342,2.44644684231327,0.220501691539448,-0.0442681164853473,-0.0133463294767162,-0.0097894455411404,0.0141373444281483,0.00141331781606697,0.491895183090299,0.140023656331367,0.249397270236838,0.423598854899329,0.0494471789813677,0.19775459864525,0.0428759299301432,0.129795001678214,0.0410441897704641,0.369431370836602,0.0411262217857831,0.253742594454983,0.0463727396287446,0.126757236971959,0.444319418475269,0.814772086867284,0.1330687064601,0.185080082157949,0.244968677395308,0.38828474222732,0.142022303645439,0.299999999999999,1.47389868731746,1.80955286500352,1.32204477144169,1.5928358215285,1.62765527980962,3.26847131676401,3.06030727063078,2.82424836639836,4.75369120970187,2.62148928213717,3.97048493754346,3.26926658729351,2.70395419520879,2.77248412409141,1.97596922517368,2.59975582444424,3.1604948327299,1.06006621766732,0.65964996320416
9,0.123930385108285,4500.00000000003,2250,0.302625,9.74840891666667,-14.6689126421191,2,4500,500,9,0.454936339137697,-0.213627402532619,-0.324806048108335,-0.138146446207313,0.772316947037956,0.0377954826627338,0.108044730376548,0.596359895657001,0.199813379576125,0.0415452164750371,0.538617948274088,0.0474478845801783,0.0446571196856946,0.626801196708186,0.85959094939289,0.683991013303777,-0.0504111844821108,-0.0788869207632896,0.355482278744101,0.273134087130697,0.312695564800513,2.43691767393544,0.194808206930654,-0.0426606486012139,-0.0112867358659362,-0.0108219861020206,0.010772007352543,0.00236385271497435,0.48059212760015,0.139351975444625,0.247302419407687,0.415175488901082,0.0503805424193411,0.187073365689446,0.0425936270056631,0.123903826894442,0.0394022135969119,0.362950502798571,0.0418377007653961,0.253764525613164,0.0463389787398926,0.122918597511876,0.436525175592826,0.793978154794478,0.129106499153872,0.17363717108387,0.240489356466269,0.374974921255746,0.136001157008735,0.299999999999999,1.42559184066714,1.78132341892329,1.25107286539426,1.58392573670592,1.75936931360928,3.41295580845938,2.87397981737518,3.08184495071717,5.43657852302568,2.64586691261518,4.30326455222983,3.41245304065069,2.5800377964209,2.54816732917234,1.93559368005782,2.63405048465631,3.14459595168505,1.08594780780075,0.576670491385719
10,0.150697232115872,4500.00000000003,2250,0.303125,9.7351505,-17.1962895827374,2,4500,500,9,0.439376123176417,-0.212332460388105,-0.318596258882463,-0.149454650058635,0.769276242838061,0.00153800922907489,0.104520769009836,0.605272941071815,0.214815294629056,-0.0175203367178879,0.518750579026563,0.0533754171889009,0.0371972751858413,0.703023704207136,0.862637106429114,0.730588914504772,-0.0288389278762732,-0.0631564004098726,0.356012638839308,0.264652847994944,0.303885668421699,2.42326967569557,0.17820740268583,-0.0434505022519977,-0.00982980911285335,-0.0135037029569539,0.0101561640475921,0.00240639682628221,0.462716083676669,0.137969982579119,0.244657671583329,0.411562918052898,0.0507424090908131,0.17847568032352,0.0430172796016746,0.12108643361877,0.0386661373971,0.347454264602005,0.0417734500175438,0.255269267025044,0.0452938441047749,0.120632222231777,0.423381466648803,0.777361054570752,0.125381119718951,0.162560500879989,0.239460123704937,0.363207289760403,0.132954501800068,0.299999999999999,1.40129498252355,1.76801040101656,1.20361567714924,1.58634910270451,1.8358414344811,3.40138068333971,2.85667760338725,3.28556593083881,5.6036219556397,2.72018494860042,4.65693616073822,3.53518743383095,2.50353661907656,2.36923153287518,2.0040327893387,2.71283392669293,3.14154189658453,1.09182994371196,0.519410738437017
