param,prior_sd,post_sd,contraction,prior_q05,prior_q95,post_q05,post_q95,flag
alpha,0.0501140013785365,0.0612913865546376,1.22303916806947,0.267364427674909,0.432435665487883,0.207312278539626,0.407551652319846,prior-dominated
kapHyp_lm_w2021,0.500179268397383,0.582697354585088,1.16497702204272,0.0965468435910217,1.74212483963484,-0.313408905306918,1.55844796236128,prior-dominated
kapHyp_la_w2023tot,0.596742083626242,0.6110955036726,1.02405297102416,-0.287543822845791,1.67535893855526,-0.566973199342237,1.4571601665877,prior-dominated
kapy_21,2.90504006632088,2.9529502453823,1.01649208891019,1.11381944344207,8.56863958696538,1.26370792690185,10.2978943133335,prior-dominated
kapHyp_la_w2022tot,0.600190758130403,0.587967958662036,0.979635142156402,-0.290566292907091,1.6844715938164,-0.280288929048979,1.56408700738487,prior-dominated
kapHyp_lm_w2022tot,0.499822547616269,0.450941141652594,0.902202479266296,0.0906747199403178,1.73695849555818,0.524426138700402,1.97263096476952,prior-dominated
kapHyp_la_w2122,0.600722584615415,0.518165885802851,0.862571008770351,-0.295128462645475,1.68229781730804,0.0222567858949675,1.67757527957577,prior-dominated
kapy_20,2.92515428509514,2.47535506751528,0.846230600597113,1.11176955080408,8.58777833033467,1.6661980313291,9.42375119106923,prior-dominated
kapHyp_la_w2021,0.602649599958358,0.507870743491391,0.842729744658396,-0.302768948810842,1.68314264584672,-0.23693036017268,1.45391601984598,prior-dominated
kapc_2021,2.88110316599991,2.41615307060103,0.838620809943293,1.11579040320042,8.63596973583412,1.98788090256894,9.46664932120748,prior-dominated
kapHyp_lm_w2023tot,0.498949850061049,0.417753376781038,0.837265261688972,0.0949811311395454,1.74084537814072,0.0330439771386377,1.35363559164066,prior-dominated
kapHyp_la_w2021tot,0.60111424783327,0.502300927873573,0.835616406838015,-0.297783559957546,1.67895927494997,-0.0847206654868511,1.55977022039991,prior-dominated
kappr_20,2.92409787615013,2.38062302589906,0.814139309534124,1.11483145483768,8.63997159253299,4.92317342818052,12.3017731206675,prior-dominated
kapHyp_lm_w2122,0.500474999680341,0.390061097221326,0.779381782247789,0.093817628551309,1.73835670840276,0.027591441753156,1.3128798279334,prior-dominated
kapk_20,2.9168507861695,2.19103834939113,0.751165729759002,1.11223685333739,8.59640325881285,1.39579586146309,7.71382161568994,prior-dominated
kapHyp_la_w2020,0.598505881240268,0.448922199014464,0.750071491501762,-0.283282339411686,1.68274984175647,0.119593081679595,1.59486463473645,prior-dominated
m93_U,0.907518147502991,0.650812141594008,0.717134024685565,0.662731976749761,3.42425693736097,0.769548499593548,2.83218620197061,prior-dominated
sig_xi,0.0509434410074851,0.0350956650284463,0.688914300533599,0.0845451749353557,0.234071741446616,0.0848270123509082,0.199184057994393,partially-identified
kapk_21,2.89057984196577,1.94178123562526,0.671761840802408,1.11585532209331,8.58739575342455,1.15167415073658,6.7081041825195,partially-identified
sig_gz,0.0169547790757238,0.0113136358018087,0.667282997394392,0.028141885607207,0.07813957809742,0.0280794676836693,0.0648204244357782,partially-identified
kapHyp_lm_w2021tot,0.499452066735876,0.30308799839563,0.606841013545973,0.0924882185512089,1.7387344064914,0.834193883609994,1.81248034467424,partially-identified
m84_z,0.912043688933072,0.552005047033524,0.605239698198308,0.660568600507843,3.43022179322267,1.54647751881068,3.37207819535844,partially-identified
kapHyp_lm_w2020,0.500012533661854,0.294892780343243,0.589770776711513,0.0924132759684451,1.73662003419792,0.760233210579412,1.74238369966646,partially-identified
kappop_2021,2.90962770958251,1.64423455518492,0.565101352922173,1.11321922767162,8.58243505112983,2.03598032098309,7.18455454894534,partially-identified
kapu_20,2.89160109795968,1.60606711452161,0.555424852914483,1.1126029753759,8.61669187182746,1.67785186920618,6.40699818875952,partially-identified
rhohpp,0.299655073755196,0.165623482097839,0.552713758596811,0.0395021118734194,0.961385891989448,0.0833135697944216,0.659283469714941,partially-identified
gamma2,0.0999489263213015,0.0550124966314497,0.550406078946796,-0.384217872325409,-0.061194769455711,-0.347857448707511,-0.167852705365677,partially-identified
