stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot
1,0.00615175980647325,1999.99999999998,1000,0.195625,9.75773870833333,-7.76232766325805,2,4500,500,9,0.595202864043746,-0.198188022170222,-0.2761413395838,-0.225447127617718,0.567608400288971,0.231714081562432,0.265676678070074,0.489407432745114,0.256168844278055,0.221467819789042,0.495128784272854,-0.00664427366159724,0.0280108801163807,0.49449685660476,0.530558918695995,0.532487336195157,-0.164065471772592,-0.0875815668541363,0.350130338030666,0.295648087223667,0.399350588303805,2.53994505634179,0.439397643487863,-0.0758072305071865,-0.0354275153884053,-0.00136542952385079,0.00266853818936249,0.00401128148698728,0.678772047088082,0.143671043313424,0.280016821179864,0.462945299008909,0.0460480592717967,0.268590758651095,0.046957005487429,0.178141989623965,0.0470121540110341,0.371897756400723,0.046712151786408,0.282244590257032,0.0476421963739153,0.136281628258096,0.537828440537254,0.911882549169566,0.176552616180486,0.230657179499645,0.27463242505915,0.472347237180035,0.186727084537574,0.299999999999999,1.67707456740029,1.69536521425667,1.66735152601943,1.64987782370873,1.68931038988712,3.45916868895961,3.65854310897529,3.32523635907562,3.7267370384862,3.39845672435639,3.68607353169173,3.26801713578041,3.08233234209526,3.31488480069939,2.82060719995412,3.47380359081656,3.49833429331911,0.956738226420996,0.93760454887017,0.927222354172198,0.926039293234187,0.663625354905953,0.68618128011971,0.707632061926147,0.722657159335203
2,0.0139410211836228,4500.00000000003,2250,0.294125,10.2954437916667,-8.89824211688401,2,4500,500,9,0.572014079481227,-0.198864022331771,-0.274714267222734,-0.239432367602969,0.622031460177323,0.207023913822488,0.18554441249172,0.519179855509281,0.307227590594396,0.22563958959381,0.514689496746428,-0.00782959829937995,0.0745205729064262,0.497886653842408,0.566086022491743,0.554381122187723,-0.140137500298207,-0.0939139657206812,0.349026832016165,0.280948368799619,0.386595137472663,2.56208181217211,0.405898216874368,-0.0722945240685956,-0.0333204826373491,-0.000880053417040179,0.00389452848668115,0.00351060668265129,0.623641060113734,0.14604538550687,0.285109083763752,0.456184858099799,0.0460905901524455,0.256111896920283,0.0475980507019245,0.171006692300069,0.0465465019850211,0.371917020014996,0.0458521836322717,0.274300699824801,0.0479879084432461,0.132731105469765,0.511143748904948,0.883970218854965,0.165911190700052,0.227583122083187,0.266996094582192,0.453993432679599,0.17516050392609,0.299999999999999,1.67409602786341,1.70281299389651,1.62456824929465,1.61234637722147,1.68822249271137,3.41899828685045,3.71768090219228,3.61255985897888,3.7078201386148,3.304084439736,3.79294010021658,3.05997533215805,3.18448856911204,3.23988099778942,2.6927603590267,3.18773994686203,3.33681026525405,0.960263110143835,0.911706074845451,0.914303573299346,0.939748588709244,0.689352261968601,0.680526939969416,0.751972163057394,0.738780745824636
3,0.0232245627973057,4500.00000000003,2250,0.335,10.1643521666667,-9.69869322938413,2,4500,500,9,0.563747103781146,-0.203628606035986,-0.256286940096984,-0.257573224173217,0.688341109861765,0.198137254374133,0.0981867744388187,0.561407938914068,0.323541289986263,0.246092646714536,0.502568566302007,-0.0361360360173277,0.141983718789741,0.527343068163575,0.60086636109525,0.593632015977589,-0.0851463071362037,-0.0788052692274562,0.348715519402942,0.256717746197204,0.381813445592021,2.54635702480418,0.383879841773564,-0.075135257162396,-0.030326310549517,-3.94479405058074e-05,0.00718508226223597,0.00395888942236604,0.582850384665494,0.146012843237428,0.30153807324638,0.463619435884353,0.0465215469729918,0.243751749487303,0.0476628338887236,0.164740930107277,0.0447646387651851,0.376214746295045,0.0444073527171172,0.263635159664961,0.0484233069647866,0.128260142835345,0.488753490529902,0.882880643321785,0.153988975659267,0.22064862979563,0.25919916954276,0.424837788137867,0.161284310927538,0.299999999999999,1.63898115002782,1.76371129870272,1.60322902289052,1.61072744720698,1.64591993983791,3.41648042345628,3.46940098940178,3.82710605897241,3.23694000712417,3.49312138396146,3.90915461549928,3.07623370581596,3.24167704893979,3.37484778791361,2.58311691792982,3.04394466047795,3.4851244958122,0.975970952451706,0.902256200236356,0.922393703354244,0.987374200577662,0.727616354346533,0.682883800974818,0.837325228365571,0.781030305954099
4,0.0342656353495132,4500.00000000003,2250,0.361,10.31102325,-10.6013107703847,2,4500,500,9,0.557062941748645,-0.20323158727173,-0.253261892641841,-0.264036245895716,0.734593843861995,0.182776312910419,0.0644358681972306,0.5972381133427,0.287898240405208,0.237106990561394,0.481557793188044,-0.0433205783899004,0.175803667245946,0.530384013925309,0.650943708869319,0.64343721342803,-0.0612773782014308,-0.0722361940131068,0.350780448534764,0.238392981380969,0.386753088125815,2.51451601562838,0.372047892770701,-0.0798676525703134,-0.0271239883410266,-0.000493567923380688,0.0111824346827407,0.00703856915025709,0.5643245142093,0.142097868127599,0.303768771062793,0.474093045796937,0.0462203812962332,0.238095189604942,0.0465328184965588,0.156750123488323,0.0421042870479954,0.384504662449901,0.0425109754883005,0.257266572315837,0.0482649654089218,0.12680690087867,0.463251528050123,0.887074742586365,0.145631481236079,0.211921595413411,0.250818936115002,0.409821151035223,0.14949222310666,0.299999999999999,1.52386706027209,1.74051098266511,1.62996268084845,1.64184993554904,1.66812947475489,3.33572618539715,3.34629287485972,4.02559230895459,2.90408735677802,3.53321141626501,4.22068114377577,3.05481249922971,3.26873412676587,3.62376111754305,2.49764468932276,2.94751337295835,3.6607683706835,1.0177021004692,0.902615990522861,0.949367458779157,1.01303541537342,0.807173246427709,0.619517597128032,0.899224262964609,0.859388012593501
5,0.0470340245745368,4500.00000000003,2250,0.2945,10.1531850416667,-11.3545429306224,2,4500,500,9,0.570088953124077,-0.202340138484545,-0.225103949591445,-0.250666931113295,0.755884712615812,0.180032160266027,0.00631375325749241,0.616240377194056,0.246854716822193,0.250666276940245,0.456444145303163,-0.0478690511928103,0.170405499151078,0.533423547410339,0.695135992642692,0.693130553518522,-0.0528726694031486,-0.0693375004895536,0.354504428431341,0.222228163339841,0.406643499183539,2.49920824170441,0.347536072728129,-0.0806043199926268,-0.024627556574523,-0.00165361298146396,0.0175362932559395,0.00808681862400276,0.546066797749381,0.136414079422214,0.295663924100176,0.468189594763991,0.0447214444575301,0.234478599584216,0.0453093016769588,0.147386590086688,0.0400840841222516,0.398145794319208,0.0411953449309495,0.258098857749999,0.0482279889374937,0.131749323771222,0.435196886735506,0.89121926231232,0.140067686843207,0.209477318529149,0.245268369226106,0.39795230666145,0.142788081661108,0.299999999999999,1.3685069309587,1.78353826023644,1.57059349878775,1.66495375225362,1.70257074999849,3.26606248551723,3.50962722622783,3.94515704855208,2.5423160319143,3.34991358806503,4.37657392198053,3.13286182358514,3.2544978890365,3.95144790947278,2.50077675833905,2.86062936529004,3.8457175722458,1.0490790223464,0.896259506588274,0.978263186429534,1.00968730757302,0.843951471687191,0.481792287763208,0.943453392166582,0.931177654237596
6,0.062247532558671,4500.00000000003,2250,0.3325,10.2298930416667,-12.5502658643944,2,4500,500,9,0.580838186000229,-0.209685109327178,-0.19518797757094,-0.217114631273462,0.781046058926468,0.171274837146817,0.00947131619549234,0.61870370833092,0.201420145086852,0.257508654067486,0.435004084447378,-0.0643134072574792,0.174884505528814,0.556148971311336,0.753736766448115,0.733810160702554,-0.0718575666400822,-0.0649438979186393,0.35662612147954,0.208306665357523,0.428716404296042,2.51675491694077,0.330263359169577,-0.0787090210639629,-0.0217972827374775,-0.00403182032233329,0.0245773151526657,0.00669636679729954,0.522344232291662,0.134631089021695,0.285022913368997,0.462257653768209,0.0433528477109715,0.229820771066808,0.0438956614522723,0.138910095997846,0.0389152038871518,0.411489913419175,0.0394640587481966,0.253808005088783,0.0477587886647297,0.141217284664363,0.406684062890767,0.872612213078902,0.135754991816469,0.206689733535052,0.244004138963613,0.389638436762087,0.139225802975031,0.299999999999999,1.25012692836004,1.83656659996606,1.43319079381907,1.64054009533702,1.71383265489715,3.14379719935096,3.77348398429153,3.84824132763948,2.49426191300286,3.07639809580429,4.40843918608296,3.35563646916821,3.21263321208139,4.009775155576,2.54347873678828,2.93841858402028,3.99044853493679,1.07279857044382,0.898040948117413,1.03193841289056,1.00627257057269,0.909009817204059,0.364499510540622,0.950565069263605,0.915725621284984
7,0.0798704753111517,4500.00000000003,2250,0.346625,10.2901277916667,-13.5281002507697,2,4500,500,9,0.582755345794686,-0.206408216554872,-0.200425283741697,-0.187295829558606,0.803787254591845,0.13818145806344,-0.00340613595118043,0.629353983590005,0.183245137863417,0.245823534609467,0.459063928139812,-0.0743881070296136,0.158312490248729,0.57199475608371,0.790145901671725,0.763380682164435,-0.0545328164214677,-0.0598974461666719,0.360774221302008,0.197328036906488,0.432474736914011,2.56238136710025,0.306154052061214,-0.0748904548870229,-0.0200630087960282,-0.00483158988496352,0.0271804279520092,0.0046644320933433,0.504294364096227,0.134604904186989,0.274485223948412,0.455651679473133,0.0436283955199772,0.220947101105102,0.0444502291522372,0.13284075100546,0.0377331123427418,0.414099465006833,0.0386433159665816,0.24738915215327,0.0474682442389688,0.147574994067299,0.390892302675895,0.853297263866126,0.132638377450213,0.202009184227138,0.248798477541131,0.384524741903229,0.138071821176757,0.299999999999999,1.20366661265868,1.83598204121882,1.39355103537135,1.58539769543739,1.72063315398056,3.14336591014698,3.96732697459084,3.74663716722891,2.56284720174053,3.01355691647087,4.56970854666625,3.4160236919753,3.31571708986915,3.89059059436137,2.50142614074858,2.88314341990176,4.11649684261909,1.09982118409828,0.896985987726569,1.0415749766122,0.994182895424505,0.958911967581282,0.331759705179651,0.940667330958762,0.857183888078843
8,0.0977934659535176,4500.00000000003,2250,0.347125,10.3057746666667,-12.9078705752358,2,4500,500,9,0.578675361610623,-0.204268451581475,-0.206216007860626,-0.180744914474906,0.815646182141123,0.135393212901415,-0.0118614364234644,0.62844435604047,0.188089679967022,0.182368309627448,0.460063677691638,-0.0783022629164103,0.135951513146972,0.602022563500197,0.805775561061618,0.78010305109247,-0.0373249963708931,-0.0527004317188899,0.36297785619777,0.192707585182653,0.420195685864703,2.58404150504656,0.273335079455176,-0.0720265930095914,-0.017875228702599,-0.0040461702826576,0.0242781576120863,0.00327141672968157,0.487028812362454,0.133088940415857,0.267641500695511,0.447643057252817,0.0439695620422346,0.208471772455911,0.0457763776217065,0.126322425222324,0.0368075434570035,0.408162467593432,0.0384483634666731,0.24313706664295,0.047337892123076,0.148600595736977,0.38033091499033,0.835272639601717,0.128876260077119,0.198006476509188,0.245652141770972,0.374102048244744,0.135953811156179,0.299999999999999,1.17912648621763,1.81264336446663,1.39187980643242,1.55089113565399,1.73822275624336,3.16437390285633,4.09156295678698,3.79386534674427,2.79358075116843,2.96919575651544,5.01487289774938,3.37898644692332,3.35732125852616,3.6190767143362,2.43484365274742,3.002643237886,4.21749588397348,1.14424308195193,0.934372021328307,1.04276532204516,0.991743378697245,0.98414616428363,0.350588633653061,0.918858214434999,0.829471626127654
9,0.116316946370983,4500.00000000003,2250,0.361375,10.37949225,-12.4652070820499,2,4500,500,9,0.578341242374729,-0.199354445154954,-0.198158612785529,-0.183666385723508,0.82926703695175,0.129763978799867,-0.020515228636589,0.624829384571295,0.226640190398437,0.0783808740499516,0.461627626813852,-0.0654548843410034,0.098109255948128,0.637353787360754,0.814648173273812,0.77070320040014,-0.00182475029096237,-0.045829231401594,0.367126038698838,0.187731427300005,0.398244637366619,2.57382029486117,0.24686878230733,-0.0689824695586212,-0.0150837012151352,-0.000286167013865542,0.0202470357244979,0.00287451324287929,0.471430723066225,0.130186832314997,0.261904936614744,0.447966191446912,0.0447814873091553,0.193009564950041,0.0463789141506366,0.119133446965724,0.0357902721675102,0.400874562386682,0.0390832589562575,0.239684724286038,0.0463353161209966,0.145267267995066,0.373059099594744,0.811720481539544,0.123582587158987,0.191692794180547,0.237825194070404,0.362067254468118,0.133247371054901,0.299999999999999,1.18510649427704,1.84013126188434,1.42353007269911,1.55344840930894,1.73714971037536,3.22968075117993,4.2524233535939,3.66929202509458,3.12968367886847,2.93685992734029,5.77740798665753,3.24160300891181,3.26942356800291,3.53983276103362,2.3432487266544,3.40923340471459,4.176463820356,1.22294102409691,0.972296321654149,1.04567827410995,0.993823972363718,1.00084629843377,0.402396327385005,0.909176338109025,0.836421001353332
10,0.136561435010903,4500.00000000003,2250,0.264875,10.3624575416667,-12.6919993611543,2,4500,500,9,0.577178718166476,-0.201033597893679,-0.174037383890661,-0.193223409783078,0.847668280699626,0.10702221195945,-0.0402566198446423,0.614121787616511,0.273882293271885,-0.0294376352983528,0.459061118067245,-0.0486764801672024,0.0595895303336322,0.686112319639716,0.824213703011322,0.767566983153101,0.0327643360404968,-0.0402027693156402,0.370411918067687,0.181067643162692,0.384822257691601,2.5629725851246,0.228424154438982,-0.0662448945851504,-0.0118709020345803,0.00460949636312776,0.0137495167414155,0.0032487779367564,0.460490858599018,0.126361330253242,0.257900595089281,0.445006637250205,0.0449414761679977,0.177277176218654,0.0459784293685703,0.113402208061004,0.0354340952874076,0.391348456744919,0.0391957033848738,0.237242983419205,0.0453843097378023,0.141275810618129,0.368000675674692,0.795529405289983,0.118235602517721,0.18609724951613,0.232514146082185,0.349506585006475,0.129183891034097,0.299999999999999,1.18208655742887,1.8394985128119,1.46634335055157,1.57660764823618,1.74831060679173,3.12651707457953,4.42246348984463,3.38089835918416,3.48340898754067,2.90979987628731,6.38096514916522,3.12914585880357,3.19195145549504,3.5095035341654,2.25214416411535,3.63362534341522,4.03951400250154,1.29399935709895,0.986467547393795,1.03518310298282,0.965215374397657,0.984542777100017,0.457381075213021,0.906677980017349,0.859122568363025
11,0.158207676566817,4500.00000000003,2250,0.27525,10.420309875,-12.6941035598423,2,4500,500,9,0.577928570106644,-0.202144084894229,-0.181344317375265,-0.188804143885718,0.846608625537777,0.0817371279619975,-0.0236078264571083,0.613627385643863,0.316847821581359,-0.0723422738633497,0.432271277237631,-0.0267406737758826,0.0389926076429212,0.714773275629163,0.845929760980245,0.789276467741232,0.0383084613132212,-0.0382581462709402,0.371022451052681,0.175918088048787,0.393388309836906,2.57752188989759,0.199181988447467,-0.0643202142287036,-0.010092169969353,0.00700025422107292,0.0105436645972317,0.00425816900178092,0.453558891095104,0.122837584385243,0.256785196605629,0.439650297552053,0.0453663733599846,0.163174154251072,0.0453059510697656,0.110308286015006,0.0358747873851208,0.377280561959043,0.0386784582600257,0.239521746206944,0.0436191767027111,0.137334119040811,0.361472413107613,0.777274600753145,0.112380360091924,0.176205694798678,0.231784196884979,0.339412373522075,0.122932956827203,0.299999999999999,1.17029157622995,1.97105819108149,1.45237296817898,1.71260474362864,1.74981204996857,3.06397427117776,4.61545890534111,3.14499252257062,3.73493169207173,2.79106356911755,6.55701655855179,3.06204460764731,3.13078389764304,3.46165685979121,2.28094399221729,4.12896458584272,3.81545602088913,1.34852995238235,0.980517399429662,1.01621740957139,0.936891905035285,0.965607737029239,0.493490564529965,0.966136816579808,0.861248601113178
12,0.182875218847654,4500.00000000003,2250,0.276125,10.4571402083333,-13.5019693647835,2,4500,500,9,0.579685561810236,-0.199532586035389,-0.219096607263398,-0.162674728588401,0.835327595293517,0.0504627476435682,0.0123499301777822,0.635313210055696,0.399014481333049,-0.133071541890688,0.417371843466274,-0.00941606411432424,0.0198635113307225,0.744541417888616,0.874242452384733,0.812930638640663,0.0387283979221485,-0.0355455281869977,0.370519848386192,0.168114246648071,0.415981945422544,2.61766356595085,0.17248053104335,-0.0610372987061213,-0.00865217720367947,0.00755276176461374,0.00952964709534032,0.0046153317248028,0.450214162918716,0.12081861067902,0.25221452854212,0.434184124311065,0.0459719104507419,0.152307318565828,0.0447568385626755,0.107130530605964,0.036351062077108,0.363506969064664,0.0384863161778521,0.241302037034846,0.0420442622392661,0.133523019616952,0.353086807970456,0.752685890194727,0.106293633268198,0.16434969613989,0.232521075904933,0.335348253470647,0.114907498886308,0.299999999999999,1.18539502829626,2.08707227439925,1.37858505592466,1.88044412500642,1.69509069937136,2.97562955194101,4.75241635589321,2.97984320377847,3.94490419359072,2.587869292995,6.61456619895862,2.88525293470482,3.04456745049513,3.32790505142655,2.25615642412179,4.97499039354038,3.66624317002068,1.41667872430297,0.971290197905758,0.979279501539458,0.87268865572516,0.97240487792823,0.535290119422347,1.05492130621293,0.852947210792023
