param,neff,std_mean,post_sd,mcse_over_sd,rhat_classic,rhat_rank_bulk,rhat_rank_folded
sme_pieobs,0.333333333333333,9.61481343191782e-17,5.55111512312578e-17,1.73205080756888,1,NaN,NaN
sig_k,0.92632845554489,0.0150836520704822,0.0145174055338758,1.03900466479944,2.20253569457036,1.79112867185081,1.49847863639889
phiy,0.954437120180846,0.0263012253728519,0.0256950604390277,1.02359071835081,2.11541766970535,2.08465636488605,1.29690304079573
kapHyp_lm_w2021,1.05666762866746,0.566857431981263,0.582697354585088,0.972816209857168,1.88788141558907,1.67034557434352,1.31661005959258
sig_gk,1.14379537326491,0.00821660295528617,0.0087875228866397,0.935030617988883,1.75950860756915,1.71909896414918,1.09079890690924
sme_k,1.18606402787119,0.00880986535420552,0.00959452189152737,0.918218276408879,1.71035323916538,1.64400876245149,1.08388624640641
kapHyp_lm_w2023tot,1.23604339074221,0.375753565872724,0.417753376781038,0.899462665671454,1.66021276564605,1.56522972230386,1.11464459773697
alpha,1.28793139083762,0.0540073766008509,0.0612913865546376,0.881157690121866,1.61543176837723,1.56602804639549,1.09622951534972
rhok,1.31989313616765,0.062605973962561,0.0719258762505813,0.870423514125141,1.59086851865459,1.92555604956063,1.25508039820953
phihpp,1.40279453562181,0.0245766032188852,0.0291084372982503,0.844312010537317,1.5357277233277,1.48721871161351,1.13048044128059
m93_U,1.4131058517009,0.547480051147453,0.650812141594008,0.84122593319561,1.52960578885732,1.48516122309329,1.03213267252098
sig_Ustar,1.45004020824449,0.0162008034546278,0.0195086211848211,0.830443284594247,1.50881749088517,1.46210063089616,1.05876509059882
sig_z,1.50151678586919,0.048277505107466,0.0591575138800666,0.816084076916108,1.48250456883963,1.47410280656905,1.02399253642557
sig_ghpp,1.50596646534268,0.00602049144432585,0.0073882161745824,0.814877543112244,1.48036122861167,1.43007171494049,1.14341373908243
phisum,1.50869324328977,0.0630821260183668,0.0774830654554248,0.814140814481033,1.47905746023538,1.58019066403929,1.02790233430306
kapHyp_la_w2021,1.54208638906957,0.408976961027735,0.507870743491391,0.805277654342118,1.46366293826298,1.41408865932167,1.16437579693566
pistar,1.54906635945685,0.138810450544887,0.1727655611666,0.80346134731696,1.46057293096387,1.44255903341361,1.03073697707515
kapHyp_la_w2021tot,1.55095085153082,0.403334119978548,0.502300927873573,0.802973073703072,1.4597459284381,1.41863309241929,1.10586766887248
kapy_21,1.60147567853574,2.3334363330417,2.9529502453823,0.790205096306866,1.43865813411644,1.64404843406743,1.03190278109912
sig_gw,1.64932003303544,0.0046865075524519,0.00601868741173386,0.778659403928375,1.42044107627634,1.4139056747343,1.13333469430875
m84_y,1.68907198468541,0.355504665085851,0.462029157274402,0.769442056823948,1.40644433921346,1.47049257592418,1.13005569429751
kapHyp_la_w2122,1.75240221509879,0.391428028529859,0.518165885802851,0.755410649860471,1.38601392271569,1.36510173463509,1.0379524287422
kapHyp_la_w2022tot,1.79341199727068,0.439049639074789,0.587967958662036,0.746723750174889,1.37386753304445,1.37077241575506,1.01651373775593
kapk_21,1.89611156339118,1.41015988663609,1.94178123562526,0.726219751619969,1.34661620706885,1.55791696112195,1.08898642389292
kapHyp_la_w2023tot,1.93018425728464,0.439855172748644,0.6110955036726,0.719781392769502,1.33844734541378,1.3532388521499,1.05850817628125
kappr_2122,1.93837344101704,0.705107308954812,0.981689038672503,0.718259327727952,1.33654210289709,1.33942532916642,1.08741260077158
kapHyp_lm_w2022tot,1.97027537699142,0.321259807698637,0.450941141652594,0.712420708656778,1.32932364336225,1.31199931209788,1.00560810646168
sig_w,2.04926380681725,0.00613203964783658,0.00877816801658709,0.698555739221393,1.3127362588188,1.33551918247823,1.00110821162997
rhohpp,2.08907207871963,0.114589598776524,0.165623482097839,0.691868069219995,1.3050036189231,1.28058879339284,1.08650933150469
sig_xi,2.16595269515886,0.0238467386815724,0.0350956650284463,0.67947818234086,1.29111739917303,1.31843377059706,1.13883502240296
kapy_20,2.27352248053591,1.64167761701954,2.47535506751528,0.663208942653802,1.2737085121369,1.35405149872823,1.04359997611877
sig_pr,2.33912769952616,0.020401398235625,0.0312023209168249,0.653842330832005,1.26408910096394,1.2682469811454,1.01031926393451
