param,neff,std_mean,post_sd,mcse_over_sd,rhat_classic,rhat_rank_bulk,rhat_rank_folded
sig_Ustar,2.86467682625819,0.00807325553194882,0.0136642725602606,0.590829515171414,1.20621596357534,1.20183330303,1.00536273311845
kapHyp_lm_w2020,2.9368827600882,0.205218139510218,0.351689215518802,0.583521275190331,1.20020277540086,1.19945053555991,1.00067850439979
sme_pr,3.0699211208265,0.0127575049703268,0.0223526673268039,0.570737477716083,1.19000101781128,1.18788343294762,1.000971441956
kapHyp_la_w2022tot,3.45459253037047,0.329468014783381,0.612366851987358,0.538023920978308,1.16562841222214,1.16609810329308,1.0234751981527
sig_pr,3.55284886872295,0.0128909729986756,0.024298197941639,0.530532059605326,1.160378590051,1.16227460172782,1.0060209024595
theta1,3.82255567004842,0.0417722749021251,0.0816704666218241,0.511473444807804,1.14754865909463,1.140019055907,1.02544837088523
rhok,3.90326166603421,0.0114350258700845,0.0225918078025125,0.506158071547192,1.14410081568867,1.24960590122528,1.00382084073046
rhoU,4.01474760886493,0.0524691852692934,0.105131641315323,0.499080815374334,1.13959578869837,1.14202753026221,1.008770477596
sme_U,4.03228002692053,0.00643515068281854,0.0129221287232822,0.49799462771363,1.13891292983444,1.13727278524643,1.00703516205977
alphapi,4.1439776009791,0.0245725684012667,0.0500217927260719,0.491237260044444,1.13471517991758,1.13407743123658,1.00176450217066
sig_gk,4.24558312348037,0.00228118348904108,0.00470033588551659,0.485323505511642,1.13111192108685,1.13170287207544,1.00203410374842
kapc_2021,4.33524915184688,1.28045968159221,2.66607854012048,0.480278304754797,1.12808902496469,1.16014620963449,1.01799454645499
lam2,4.45704557402732,0.0619586622355062,0.130805368810207,0.473670635992058,1.1242001007855,1.12692867446444,1.00135944410417
lam1,4.99616111998455,0.0501318444877353,0.112055170690271,0.447385374355492,1.10949260900523,1.10867445427671,1.00798899449786
kapHyp_lm_w2021,5.41450770120902,0.17204275136465,0.400327908121067,0.429754578370842,1.10028271254305,1.09987012413138,1.00427010901728
kapu_2122,5.41633151141576,0.303329421766757,0.705938968712807,0.429682217883284,1.10024595948543,1.1508593482842,1.01550728982174
kappi_2023,5.56947502091139,0.224444156046599,0.529682265265009,0.423733567772569,1.09725326776796,1.11232760420835,1.00688789630512
gamma2,5.61153696108648,0.0269033196954024,0.0637304208410759,0.422142508088735,1.09646239040623,1.0987435240685,1.00319416222489
gwbar,5.71643213369021,0.0284313053934787,0.0679765824158731,0.418251468123819,1.09454511048076,1.09511978842622,1.00130581846392
theta2,5.7964308160662,0.0337160134579078,0.0811739251767566,0.415355218864814,1.09313344850288,1.08758998629086,1.01948502504819
sig_gz,5.92396427176246,0.004021492335534,0.00978798872962267,0.41085992706175,1.0909682819758,1.08980875260196,1.01088641156642
kapy_20,6.54347489607446,1.50761635663989,3.85651531972725,0.390927101709664,1.0817395219539,1.09473378649295,1.00007182506613
sme_pi,6.55143605187954,0.0166577853918097,0.0426368896734513,0.390689506654655,1.08163311406575,1.07819973197132,1.013640756514
xi2,6.88461538507273,0.0361823680190133,0.0949372894728008,0.381118612295956,1.0774157703766,1.07731830836135,1.00173482991655
kapHyp_lm_w2022tot,6.95354540846159,0.162393911318963,0.428225859393394,0.379224906102127,1.0765971587658,1.07641640618036,1.00012003781954
m93_U,7.21891081575008,0.154737866739854,0.415750177670681,0.372189538455045,1.0736011668779,1.07167271558338,1.00842928094834
sme_y,7.44121138106314,0.00960176753293956,0.0261922620974583,0.36658794483701,1.07126625804355,1.07257685105786,1.00379406320848
kapHyp_la_w2021tot,8.39662550929007,0.202405343080094,0.586508573293397,0.345102104720372,1.06271670490156,1.06293852510164,1.00184921520456
m84_y,8.59291774268328,0.144961576362783,0.424935711127741,0.341137665220154,1.06120829653533,1.06245724274349,1.00284471470285
kapHyp_la_w2122,10.2036355320428,0.171114020732597,0.546591740642539,0.313056360001792,1.05112088669503,1.04958161376275,1.02202151850118
kapHyp_lm_w2021tot,11.4488475203603,0.112241863470965,0.379783203974765,0.295541936284319,1.04534473525582,1.04481399470769,1.00776119372394
gamma1,11.8010578326069,0.0187670401820785,0.0644697896495337,0.291098207146302,1.04394052791304,1.0438996234623,1.0016276414724
rhohpp,12.3541534576652,0.0375910401116363,0.13212677608283,0.28450735896311,1.04190287168544,1.04194036769072,1.00238286878845
kapk_20,12.5438728752698,0.498168015881938,1.76437811770839,0.282347650360212,1.04124679307362,1.05397697607619,1.00917073426676
m84_z,12.5608250971919,0.124064507328001,0.439700175970022,0.282157056349369,1.0411891686017,1.04344116093094,1.00034373290393
phiu,13.0313248530694,0.000825141183465564,0.00297867108295239,0.277016548818711,1.03965170551249,1.04606374922018,1.00692499560704
kapu_20,13.7660648911655,0.693966148765519,2.57479817462821,0.269522541845722,1.03746777524392,1.06295673440085,1.00815454283808
sme_w,14.3380008038203,0.00125489737640485,0.00475173827245281,0.264092276226544,1.03592748337291,1.03519252947166,1.00488527163359
kapHyp_la_w2021,15.3852576363866,0.13032163819495,0.511174189651532,0.254945654207993,1.03341244723283,1.03299708537541,1.00949053524287
sig_pie,16.6093905164535,0.00474573063670257,0.0193410448738694,0.245370954240133,1.03088531794593,1.03015410718902,1.00335901455195
sme_hpp,16.8023109438261,0.00710622933350535,0.0291288760666161,0.243958239832316,1.03052151545407,1.02986629816616,1.01063942492316
kaphpp_2022,17.2347746576454,0.259444800106649,1.07707953837964,0.240878032551763,1.02973633610621,1.03654192006093,1.00110016505916
kapHyp_lm_w2122,17.2686682833847,0.0904125071776439,0.37571448268633,0.24064152792621,1.02967650304195,1.02943762081846,1.00253927006967
phisum,17.7164910763687,0.00511556053862541,0.0215318865792689,0.237580693163725,1.02890797956852,1.03160632849707,1.00231316154477
sig_gw,18.1468148204481,0.000865493679205686,0.00368692331105824,0.234746862406874,1.02820608494371,1.0273698417289,1.00476557307551
m84_c,18.3259990931386,0.0752058934863112,0.321947980819125,0.233596412982515,1.02792377254151,1.02663820713707,1.0037005524299
gzbar,19.034248590699,0.0166115739962646,0.0724734029042698,0.229209245469085,1.02686111422657,1.02713843975841,1.00058392764006
sig_w,19.3941093923361,0.00105198135599875,0.00463279372251374,0.227072781351454,1.02635158378182,1.02728486646285,1.00198470397914
kappr_20,20.1334897756666,0.707419332065806,3.17421582958546,0.222864282092057,1.02536308212611,1.04640143168667,1.00878776680857
pistar,20.8501090432087,0.0347915849458567,0.158865055560728,0.219000867264716,1.02447330966502,1.02306688391551,1.04239811004064
phik,21.1129702688094,0.000326402707017661,0.00149978297722109,0.217633292266354,1.02416238745341,1.02463852988135,1.00464106150286
phipr,23.9186629778951,0.00153947118316389,0.00752904709407438,0.20447091961684,1.02127717098714,1.02102979135021,1.00064307736598
sme_k,25.1703948621541,0.00098588315533619,0.00494618619171739,0.199321885008513,1.02020101764526,1.0203108708486,1.00478140527569
sig_z,30.0160331456819,0.00711516689206473,0.0389817865762523,0.182525418073047,1.01689344855164,1.01751860641081,1.00060956032427
kapk_21,32.1757926450653,0.144133951216986,0.817581243517564,0.176293123600615,1.01574447434022,1.02924973945582,1.00106077886454
kapHyp_lm_w2023tot,34.96591226637,0.0654360277859005,0.386936197922439,0.169113223671612,1.01447284842632,1.01435118280822,1.00831926585471
sig_xi,35.5349147906088,0.00561404732034309,0.0334659924034988,0.167753797725603,1.01423832875583,1.01096239806546,1.00486581602778
chi1,36.0831970056109,0.00330818016431159,0.0198720036400965,0.166474414167102,1.01401942920383,1.01381311945637,1.00409887915971
alpha,50.1100534817899,0.0054117976410915,0.0383092793284456,0.141265973569832,1.01006195439799,1.01034861037004,1.00315457287468
sig_gpr,71.9030767954949,0.000819099131287393,0.00694560694327152,0.11793053335402,1.00699442163943,1.00626297801218,1.00160731185262
sig_c,80.3770382647812,0.00371334178222779,0.0332913129956128,0.111540863008832,1.00625315843988,1.0065260859445,1.00014685262742
sig_ghpp,82.5009396145133,0.000759287295099942,0.0068966086169356,0.110095749559487,1.00609135716306,1.00494058485271,1.00333169218821
kappr_2122,89.6617641467392,0.0787658586478071,0.745833096794686,0.105607888663447,1.0056025924873,1.00727277924458,1.00132725397513
sig_hpp,98.3605805486838,0.0032445512373252,0.0321784542789802,0.100829928286662,1.00510499559912,1.00490350860923,1.00168857318115
phiy,101.279484857273,0.00150194412010961,0.0151152215390551,0.0993663318945641,1.00495725851385,1.01342547167144,1.01095475069523
xi1,114.088523835003,0.00519067041028985,0.0554427079432288,0.0936222382139937,1.00439864734914,1.00438962520406,1.0004661538582
m93_pi,117.874019317952,0.0235588216113406,0.255777660046062,0.0921066429613048,1.00425688344778,1.00531461925931,1.0206261867621
phihpp,118.575193703068,0.00150045866406593,0.0163388301086178,0.0918339106344293,1.004231622094,1.00417908497213,1.00147298787794
rhopr,138.73673467722,0.00666088132022111,0.0784562290239074,0.0848993305323328,1.00361481625629,1.00226708573713,1.0092411849892
kapy_21,140.960803016044,0.183862983016837,2.18294847223617,0.0842269001560496,1.00355761252126,1.00674689139896,1.00295723615613
sig_k,149.993000599892,0.000472668641320494,0.00578884987693395,0.0816515631548631,1.00334278412431,1.0031922765649,1.00097707217946
kapHyp_la_w2023tot,195.857265774189,0.0369101628086615,0.51655408992799,0.0714545940654676,1.0025583262606,1.0026502355043,1.01199305740223
phi2,284.129165707334,0.0071297379273408,0.120179799336707,0.0593255935414358,1.00176234881996,1.00193375655796,1.00112102675853
nu,730.114586886011,0.000918639857586234,0.0248222300968441,0.0370087560224103,1.00068521513467,1.00036612525931,1.00463383926327
chi2,910.916105296834,0.000649324654040575,0.0195975185006979,0.0331330037533809,1.0005491491993,1.00060318094831,1.0011651089711
rhow,1888.11948844037,0.00058961961881565,0.0256204446695936,0.0230136372112,1.00026487220499,1.00057884165524,1.00020763342085
kappop_2021,2304.92396010475,0.0350238348197527,1.68148112741469,0.0208291572523342,1.00021696611996,1.0018652247216,1.00858590465656
kapHyp_la_w2020,4526.86639429644,0.00795185419025639,0.535016586870719,0.014862818060962,1.00011046184794,1.00011433753902,1.00103210491091
sme_pieobs,Inf,0,6.10622663543835e-16,0,1,NaN,NaN
