date,rstar_q05,rstar_med,rstar_q95,nairu_q05,nairu_med,nairu_q95,taustar_q05,taustar_med,taustar_q95,gap_q05,gap_med,gap_q95,trend_inflation_q05,trend_inflation_med,trend_inflation_q95
01/01/1994,0.552681189785893,2.45319618222681,4.51177768197588,5.39234610768905,6.13496675917024,7.05943514121788,1241.04692809392,1242.42441837017,1244.38318752099,-2.79267102618171,-0.803447286954187,0.508540004965723,3.16287737480236,3.4782826250804,3.79330628505686
01/04/1994,0.68979081039279,2.5976959795829,4.78704666100371,5.35999854594469,6.10764134891283,6.9626603479617,1241.97385885136,1243.24417645774,1245.09473119524,-1.98651959519964,-0.226591209779224,1.09096347162456,3.17523438187481,3.50257939003406,3.84111413150422
01/07/1994,0.868340520017129,2.69694502825568,4.52923549593874,5.37445995618009,6.06164749192401,6.99956088156568,1243.20459639463,1244.44285452384,1246.1098804328,-1.48653189191028,0.12254567518565,1.41385373485242,3.31880642237163,3.65901638040173,3.99767261788156
01/10/1994,1.02932662833473,2.81041853706233,4.91402566073577,5.32709257970467,6.02701443977108,6.92823258540244,1243.73803905664,1244.98338421149,1246.44392697332,-1.44755210781596,0.00800777461141075,1.20454792996441,3.25654277504877,3.57112126949748,3.88381145942672
01/01/1995,1.36062329649224,3.1898850688762,5.24379401868529,5.25221663903847,5.98488668547557,6.91947334046407,1244.58597693387,1245.75688944607,1247.1844493952,-1.69698125973227,-0.346676546047472,0.848262127015599,3.20436723843404,3.56169119590262,3.90480818592948
01/04/1995,1.5556749276256,3.686324463578,5.88858917163994,5.19682558125764,5.93813355261144,6.76494029247195,1245.84624087174,1246.90683310818,1248.21362114173,-1.84625812762735,-0.640098705299164,0.418616977291103,3.25551163450865,3.57421059486894,3.89329767471012
01/07/1995,1.74642984212846,3.77635818593933,5.8563110784065,5.20090296751043,5.93139217017876,6.794533833722,1247.1118087353,1248.15165498904,1249.34949256556,-2.01552004099785,-0.746696917864386,0.342956309995702,3.13600715924602,3.43307020076634,3.73487590753097
01/10/1995,2.07329322983113,3.89766644598874,5.72415852089862,5.19575495166334,5.92862494656566,6.81709668398709,1248.31538500944,1249.31480778538,1250.52409053077,-2.02070273514471,-0.853557389203391,0.211256576721333,2.87396423358561,3.20542857394504,3.51951120685485
01/01/1996,2.00184541313226,3.96518587000139,5.91775790268569,5.19550849030021,5.92301496837406,6.77569005651114,1249.37432506523,1250.42354975636,1251.55951036535,-2.12448130907588,-0.969387285879339,0.0960970265485377,2.77723577058164,3.06764823481773,3.42024389516458
01/04/1996,2.19943147198111,4.11736445423748,5.89044581769602,5.1740706837327,5.90651161458976,6.73820775563345,1250.12969299169,1251.20083143722,1252.33653582116,-2.47375419718445,-1.35110801442474,-0.284031815809084,2.72561001578102,3.01094322540879,3.30404335618976
01/07/1996,2.33389742181618,4.04536699367164,5.8467079897968,5.17229955391715,5.89387489867532,6.80238599549521,1251.24086584781,1252.32678306321,1253.40464389094,-2.5316681815254,-1.43273263561023,-0.300812000981911,2.61546157987283,2.92405909607579,3.24732721365166
01/10/1996,2.28918843708197,4.16124800377413,5.94767371676599,5.12815046504664,5.89437517941612,6.76625020213404,1252.20593023813,1253.32830796431,1254.4782112008,-2.42173785299857,-1.31076163499848,-0.213149280031154,2.63559219063902,2.93865951014924,3.22695657398808
01/01/1997,2.4347921164071,4.19112893651907,5.85488764982711,5.13975844550377,5.88226992196872,6.77684804770594,1253.20555449752,1254.29303384577,1255.47887173411,-2.41286372215212,-1.21832157530917,-0.193149022240198,2.60779817145748,2.92215995040237,3.20945027244287
01/04/1997,2.40847433494244,4.18683153873707,6.05275911492993,5.09967584157918,5.84881964430771,6.73738399663636,1254.30344932285,1255.32968878487,1256.53926268754,-1.8866135753165,-0.698190353218275,0.304649148537875,2.40448387829808,2.7222661321935,3.03542779366147
01/07/1997,2.37558013653713,4.17588338938851,5.84941501814245,5.07151447576757,5.88756314165342,6.72488687561248,1255.09965179076,1255.97389290574,1257.18660782234,-1.83530611868121,-0.63825116109609,0.253930812354791,2.33015391098015,2.66023556832997,2.97965426185607
