L_entry,group,median,q05,q95,band_excludes_zero
Lq_pie_Ustar,2,-0.0608170321003045,-0.2739445586074,0.235973781287604,0
Lq_zstar_Ustar,2,0.557848134661727,0.100795765783726,0.965254967435584,1
Lq_gz_Ustar,4,-0.045152403339106,-0.184002284165668,0.0164532166241045,0
Lq_kstar_Ustar,2,0.0292344949702731,-0.0395124874151798,0.115594814455859,0
Lq_gk_Ustar,4,-0.0842369879677697,-0.177620685537753,0.00316614057079385,0
Lq_wstar_Ustar,2,-0.052534960717765,-0.117552804009993,0.0139974270145921,0
Lq_gw_Ustar,4,0.0330812516524645,-0.0906067387352934,0.124228103143882,0
Lq_hppstar_Ustar,2,0.103459093322585,-0.184115720701845,0.283315019827631,0
Lq_ghpp_Ustar,4,0.08229327977857,-0.0339416204220253,0.210400022305663,0
Lq_prstar_Ustar,2,0.253737176696508,0.0209071219941218,0.521311577104482,1
Lq_gpr_Ustar,4,-0.0524695943671627,-0.142317188347572,0.0192216286168913,0
Lq_xi_Ustar,2,0.143519640797156,-0.148183351893857,0.49461492977231,0
Lq_zstar_pie,2,-0.0486426884112346,-0.116268930225029,0.164285541550315,0
Lq_gz_pie,4,-0.0838744096024003,-0.221571355640755,0.0386057744069059,0
Lq_kstar_pie,2,-0.00458192083302126,-0.109924695673582,0.0652215859619764,0
Lq_gk_pie,4,0.00696367045271912,-0.0192669501334158,0.0601405614299165,0
Lq_wstar_pie,2,0.014928281011875,-0.0481009364910914,0.0626063635093559,0
Lq_gw_pie,4,-0.00985924132941849,-0.0665748369200299,0.0570629899187513,0
Lq_hppstar_pie,2,-0.0539687242019766,-0.197115921800591,0.0759177409700712,0
Lq_ghpp_pie,4,-0.018611110357901,-0.114643569663934,0.0373575250514867,0
Lq_prstar_pie,2,0.187605951510722,-0.0117879226695046,0.326953633644358,0
Lq_gpr_pie,4,-0.00429988670509541,-0.0847492946773911,0.166201312638758,0
Lq_xi_pie,2,-0.0698244409788691,-0.261257759461382,0.0636344781314648,0
Lq_gz_zstar,4,0.00551023232033179,-0.0574909694441,0.0519389186966409,0
Lq_kstar_zstar,2,0.0275071041500901,-0.0288398574595095,0.0581283892906252,0
Lq_gk_zstar,4,0.0488126765689877,0.00234964225514385,0.100266881246175,1
Lq_wstar_zstar,2,-0.00667678474917845,-0.0743038147020043,0.0131038269968636,0
Lq_gw_zstar,4,0.0252862845654187,-0.0249731110878901,0.0807881431049059,0
Lq_hppstar_zstar,2,-0.0319507906045299,-0.259989567634186,0.144955143869683,0
Lq_ghpp_zstar,4,0.00165164459088137,-0.0271546914820317,0.0238670804916139,0
Lq_prstar_zstar,2,-0.0120440021996323,-0.0844334781100751,0.0441968841569601,0
Lq_gpr_zstar,4,-0.0876911954174175,-0.193684684435455,0.041769367839136,0
Lq_xi_zstar,2,0.00850490370934556,-0.0785474515655515,0.109015721305565,0
Lq_kstar_gz,4,0.093382826789345,-0.0313020229133595,0.289238975799175,0
Lq_gk_gz,3,-0.0216653228870793,-0.208801873039128,0.16889148915939,0
Lq_wstar_gz,4,-0.0865361820217906,-0.320331471011101,0.179358960241973,0
Lq_gw_gz,3,-0.0350383811584043,-0.169113760997735,0.150740308952269,0
Lq_hppstar_gz,4,-0.0309419638672389,-0.119141808458174,0.74621162802451,0
Lq_ghpp_gz,3,-0.00114203271843528,-0.231533167091886,0.0934322816794689,0
Lq_prstar_gz,4,0.0084056272097388,-0.347634476715642,0.0694445200118224,0
Lq_gpr_gz,3,-0.135010361613693,-0.39192493456098,0.0594202180643152,0
Lq_xi_gz,4,0.843577746446016,0.422685019630667,1.545853585179,1
Lq_gk_kstar,4,-0.326942742558168,-0.648189088491044,-0.14210612424946,1
Lq_wstar_kstar,2,-0.0830887898993756,-0.170035549929613,0.0692934455142819,0
Lq_gw_kstar,4,-0.124960141419801,-0.284680544474049,0.00491635086672632,0
Lq_hppstar_kstar,2,-0.0223680966081247,-0.14495895656781,0.172798904227247,0
Lq_ghpp_kstar,4,0.178162758928321,-0.0322494123651543,0.290017332299046,0
Lq_prstar_kstar,2,0.0134893546340152,-0.0301903643168964,0.0917419837243871,0
Lq_gpr_kstar,4,0.0428339515496189,-0.128116404880877,0.181398417529624,0
Lq_xi_kstar,2,0.301116515879656,0.0915506119058935,0.601761306380048,1
Lq_wstar_gk,4,0.111487399730824,-0.0631979167190767,0.227288716772134,0
Lq_gw_gk,3,-0.0152725763216771,-0.26504888870038,0.224550317295714,0
Lq_hppstar_gk,4,0.296051521525066,-0.0196499772713746,0.84229033571389,0
Lq_ghpp_gk,3,0.109597906112182,-0.0251129546744631,0.292059747102384,0
Lq_prstar_gk,4,-0.0105396163856085,-0.123155732175857,0.054330663733521,0
Lq_gpr_gk,3,0.551586237854516,0.0908159685998944,1.10336685965801,1
Lq_xi_gk,4,0.170685144003581,0.00516750223423196,0.6193882956486,1
Lq_gw_wstar,4,-0.543018120527558,-0.831569201284067,-0.309108194177433,1
Lq_hppstar_wstar,2,-0.0175681781086699,-0.0873670219390066,0.152163304602585,0
Lq_ghpp_wstar,4,0.0125296903999306,-0.0291203371525499,0.0809985081579755,0
Lq_prstar_wstar,2,0.0058240184310869,-0.0466657921242103,0.0530466266953826,0
Lq_gpr_wstar,4,-0.00218029633187103,-0.197473991081816,0.134383848938,0
Lq_xi_wstar,2,0.387655224887237,0.0450084884346265,0.761045631378767,1
Lq_hppstar_gw,4,-0.00988713293510077,-0.155264252215569,0.110109244626044,0
Lq_ghpp_gw,3,-0.964171088961847,-1.44994611242687,-0.535364714064372,1
Lq_prstar_gw,4,-0.319416225706862,-0.671068216501536,-0.0853717847656203,1
Lq_gpr_gw,3,0.00791326749955238,-0.086394473628313,0.162521186227583,0
Lq_xi_gw,4,0.00172186774898088,-0.0546282131981671,0.145960313320952,0
Lq_ghpp_hppstar,4,-0.291902233015937,-0.450062183436084,-0.0764481121826702,1
Lq_prstar_hppstar,2,0.244389983656719,0.0359417274754579,0.541149969130142,1
Lq_gpr_hppstar,4,-0.0976319356537814,-0.257887387897611,0.0485874593997507,0
Lq_xi_hppstar,2,0.0221647044511992,-0.118527670602427,0.139493789147479,0
Lq_prstar_ghpp,4,-0.00325870498014746,-0.10996577350841,0.111967428611586,0
Lq_gpr_ghpp,3,-0.0131759257137033,-1.02698213823508,0.439600877753346,0
Lq_xi_ghpp,4,0.032523892097599,-0.203999400539545,0.145680306283466,0
