date,rstar_q05,rstar_med,rstar_q95,nairu_q05,nairu_med,nairu_q95,taustar_q05,taustar_med,taustar_q95,gap_q05,gap_med,gap_q95,trend_inflation_q05,trend_inflation_med,trend_inflation_q95
01/10/1984,-0.254927992986739,2.49379478642649,5.10043507008513,5.83518919145737,7.95651334785909,9.54913078001202,1209.77919474568,1210.65846146434,1211.74638177643,-1.13799825750608,-0.0430815968531879,0.936448565234841,6.08342367016474,7.27588422392056,8.38903370816848
01/01/1985,-0.290390423407927,2.51453342438201,5.00063353958848,5.81280143361058,7.95301711168249,9.46379288541735,1210.90866041909,1211.81027731216,1212.92987858511,-0.73680927015166,0.291170510585634,1.22843134491845,6.09555034408496,7.33370533427764,8.40589566063793
01/04/1985,-0.486769070843809,2.3440851671258,4.99061827412113,5.89310341380093,7.96374627320733,9.55162304914396,1211.8834199191,1212.79746332748,1213.86713570373,-0.334171138691667,0.675583471648094,1.63666135790654,6.2375826071607,7.36744240327436,8.51593113330438
01/07/1985,-0.533942480767647,2.21722627728758,4.73464906331986,5.83404402417562,7.92419865233802,9.46600420245859,1213.04104612282,1214.00355190154,1215.08510723164,0.105447553686454,1.12840650926826,2.08462412957329,6.2548666339255,7.46449987734291,8.55466789639397
01/10/1985,-0.80535391576319,2.08089644083627,4.65780285528806,5.69818360627271,7.89340436617513,9.3816207576972,1213.91796186167,1214.83254100023,1215.86570047451,0.0462166458181515,1.09503607083939,2.03359876752437,6.30571913394572,7.42716488821418,8.57299919740865
01/01/1986,-0.864106275093896,1.95716101042508,4.71070195330178,5.8280926045278,7.93872124003767,9.37008622443919,1214.60220025284,1215.47986333236,1216.54307743947,-0.588298144643159,0.441104134770426,1.41039238222091,6.3620272663531,7.47483037496352,8.64806263586482
01/04/1986,-0.753551801627704,2.02787282684223,4.53108996550416,5.65580035778798,7.84853004225553,9.27971086392562,1215.31120031607,1216.22701856167,1217.20635754597,-1.39138975414009,-0.384609928332578,0.564089412560713,6.35726584157722,7.46293493651752,8.69335851248467
01/07/1986,-0.858797723346954,2.14668617912928,4.74990419162254,5.86982249426846,7.9956319622223,9.45085155301537,1216.4038381068,1217.27689555947,1218.17753749528,-1.63544926594129,-0.77542782870334,0.151418286473761,6.324282222497,7.3683283984416,8.5411735625998
01/10/1986,-0.546258911072359,2.31280797466816,4.94145550067952,5.84888309448054,7.96808429081389,9.31843077085368,1217.23996337731,1218.15156383432,1219.13361590253,-2.14917434175021,-1.16119333585006,-0.299328141272382,6.28427417243833,7.22018287956648,8.40142987020089
01/01/1987,-0.266286251534175,2.58983279818053,5.08272260181405,5.83127680299948,7.87504752019717,9.23756668201862,1218.45998982769,1219.40830907223,1220.25539950794,-1.98070002153876,-1.02594087174803,-0.0789724592842088,5.96140653643483,7.04172342259868,8.21377757163023
