x,ll,lp,lpost
0.0346422792327819,-232.277561055083,-58.0077797378168,-290.285340792899
0.0381536245694241,-231.767978508573,-52.0993180482565,-283.867296556829
0.0416649699060664,-231.277345405131,-47.7247263344957,-279.002071739627
0.0451763152427086,-230.813566884517,-44.4181025709584,-275.231669455475
0.0486876605793508,-230.383226586552,-41.8764000407502,-272.259626627302
0.0521990059159931,-229.991734371347,-39.895794404813,-269.88752877616
0.0557103512526353,-229.643493569989,-38.3352410251404,-267.978734595129
0.0592216965892775,-229.341963723879,-37.0947198638343,-266.436683587713
0.0627330419259198,-229.089887475526,-36.1017776720259,-265.191665147552
0.066244387262562,-228.889215242154,-35.3029417188317,-264.192156960986
0.0697557325992042,-228.741451973774,-34.6580913297614,-263.399543303535
0.0732670779358465,-228.647478978365,-34.136679030564,-262.784158008929
0.0767784232724887,-228.607788725887,-33.7151389100858,-262.322927635973
0.0802897686091309,-228.622548932382,-33.3750749968729,-261.997623929255
0.0838011139457732,-228.691513494342,-33.1019729459626,-261.793486440305
0.0873124592824154,-228.814203835425,-32.8842695082174,-261.698473343643
0.0908238046190576,-228.989943768766,-32.7126708411202,-261.702614609887
0.0943351499556999,-229.217835434411,-32.5796466166408,-261.797482051051
0.0978464952923421,-229.49678195346,-32.4790501118954,-261.975832065356
0.101357840628984,-229.825614960642,-32.4058297778701,-262.231444738512
0.104869185965627,-230.203043727262,-32.3558080412577,-262.55885176852
0.108380531302269,-230.627668746562,-32.3255100768972,-262.953178823459
0.111891876638911,-231.098063253223,-32.3120301084589,-263.410093361682
0.115403221975553,-231.61269628851,-32.3129261667456,-263.925622455256
0.118914567312195,-232.170055982254,-32.3261366226399,-264.496192604894
0.122425912648838,-232.768602143406,-32.3499135220054,-265.118515665411
0.12593725798548,-233.406758975206,-32.3827689880799,-265.789527963286
0.129448603322122,-234.08296274233,-32.4234318623917,-266.506394604722
0.132959948658764,-234.795658561368,-32.4708124236576,-267.266470985026
0.136471293995407,-235.543312383866,-32.523973521919,-268.067285905785
0.139982639332049,-236.32441076669,-32.5821068390012,-268.906517605691
0.143493984668691,-237.137454166032,-32.6445132693248,-269.781967435356
0.147005330005333,-237.98096044775,-32.7105866308479,-270.691547078597
0.150516675341976,-238.853505560701,-32.7798000815926,-271.633305642293
0.154028020678618,-239.75371434821,-32.8516947452783,-272.605409093488
0.15753936601526,-240.680155243295,-32.9258701492154,-273.606025392511
0.161050711351902,-241.63155822201,-33.001976155585,-274.633534377595
0.164562056688545,-242.606638130847,-33.0797061286014,-275.686344259449
0.168073402025187,-243.604105600858,-33.1587911286267,-276.762896729485
0.171584747361829,-244.62277851885,-33.2389949629444,-277.861773481795
0.175096092698471,-245.661487919415,-33.3201099537922,-278.981597873207
