phiy,sme_y,ll,lp,lpost
-0.141958101057016,0.14912961178287,-272.105262843314,-52.50246550928,-324.607728352594
-0.131818236695801,0.14912961178287,-264.15089520568,-52.3636627627738,-316.514557968454
-0.121678372334585,0.14912961178287,-256.854930010978,-52.235141701194,-309.090071712172
-0.11153850797337,0.14912961178287,-250.217372981254,-52.1169023245405,-302.334275305794
-0.101398643612154,0.14912961178287,-244.238223162833,-52.0089446328135,-296.247167795647
-0.0912587792509389,0.14912961178287,-238.917475787345,-51.9112686260129,-290.828744413358
-0.0811189148897235,0.14912961178287,-234.255134669486,-51.8238743041386,-286.079008973625
-0.070979050528508,0.14912961178287,-230.251199809257,-51.7467616671907,-281.997961476448
-0.0608391861672926,0.14912961178287,-226.905669299308,-51.6799307151692,-278.585600014477
-0.0506993218060772,0.14912961178287,-224.218546000663,-51.6233814480741,-275.841927448737
-0.0405594574448617,0.14912961178287,-222.189828005973,-51.5771138659054,-273.766941871878
-0.0304195930836463,0.14912961178287,-220.819515315238,-51.541127968663,-272.360643283901
-0.0202797287224309,0.14912961178287,-220.107609835807,-51.515423756347,-271.623033592154
-0.0101398643612154,0.14912961178287,-220.054107752982,-51.5000012289575,-271.55410898194
0,0.14912961178287,-220.659011927787,-51.4948603864943,-272.153872314281
-0.141958101057016,0.169839607633435,-264.728119020233,-45.9986856856521,-310.726804705885
-0.131818236695801,0.169839607633435,-257.904581193695,-45.8598829391459,-303.764464132841
-0.121678372334585,0.169839607633435,-251.655658845672,-45.7313618775661,-297.387020723238
-0.11153850797337,0.169839607633435,-245.98135292984,-45.6131225009127,-291.594475430753
-0.101398643612154,0.169839607633435,-240.881660585174,-45.5051648091856,-286.38682539436
-0.0912587792509389,0.169839607633435,-236.356584672699,-45.407488802385,-281.764073475084
-0.0811189148897235,0.169839607633435,-232.406124238739,-45.3200944805107,-277.72621871925
-0.070979050528508,0.169839607633435,-229.030277375946,-45.2429818435628,-274.273259219509
-0.0608391861672926,0.169839607633435,-226.229047899017,-45.1761508915413,-271.405198790558
-0.0506993218060772,0.169839607633435,-224.00243294693,-45.1196016244462,-269.122034571376
-0.0405594574448617,0.169839607633435,-222.350433473358,-45.0733340422775,-267.423767515635
-0.0304195930836463,0.169839607633435,-221.273048524627,-45.0373481450351,-266.310396669663
-0.0202797287224309,0.169839607633435,-220.770279054413,-45.0116439327192,-265.781922987132
-0.0101398643612154,0.169839607633435,-220.842126970062,-44.9962214053296,-265.838348375392
0,0.169839607633435,-221.488588456878,-44.9910805628664,-266.479669019745
-0.141958101057016,0.190549603483999,-259.14525461431,-41.6732311300066,-300.818485744317
-0.131818236695801,0.190549603483999,-253.247809889273,-41.5344283835005,-294.782238272774
-0.121678372334585,0.190549603483999,-247.855411055045,-41.4059073219206,-289.261318376966
-0.11153850797337,0.190549603483999,-242.968053343253,-41.2876679452672,-284.25572128852
-0.101398643612154,0.190549603483999,-238.58573961492,-41.1797102535402,-279.765449868461
-0.0912587792509389,0.190549603483999,-234.708467962699,-41.0820342467395,-275.790502209438
-0.0811189148897235,0.190549603483999,-231.336240293936,-40.9946399248653,-272.330880218802
-0.070979050528508,0.190549603483999,-228.469057562308,-40.9175272879174,-269.386584850225
