x,ll,lp,lpost
0.0353519807309275,-195.480027750545,-140.72222990639,-336.202257656934
0.0379283541768883,-197.145010974151,-122.312402014425,-319.457412988575
0.0405047276228491,-198.893089228734,-107.361072850217,-306.25416207895
0.0430811010688099,-200.718886504777,-95.0627167942023,-295.78160329898
0.0456574745147707,-202.616957126259,-84.8328543231366,-287.449811449396
0.0482338479607315,-204.581859183157,-76.2391187287914,-280.820977911948
0.0508102214066923,-206.608345280531,-68.9561506304599,-275.56449591099
0.0533865948526531,-208.691319568127,-62.7353533129554,-271.426672881083
0.0559629682986139,-210.825547284994,-57.3841667208676,-268.209714005862
0.0585393417445747,-213.006505495438,-52.7515849504594,-265.758090445898
0.0611157151905355,-215.229421840171,-48.7178572556324,-263.947279095804
0.0636920886364963,-217.489909566903,-45.1870467318781,-262.676956298781
0.0662684620824571,-219.783788641683,-42.0815754094183,-261.865364051101
0.0688448355284179,-222.107061742995,-39.3381722764178,-261.445234019413
0.0714212089743787,-224.45602438298,-36.9048266810244,-261.360851064004
0.0739975824203395,-226.827139230099,-34.7384719239328,-261.565611154031
0.0765739558663003,-229.217133570895,-32.8032057618233,-262.020339332719
0.0791503293122611,-231.622885139723,-31.068910235198,-262.691795374921
0.0817267027582219,-234.041548598014,-29.5101716535765,-263.55172025159
0.0843030762041827,-236.470458610792,-28.1054284317881,-264.57588704258
0.0868794496501435,-238.907094016097,-26.8362934860557,-265.743387502153
0.0894558230961044,-241.349223487822,-25.687011516575,-267.036235004397
0.0920321965420652,-243.794706910212,-24.6440213625157,-268.438728272728
0.094608569988026,-246.24160967274,-23.6956008261675,-269.937210498908
0.0971849434339868,-248.688188415427,-22.8315766872678,-271.519765102695
0.0997613168799476,-251.132709172959,-22.0430865953227,-273.175795768282
0.102337690325908,-253.57374501019,-21.322382508163,-274.896127518353
0.104914063771869,-256.009912451599,-20.6626676022335,-276.672580053833
0.10749043721783,-258.439928124797,-20.0579603026072,-278.497888427404
0.110066810663791,-260.862736921532,-19.5029804045335,-280.365717326065
0.112643184109752,-263.27728653946,-18.9930532826611,-282.270339822121
0.115219557555712,-265.682591379181,-18.5240289817753,-284.206620360956
0.117795931001673,-268.077864498432,-18.0922136079036,-286.170078106336
0.120372304447634,-270.46229986662,-17.6943109312139,-288.156610797834
0.122948677893595,-272.83527663167,-17.327372502472,-290.162649134142
0.125525051339556,-275.196258652188,-16.9887548958028,-292.18501354799
0.128101424785516,-277.544498441669,-16.6760829394967,-294.220581381166
0.130677798231477,-279.879669147791,-16.3872179969401,-296.266887144731
0.133254171677438,-282.201354093133,-16.1202305216874,-298.32158461482
0.135830545123399,-284.509116411764,-15.8733762421586,-300.382492653923
0.13840691856936,-286.802683586695,-15.6450754386486,-302.447759025344
