param,rhat,means_by_seed_1,means_by_seed_2,means_by_seed_3
gamma1,1.41387877226848,0.475425470960959,0.487362115587285,0.589678425292335
gamma2,1.25270523713175,-0.224632632570165,-0.295021445049882,-0.285179985580325
xi1,1.52932104583939,-0.316182993856264,-0.395412394863831,-0.281712886301373
xi2,1.00029815996138,-0.0209494751882307,-0.0190992610919113,-0.0177558132862527
rhoU,1.18528010181525,0.852694475309745,0.836023428222799,0.768062340484492
theta1,1.37146026172563,0.04095607553384,-0.118791488449133,0.00712571889401831
theta2,1.33239857040365,0.0914815243085679,0.214368076141154,0.0879247205008593
rhopr,1.06026114922188,0.853842047055716,0.905949367773226,0.861421346967602
lam1,1.04419774816094,0.270059736118512,0.201431231058601,0.25808101357582
lam2,1.4405455553849,0.264115417562304,0.0764160876217397,0.0288532084548619
rhohpp,1.43736031020202,0.291340242989168,0.521732785478493,0.416573695381276
chi1,1.18630292455575,0.0209383014301874,0.0496787758990849,0.0356321095454393
chi2,1.13654284913816,0.0109296159869281,-0.00125237872375388,0.0253654979503436
rhok,2.2142126138969,0.834142703015308,0.937344523776202,0.989988480262029
rhow,1.23943933276298,0.949795045783001,0.946411069633108,0.981124054765565
phisum,1.99885273604339,0.838744179409056,0.784789934090721,0.94070549681671
phi2,1.61786101699383,0.0196708847419169,-0.0410449782427045,-0.198446748769936
nu,1.06792233717745,-0.0298609828825501,-0.041208052122926,-0.0521502290040591
alpha,2.11918154831319,0.307894036892958,0.355808270697702,0.214918308181485
gzbar,1.22094745811998,0.249653106255163,0.166487842959289,0.19166026942901
gwbar,1.2404720034483,0.267733764457044,0.343322159434722,0.309937237677072
pistar,1.75971503304102,2.49699752138333,2.60828984825118,2.84239830745938
alphapi,1.47535462528921,0.157596504786564,0.185040018302086,0.0953206006636909
phiy,2.20214543146142,-0.0691738374559077,-0.0253476683648483,-0.0356358758925821
phiu,1.27602425962681,-0.0121071841989234,-0.00803684604543672,-0.00962305863028696
phipr,1.34168157740232,0.000207054081202766,-0.00337499666721059,-0.0127682968636247
phihpp,1.44592984399511,0.0144614906712285,0.0268176142334622,0.0458692122317144
phik,1.200383992032,-0.000641019713733313,-0.0010371949049144,0.00158533582202435
sig_c,1.09494567424895,0.407796295980522,0.40357102596229,0.429711010662485
sig_Ustar,1.79113769694295,0.124846634825076,0.0928834906626138,0.0962549784212484
sig_pie,1.49372919679247,0.205399106641548,0.225542478032899,0.189012119456843
sig_z,1.66443956459375,0.391520840253887,0.349330848070907,0.296860541464546
sig_gz,1.53260006251373,0.0555721961445426,0.0368396130961102,0.0420803037080564
sig_k,2.84425734173116,0.111143037708631,0.08244484413164,0.0707197576258866
sig_gk,2.27203350288497,0.044039291522887,0.0516842424565695,0.0296553543633897
sig_w,1.88829664328309,0.0802633648981106,0.0894432430196834,0.0624443960061041
sig_gw,1.92913268999091,0.0389732288128537,0.0278396276099895,0.0315936632326921
sig_hpp,1.27595422021399,0.213430036603275,0.24987462955381,0.256671560217998
sig_ghpp,1.16038179957966,0.040083626320137,0.0344446379832654,0.0345643573176683
sig_pr,1.41753039537806,0.221842756095535,0.208327474053862,0.181109493701307
sig_gpr,1.15803499531865,0.0393175670001252,0.0357980504443351,0.0328823864287654
sig_xi,1.25270879896096,0.124597602053106,0.153774688474148,0.131016969510624
sme_y,1.40926228597074,0.358156405758347,0.28944096249021,0.322894598680222
sme_pi,1.40992881132765,0.681348172369073,0.689975283365567,0.620942913750223
sme_w,1.33127269729184,0.0640987861540015,0.0736474311632953,0.0654390745261173
sme_U,1.2070645842077,0.14207091464207,0.136146474913557,0.124399260908931
sme_pr,1.03814328291128,0.239029328538306,0.249479124189394,0.241026202589138
sme_hpp,1.14782090502125,0.337755229263462,0.369569574769204,0.364812085078846
sme_k,2.20991788365666,0.0759201644810077,0.0819038047012407,0.0613871468607299
sme_pieobs,1,0.3,0.3,0.3
m84_y,1.36658707498773,1.07571477293536,1.27690508648359,0.761044457119689
m84_z,1.19079140592965,2.06308101577616,2.15183201102055,2.56672818055762
m84_c,1.03067523135083,1.17042040791734,1.1339433475055,1.08363945329712
m93_pi,1.16809494424773,1.59342273570266,1.5376540570895,1.73915985183255
m93_U,1.79208313870748,1.26954318417729,1.51955303437465,2.47717319416465
kapc_2021,1.63004079052108,3.80803749359181,3.50518276493743,7.36732606491874
kapy_20,1.51598935835497,6.38028424876232,5.74797274998125,2.79739899702966
kapy_21,1.53219194499885,4.81286111917442,1.9886319343138,5.57283899433677
kapu_20,1.16326931964268,3.37051719886778,4.14508006256209,2.91315845324814
kapu_2122,1.53272286438759,3.40600092836124,1.65004265924839,1.46403751346847
kappr_20,1.10261369521335,6.96493555081213,6.27361107035018,7.81840322200737
kappr_2122,1.31195695377065,1.94384663809636,2.2191261643855,3.13073157218852
kaphpp_2022,1.13561982675328,3.86589059680534,3.34206567160788,4.43333650777589
kappop_2021,1.15935745666837,3.07002101134734,4.27492432760849,4.69602644460476
kappi_2023,1.56805806195073,3.00081933444076,2.06927234661377,1.78721033210375
kapk_20,1.4864994740707,3.20558275743436,3.09084923644002,6.9479708446778
kapk_21,1.49366009437743,3.58783515875764,1.6057932780637,4.38454985341346
kapHyp_lm_w2020,1.46225854749737,1.24736200338792,1.2376719679398,1.57687617966569
kapHyp_lm_w2021,2.12767815729057,0.997426588344926,0.213111368446189,1.14668517790512
kapHyp_lm_w2122,1.33713756368061,0.966229419240075,0.610320520126752,0.460176543209486
kapHyp_lm_w2021tot,1.04398477859513,1.21294837381602,1.24312831124232,1.35140193424419
kapHyp_lm_w2022tot,1.67761176892691,1.01201986007286,0.957664496205765,1.6182838696975
kapHyp_lm_w2023tot,1.80946166365619,0.774245941208721,0.874308820343951,0.230421835425493
kapHyp_la_w2020,1.12590536469652,1.09614226238379,1.15442867581386,0.820199196491602
kapHyp_la_w2021,2.02407031337402,0.282352307422438,1.08706130807552,0.196486545283628
kapHyp_la_w2122,1.51571729114097,1.1870174270432,0.482523333282878,0.724093576493946
kapHyp_la_w2021tot,1.45899429574618,1.10967795593883,0.507825572528562,1.02827025765957
kapHyp_la_w2022tot,1.8198940033711,0.226045004535455,0.241661723511721,1.09402864416271
kapHyp_la_w2023tot,1.92367792511879,0.836904250517463,1.02436731473546,-0.231294098921605
