stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21
1,0.00746507808344535,1999.99999999998,1000,0.044125,6.17324458333333,0.594891089415582,-0.201648937477695,-0.242225477293868,-0.265962521308774,0.567720278475918,0.22709458182364,0.186347987987591,0.52318548703794,0.239402402287738,0.242983501760474,0.492870899725174,0.0023917840753097,0.00902743291311838,0.490949866385912,0.518983571832902,0.522113785471952,-0.192147604925128,-0.0926789513180055,0.350627721179471,0.29601776423006,0.390419988046258,2.48592382533298,0.480396078870702,-0.00699748516806098,-0.00541189673053993,-0.00252229466699712,0.00236801649913434,-0.00117960425398343,0.660750400493419,0.141537282067895,0.28523369098103,0.463954104708615,0.0461282666516462,0.268026853611769,0.0478952269582182,0.175681972504037,0.0465782767068149,0.36513645785781,0.0471945340782835,0.27794546244914,0.0466819726934831,0.141216410650234,0.533126120416574,0.901548273786341,0.175111460047866,0.231454684610818,0.277704477367552,0.459989139538853,0.181264119359887,1.66778225127556,1.73799783109744,1.63757010849737,1.67624482877618,1.74385252708011,4.29920763926919,4.42318735825485,4.3771542210602,4.55672769637787,4.4657320858521,4.50706142194856,4.38360761756581,4.38514543032334,4.17228946701044,4.30049429491081,4.49126217803668,4.22445964463358
2,0.0163317809260847,1999.99999999998,1000,0.058125,7.455476625,0.57961022595231,-0.207184084292077,-0.240544388592569,-0.261251952432029,0.604812123134885,0.244445950382209,0.159972852543707,0.529433487598777,0.23189255507893,0.190821384154231,0.49911409103299,0.0222229609104818,-0.00332373760936803,0.49091606644458,0.538869609170906,0.531230202600981,-0.143446760950481,-0.0767083177010314,0.35287815670621,0.297555094560907,0.377274531655548,2.43498799109615,0.471630949856887,-0.011251746158595,-0.00616865011354923,-0.00496407037387228,0.00600076043632676,-0.00068646766107035,0.599556201632255,0.139272597414968,0.289584934763005,0.457948502257511,0.0458187646287867,0.252954070154985,0.0483952986874283,0.16580895963006,0.045766942866168,0.360586801325055,0.0472847902746334,0.268307936949041,0.0454927816568674,0.142025632667937,0.508699164481284,0.853510152107985,0.166276327872539,0.22773030678611,0.269322720242655,0.441311116796799,0.168433993316869,1.61858797495502,1.77556081852938,1.58463640371632,1.71142695776643,1.75537895465597,4.42731960294746,4.44964775157666,4.303978336363,4.79730310005842,4.72947075520525,4.59667075612608,4.37963579257911,4.51473629524428,4.15031424927068,4.43577196195957,4.59327526416546,4.01155773058073
3,0.02803745245198,1999.99999999998,1000,0.119,9.26601675,0.551980872340181,-0.213331678704851,-0.279859863221229,-0.219776453928972,0.593745026450942,0.360922501765644,0.122318257115107,0.530047005779877,0.229107783162815,0.121115065862695,0.520457897720445,0.0388349492951522,0.0584791109558341,0.461946624711106,0.526988800956627,0.565515250822723,-0.0688468818325159,-0.0538467473002039,0.359415044692193,0.294754976746595,0.352183898577192,2.27821829511399,0.471520211487307,-0.0168904303960237,-0.00560048593550826,-0.0114141702001342,0.00619788090182839,0.0025333725552005,0.547913964345134,0.136232998779857,0.284098836643722,0.448496377070822,0.0460275310668774,0.238441284554683,0.0499869374401867,0.15741923960149,0.0443230293241573,0.351176241959556,0.046438782400394,0.247741387813816,0.0424935265037274,0.145016647356726,0.490075192523549,0.790736053477752,0.15697335458244,0.228281004016103,0.253539199407557,0.42612483636428,0.155502643780166,1.62977947026616,1.79590292818617,1.56275358847623,1.85073796351829,1.78501578681259,4.81935280301459,4.23914866513864,4.02931741663793,5.28490505665896,5.44665926610229,4.54881313682979,4.28961266406793,4.60407107916876,4.11274697675701,4.87139974059645,4.72456787215644,3.69982701481046
4,0.0432152711888227,1999.99999999998,1000,0.240375,17.8881177916667,0.52640383700321,-0.220828754147606,-0.373712071636482,-0.21557991494112,0.558891643999436,0.503148429088535,0.0952488261700958,0.519303737208614,0.260771918518781,0.0554703813602567,0.537035374345617,0.0521638537958374,0.143083987049671,0.423952603400902,0.505853431764319,0.634757995497589,0.0257997026863958,-0.0360829181177066,0.36815034336268,0.276436245895712,0.328974660875022,2.0947351984712,0.487862866674097,-0.0187713937133532,-0.00225766390829006,-0.0195981285188686,0.00336116520881767,0.00384274364218941,0.510943827909843,0.134483621710495,0.269643284139882,0.433121053042318,0.0466422998997753,0.228816197884867,0.0517802861406362,0.153098398358026,0.0425537989181318,0.342730862871061,0.0453263929396065,0.228281582719931,0.0394678441516629,0.148507289135003,0.479828484795911,0.742956883807967,0.147998526794794,0.231143317788766,0.243436517799956,0.413644443913028,0.14670617063966,1.64791934599197,1.74249050669262,1.53923464449593,2.0212491624342,1.82632563335026,5.30676414066646,3.89305184718493,3.70533150517415,5.7437509977869,6.44501112441074,4.37268829470516,4.12920982538136,4.5695839953334,4.16734328197518,5.41007651043531,4.94824434314478,3.52437821410085
5,0.0589421660073925,1999.99999999998,1000,0.33825,17.8742714583333,0.522361268865453,-0.224687102408272,-0.425275852292581,-0.223302754869434,0.549057748073588,0.545113477054066,0.0678838552707035,0.504851925369894,0.309598228072918,0.0074662427012221,0.533168228091829,0.0421340117912669,0.178090695290349,0.390826201278238,0.503574609162568,0.67726279858138,0.0717558474124802,-0.03763566214229,0.373874405917377,0.260800398717193,0.331730209970205,2.01116583064606,0.490774451749122,-0.0153217641958924,0.000566236266982998,-0.0252863644390483,-0.000526303663094126,0.0041021077569968,0.495300971697889,0.133520810858351,0.258652043116105,0.418315338925626,0.0474018919327937,0.220842178036532,0.0535207370253237,0.150862226435243,0.0412406423017452,0.339192746426285,0.044384551016787,0.21673557956037,0.0375162470991314,0.15187830461539,0.476614379153719,0.725042528533091,0.140616679501318,0.233333817160285,0.243271684246812,0.410556016283736,0.143536613445346,1.65331247911678,1.64081095155484,1.49361353931748,2.06936687984547,1.84307475019822,5.62420211710055,3.58273991332136,3.76553781070734,6.03506797317,7.10563424575689,4.2764504810747,3.94628522399387,4.43583388825388,4.26052671378653,5.56290725651443,5.14418997960649,3.45643612440668
6,0.0771433271930133,1999.99999999998,1000,0.40625,20.6838174166667,0.52742530675491,-0.227379534808365,-0.388935059062478,-0.221332283905077,0.555074708058827,0.510326998638107,0.00834832079064369,0.499590396403277,0.331600950070936,-0.0342999678830182,0.505008443268358,0.032024683481251,0.133074919461059,0.371639935438837,0.541721794408632,0.69708707673704,0.0899862938684006,-0.0426785645331884,0.37922906569413,0.262499041840851,0.344731090913349,2.00306593650911,0.477481113023962,-0.0119591578891468,0.00189132760588828,-0.0275370930018582,-0.00370046410465091,0.00417210971798638,0.495535180494589,0.133084549432081,0.253822949923341,0.408511904586373,0.0482080934715588,0.21302140598804,0.0553355046417565,0.147184136923321,0.0403904724189097,0.33559214331609,0.043915920020409,0.213252390113624,0.035974002869631,0.154814027511809,0.473211973295225,0.710300657415387,0.134636039167625,0.234577794745865,0.247426283424957,0.408308780884872,0.141006488917983,1.60345525628427,1.54540091960263,1.43933593000945,2.02254274926321,1.83836941466386,5.72638622545317,3.41031182570568,4.2701021840962,6.10035968267772,7.27863828849849,4.26718280514597,3.83064801954789,4.29930762085915,4.22250551134081,5.28654193482405,5.24897494826361,3.34278762617421
7,0.100169166891378,1999.99999999998,1000,0.429125,22.9726966666667,0.541062065797464,-0.232607310526307,-0.323505193406606,-0.213076258408277,0.559635241366641,0.474961289035407,-0.0614551602822808,0.50827232776489,0.325134967045117,-0.0548840823293169,0.465718919728541,0.0287904822909512,0.0781420765596941,0.366128635968602,0.59429392081802,0.723804222500597,0.0935870866393622,-0.0478120181819778,0.383127724609007,0.275497268128073,0.352739387375891,2.02239227395546,0.465599609186678,-0.0114692337043148,0.0033145838930173,-0.0274973055522517,-0.00782816334775427,0.00447436406014054,0.50078867428059,0.132791408677164,0.253717262746962,0.399271994522075,0.048357166699863,0.205866870447604,0.0564784888926952,0.142583831007598,0.0400937933402709,0.331840662379206,0.0438694317496626,0.216644258586082,0.0344348949035299,0.159228194451599,0.469300968310319,0.693064008683763,0.130258832203672,0.233147991114825,0.254530293860439,0.400887515867424,0.137848306674123,1.57076170041702,1.47990158276606,1.3828046989645,1.95226016459334,1.81126468677936,5.72228888085321,3.32855184498646,4.76275342445971,6.05442035790957,7.18033185827236,4.25591263880582,3.81790239574406,4.36094281574171,4.16762801621591,4.74107342148496,5.37760104691108,3.1568583678487
8,0.129418739631092,1999.99999999998,1000,0.44225,23.124289375,0.554988555916562,-0.241801375999414,-0.274483723857244,-0.203846427229167,0.56746204186644,0.453063843964256,-0.114492654256511,0.529418418851537,0.298126509898149,-0.074816403886381,0.439352080898482,0.030028316012512,0.0344467707390369,0.358766284615894,0.64172496438854,0.756040009258403,0.0980644756950034,-0.055017044256843,0.385682812045554,0.291100013692941,0.356169939399214,2.03137932866693,0.461120484510953,-0.0126900101786106,0.00428928039378291,-0.0271415465486744,-0.00993377892753014,0.00544506656981603,0.50299258133554,0.131922554172652,0.256134162256581,0.395204803332306,0.0482342714809101,0.197789691003556,0.0569906788495059,0.138138469654923,0.0400588685913585,0.329887973637581,0.0444706383010903,0.221891486263576,0.0329956325568096,0.163895260175034,0.465996007678187,0.677334247513056,0.128311079974602,0.230865954557983,0.260884336419571,0.391429977681607,0.134078219395245,1.54179063423347,1.40702597970263,1.3332786669984,1.91703293770152,1.76168717204021,5.66189296638449,3.27521724640865,5.04430731013648,6.06632624461454,7.00842307708284,4.19667351037082,3.84029543261377,4.47281439721952,4.0824414268282,4.22743996341797,5.56147656261724,2.99843085169472
9,0.164588115534209,1999.99999999998,1000,0.442875,23.0492455,0.560217443788356,-0.253041466083879,-0.242793260934744,-0.199765706965625,0.584083501011439,0.42441861087786,-0.138046873529246,0.562590669782179,0.282365944216448,-0.0836448334201441,0.43344590096671,0.0239104636022798,0.0106576215257611,0.342087683351133,0.659894320338472,0.789577884787136,0.0937269652089067,-0.0636095275628668,0.385866121908875,0.296033265515743,0.360703518779692,2.02765717426213,0.461556374744789,-0.0146310507867806,0.00443806088310791,-0.0273766437126191,-0.0071075365033798,0.00589710323638536,0.503580175868965,0.132078860049197,0.25804193795387,0.389213368824942,0.0480856236517563,0.189099699665584,0.0570310070273588,0.135258179685441,0.0401397204946917,0.331279448964328,0.0448272176372897,0.224231246865257,0.0321301249321778,0.166189482193942,0.463427097353372,0.662094462704231,0.127756914145186,0.229027191690889,0.264216239844337,0.385049910904439,0.129769380571015,1.51234888686697,1.31856899282,1.2991564752334,1.9199193817761,1.69741709294819,5.57433580767475,3.27238567985082,5.15708432759243,6.12494126348579,6.8397348231862,4.18748129917106,3.74215349311591,4.51413640775277,3.99087019724076,4.03758407845128,5.73199583147414,2.91235319659976
10,0.207941999652867,1999.99999999998,1000,0.4555,24.4887165416667,0.562470379317249,-0.265395717938031,-0.221006436952099,-0.201848839502822,0.601813899707879,0.396553140422926,-0.149003913639093,0.60202354278316,0.292647217613076,-0.0999468246799023,0.430241389846455,0.0112184342489153,-0.00675442224768501,0.319644340252242,0.669493691345296,0.813413440090642,0.0809931890616894,-0.072611834366262,0.385335044451756,0.295266707951173,0.361400244636174,2.02640183858836,0.461752272682729,-0.0165259950713905,0.00420366224619919,-0.0279057211103784,-0.00258076129190214,0.00572323111091903,0.510941762213219,0.132586935979418,0.257063828728629,0.383852103154227,0.0477815068095877,0.18032834276507,0.0565323701366333,0.133287480225129,0.0400894641069676,0.333458100437131,0.0453560502594471,0.226297552025551,0.0313814236067068,0.16747990303851,0.464576942093089,0.646153840525583,0.126568035891782,0.227569482728378,0.26682328472069,0.376393035620168,0.124749614070159,1.45350426332734,1.20674501137692,1.25598353172724,1.93268275665347,1.61191169722114,5.41310132790068,3.24962493141561,5.27545506689715,6.2492259130591,6.65861877329467,4.17248949427975,3.54716201936802,4.49140873552404,3.86130166940522,4.01052433141972,6.0284067401267,2.84440116418367
