param,base_mean,base_sd,base_q50,flag_mean,flag_sd,flag_q50,delta_mean,delta_q50
alpha,0.358630276019667,0.040719716811647,0.3586026231488,0.356094026575612,0.0420470525625446,0.356073835284077,-0.00253624944405534,-0.00252878786472233
alphapi,0.122317740282473,0.0484856684271647,0.119262803810147,0.122880158112677,0.0482114178498659,0.118518006101177,0.000562417830203915,-0.000744797708970332
chi1,0.034257709634125,0.0191810475382972,0.0342014533598034,0.0351904351298759,0.0182915799079752,0.0348513269904317,0.00093272549575088,0.00064987363062835
chi2,0.0100209211315457,0.0192863769066423,0.0097162617198515,0.00884061348760873,0.0187407301379227,0.00866787251695847,-0.00118030764393698,-0.00104838920289304
gamma1,0.50800368222525,0.0693266697713433,0.507478982406815,0.505765276696981,0.0699722632123403,0.505677154103231,-0.00223840552826882,-0.00180182830358455
gamma2,-0.227979526030255,0.0622751150723813,-0.224356976928478,-0.230368657696406,0.0600347356653292,-0.226598654233285,-0.00238913166615187,-0.0022416773048064
gwbar,0.335192316758443,0.0637074424148081,0.335675834788981,0.352316980578721,0.0663397328036562,0.352163186007285,0.0171246638202779,0.0164873512183043
gzbar,0.163762227127412,0.0706907128814053,0.163601149875218,0.149270641201105,0.0717559396305621,0.150005348820124,-0.0144915859263068,-0.0135958010550941
kapHyp_la_w2020,0.660998326101435,0.545326460633973,0.652232165999599,0.635783125683704,0.528914560683581,0.650621770138221,-0.0252152004177308,-0.00161039586137723
kapHyp_la_w2021,0.691487913126631,0.529920712034169,0.697642907158513,0.686559101152661,0.525321695253308,0.693262083461975,-0.00492881197397077,-0.00438082369653803
kapHyp_la_w2021tot,0.635555779563843,0.557740819120119,0.624124971711614,0.630065542752622,0.540429330055347,0.631881990854225,-0.00549023681122096,0.00775701914261084
kapHyp_la_w2122,0.834020131801642,0.555285536527672,0.833697912531294,0.777882157362654,0.564275850516734,0.782260175029355,-0.0561379744389882,-0.0514377375019387
kapHyp_lm_w2020,1.51504417937112,0.342883837366589,1.51897078782059,1.50314553478459,0.342687641979645,1.51102077684326,-0.0118986445865268,-0.00795001097732806
kapHyp_lm_w2021,1.00888305771158,0.398455201458543,1.00740011395421,0.917061872977486,0.403070156551378,0.922287632019854,-0.0918211847340976,-0.0851124819343513
kapHyp_lm_w2021tot,1.20496511394377,0.374250848879804,1.20757547789382,1.26014287003499,0.367652117045512,1.26485587055802,0.0551777560912237,0.0572803926641987
kapHyp_lm_w2122,0.754527919772222,0.365838955998076,0.764863567539624,0.734867787408025,0.375126230568583,0.737435151944789,-0.0196601323641968,-0.027428415594835
kapc_2021,4.75265167719267,2.65921073287914,4.28747678995189,5.30810921631251,2.78646238184247,4.94107094808324,0.555457539119843,0.653594158131347
kaphpp_2022,4.03150083736916,1.06796726840674,3.89689783569463,3.8129360878574,0.991752850592131,3.67160223530766,-0.21856474951176,-0.225295600386969
kapk_20,3.04881107528973,1.76685320616142,2.54262316418583,3.30802265184552,1.90027788626121,2.82837955432583,0.259211576555783,0.285756390140006
kapk_21,2.18402676549679,0.99537195179692,1.91714612346735,2.07385546598016,0.926290731245391,1.82284971111009,-0.110171299516629,-0.0942964123572525
kappi_2023,2.25773589470567,0.485697660376922,2.18512469808541,2.24372898954479,0.515083038442166,2.15850593205189,-0.0140069051608784,-0.0266187660335242
kappop_2021,5.66053342223797,1.73960433661554,5.39875044086639,5.80250575136581,1.89690104932286,5.52100930108974,0.141972329127835,0.122258860223345
kappr_20,9.48377786272101,2.93171272709851,8.93390461393846,9.45814199618798,2.91826022843619,8.95272984830737,-0.0256358665330261,0.0188252343689115
kappr_2122,2.57927702208781,0.767554576944376,2.44714100821031,2.4230132871075,0.801298589814107,2.28045400801438,-0.156263734980307,-0.166687000195928
kapu_20,5.70235539242017,2.80013595519086,5.20973729335677,5.59242140714865,2.77577351497899,5.04632442601127,-0.109933985271526,-0.163412867345499
kapu_2122,1.90335903441526,0.680739139721379,1.73578576006538,1.89400717608379,0.731444323627845,1.69923565574416,-0.00935185833146912,-0.0365501043212211
kapy_20,7.56397897891226,3.91509681721214,7.0590470021225,7.08666086440135,3.920957101343,6.41089297134099,-0.477318114510912,-0.648154030781509
kapy_21,4.61740372501798,2.11250016204508,4.26792092285402,4.26581212316242,2.00800602882295,3.88755188383252,-0.351591601855558,-0.380369039021498
lam1,0.31254998805715,0.111784753366775,0.312120578186098,0.300853967488834,0.10419007318644,0.300500024071634,-0.0116960205683165,-0.0116205541144644
lam2,-0.169127643987592,0.128723925534794,-0.172750930096995,-0.163806820783201,0.124463892306105,-0.169500493490209,0.0053208232043917,0.00325043660678617
m84_c,1.76748931287575,0.338387484246907,1.73892996013634,1.71455419118866,0.337312062355139,1.68808308423683,-0.0529351216870926,-0.0508468758995135
m84_y,1.07893009033405,0.373833591917607,1.02798971282933,1.22375837349216,0.41460922472703,1.16540450995911,0.144828283158104,0.137414797129779
m84_z,1.95434481311232,0.463507464010356,1.92103825314688,1.88452283078936,0.46316432556868,1.85622649502936,-0.06982198232296,-0.0648117581175118
m93_U,1.79091955789889,0.417686784485474,1.76953375935141,1.69506865228501,0.430597241981422,1.67159153035674,-0.0958509056138854,-0.0979422289946723
m93_pi,1.7707859891774,0.228984117642344,1.75044553817477,1.75605993972812,0.223165047120617,1.73839181104349,-0.0147260494492791,-0.012053727131274
nu,-0.0212714208065166,0.0257134559485054,-0.0180788837163415,-0.0186160429680256,0.025935232321387,-0.0154473166643675,0.00265537783849097,0.00263156705197398
phi2,-0.446836934891559,0.122768354911661,-0.456253687033136,-0.444757791558573,0.128687715332372,-0.457220498565127,0.00207914333298548,-0.000966811531991574
phihpp,0.0127196822270075,0.0172049852940466,0.0131816495845743,0.0113607218213758,0.0173027607839711,0.011472363015994,-0.0013589604056317,-0.00170928656858027
phik,0.000293124803370003,0.0014502769948632,0.000314565396748575,0.000418885348352286,0.00148313760254307,0.000402609077934702,0.000125760544982284,8.80436811861262e-05
phipr,-0.00328007990440845,0.00835896072568201,-0.00347103198063123,-0.00277899450893577,0.0079729027023575,-0.00295850967673022,0.000501085395472683,0.000512522303901006
phisum,0.955832627637741,0.0218555042043267,0.95907044120697,0.955237471165494,0.0222746132281747,0.958740755837137,-0.000595156472246172,-0.000329685369833466
phiu,-0.00754161628545909,0.00306692545012751,-0.00730707029495291,-0.00789691495626998,0.00346712700630397,-0.0075913849842891,-0.000355298670810886,-0.00028431468933619
phiy,-0.0273116238136229,0.0158134022306474,-0.0246902273733643,-0.0220465415157297,0.014033595206324,-0.0192816333414178,0.00526508229789317,0.00540859403194653
pistar,2.56239093486816,0.157134526621451,2.56363870877734,2.56458676855437,0.162626363872922,2.56508757657111,0.0021958336862129,0.00144886779376918
rhoU,0.647012156688144,0.09754064273976,0.649083347241848,0.636330766603825,0.0977088967785148,0.639766062654944,-0.010681390084319,-0.00931728458690428
rhohpp,0.55573148406189,0.130940051497686,0.559183255545914,0.568506580605049,0.139938100917802,0.57038016049798,0.0127750965431592,0.0111969049520658
rhok,0.974601169454978,0.0202838988370041,0.979414580004573,0.974798167048669,0.0203435201172857,0.980015668979257,0.000196997593690407,0.000601088974684028
rhopr,0.812331107792713,0.08372939116813,0.81678981081809,0.811288783443262,0.0852736950527239,0.815622230403933,-0.00104232434945017,-0.00116758041415654
rhow,0.960904744788627,0.02632306567902,0.966281274259448,0.958030682549659,0.0271492303509566,0.963099843526319,-0.00287406223896769,-0.00318143073312904
sig_Ustar,0.0939084331748583,0.0128433357392109,0.0931686095940117,0.097070540930784,0.0144973944955423,0.0959760150999304,0.00316210775592572,0.00280740550591868
sig_c,0.359116758711186,0.0348069725975997,0.35696469289696,0.370450855978969,0.0395719391272796,0.368231615896737,0.0113340972677831,0.0112669229997769
sig_ghpp,0.0349131761398808,0.00719881455151501,0.0340061859311125,0.0340748665292952,0.006895029201789,0.0332157522796538,-0.000838309610585557,-0.000790433651458693
sig_gk,0.0368969756311294,0.00444284303467266,0.036698530579587,0.0363852839100913,0.00441280365322613,0.0361302409617067,-0.000511691721038099,-0.000568289617880295
sig_gpr,0.0365103859820122,0.00729710177170635,0.0356315723183131,0.0364638819651565,0.00747334398276772,0.0355393199052259,-4.65040168556238e-05,-9.22524130872113e-05
sig_gw,0.0301403356128875,0.00380795942583089,0.0298549212817515,0.0295603654301105,0.00392106988455556,0.0292371394941936,-0.000579970182777018,-0.000617781787557906
sig_gz,0.041006067845115,0.00875788830623907,0.0397997847361601,0.0411822068108042,0.00917637608634712,0.0399903527373879,0.000176138965689174,0.000190568001227777
sig_hpp,0.227548353703097,0.0317113524870707,0.225016866488644,0.231614140271808,0.0327869123240649,0.229287887446053,0.00406578656871151,0.00427102095740911
sig_k,0.0728990343009908,0.00545767097681263,0.0724982622221269,0.0733215179199696,0.00571885734647546,0.0728404426066608,0.000422483618978842,0.000342180384533944
sig_pie,0.20700788253156,0.0186580513791661,0.206064735579045,0.208915075734396,0.0195731385139567,0.207813018249598,0.00190719320283572,0.00174828267055352
sig_pr,0.178706732531761,0.0248791500393586,0.177375815046492,0.180380476532662,0.0247453583084011,0.179042189365198,0.00167374400090167,0.00166637431870653
sig_w,0.0569569623687983,0.00453501860249048,0.0567490114164011,0.0571662163906508,0.00487496682428751,0.0568012596271972,0.000209254021852477,5.22482107961422e-05
sig_xi,0.129823154228328,0.037205033024211,0.123013004550848,0.135355320953947,0.0398306300453366,0.128575427738717,0.00553216672561871,0.00556242318786884
sig_z,0.327329437854216,0.0392448487869484,0.32600331249658,0.33083830852946,0.0403395764814633,0.329249374387125,0.00350887067524386,0.00324606189054488
sme_U,0.11529629043802,0.012198113690383,0.114625082483327,0.115654871550702,0.0121452369051367,0.115002274283526,0.000358581112682319,0.000377191800198767
sme_hpp,0.351809674649934,0.0293288349281213,0.351456778675057,0.355243941445333,0.0312862737339741,0.354491279416304,0.00343426679539949,0.00303450074124756
sme_k,0.0581451165730322,0.00494565070192052,0.0578292778206949,0.0580075320677595,0.00521176573503288,0.0576433670750997,-0.000137584505272695,-0.00018591074559525
sme_pi,0.642927455361707,0.0419440473093108,0.641170104924391,0.646311662008327,0.0445854445874291,0.643780917225357,0.00338420664662042,0.00261081230096516
sme_pieobs,0.3,4.44089209850062e-16,0.3,0.3,4.44089209850062e-16,0.3,0,0
sme_pr,0.227398850223469,0.0234665475966955,0.227355258995825,0.228023427141657,0.023592643239293,0.22794356783129,0.000624576918187431,0.000588308835464735
sme_w,0.0572835590304209,0.00479269986030721,0.0570240225261755,0.0569596956377628,0.00480241300948001,0.0566714148103325,-0.000323863392658032,-0.000352607715843015
sme_y,0.265119041075781,0.0274366586651274,0.26418231758205,0.256497242501067,0.0267257144619535,0.254877082181706,-0.0086217985747144,-0.00930523540034367
theta1,-0.0241931198192859,0.0784694489186626,-0.0253558455323305,-0.0107420743369334,0.0771994856138803,-0.0106348561167967,0.0134510454823525,0.0147209894155338
theta2,0.10789531087922,0.0808860026787549,0.108792479592233,0.0934442688303979,0.0821001516453953,0.0927743057192582,-0.0144510420488225,-0.016018173872975
xi1,-0.285754085654717,0.0604844281627644,-0.285119639621224,-0.276720867875932,0.0587489318479733,-0.274706313387505,0.00903321777878452,0.0104133262337192
xi2,-7.73862981725602e-05,0.0922062702255598,-0.00245554893983599,-0.011042876664797,0.0885561219067146,-0.0135869090872612,-0.0109654903666244,-0.0111313601474252
