param,base_mean,base_sd,base_q50,flag_mean,flag_sd,flag_q50,delta_mean,delta_q50
alpha,0.358630276019667,0.040719716811647,0.3586026231488,0.358563020277394,0.0443742852827994,0.358446596356536,-6.72557422733977e-05,-0.000156026792263897
alphapi,0.122317740282473,0.0484856684271647,0.119262803810147,0.118391553034441,0.0488347849817491,0.11448729560484,-0.00392618724803198,-0.00477550820530696
chi1,0.034257709634125,0.0191810475382972,0.0342014533598034,0.0347590407186255,0.0193636703804164,0.0345086253776543,0.000501331084500553,0.000307172017850965
chi2,0.0100209211315457,0.0192863769066423,0.0097162617198515,0.0114805988416636,0.0201722146223054,0.0108319888337639,0.00145967771011786,0.00111572711391242
gamma1,0.50800368222525,0.0693266697713433,0.507478982406815,0.509565255548471,0.0683356773052942,0.508970669773979,0.00156157332322104,0.00149168736716387
gamma2,-0.227979526030255,0.0622751150723813,-0.224356976928478,-0.236668014460119,0.0621514378178269,-0.232751133782866,-0.00868848842986475,-0.0083941568543876
gwbar,0.335192316758443,0.0637074424148081,0.335675834788981,0.339894215607339,0.0675568845366561,0.33921206240703,0.00470189884889599,0.00353622761804906
gzbar,0.163762227127412,0.0706907128814053,0.163601149875218,0.15132302812053,0.0718392115607029,0.151681750395976,-0.0124391990068822,-0.0119193994792417
kapHyp_la_w2020,0.660998326101435,0.545326460633973,0.652232165999599,0.493555228630422,0.576886227359977,0.495852702009738,-0.167443097471013,-0.156379463989861
kapHyp_lm_w2020,1.51504417937112,0.342883837366589,1.51897078782059,1.50028270568597,0.363952966740591,1.51376347145506,-0.0147614736851509,-0.00520731636552862
kapc_2021,4.75265167719267,2.65921073287914,4.28747678995189,3.95423780950504,2.06453348092365,3.57722951103708,-0.798413867687635,-0.710247278914807
kaphpp_2022,4.03150083736916,1.06796726840674,3.89689783569463,3.97519679817592,1.00409573337073,3.85448895615504,-0.0563040391932432,-0.0424088795395865
kapk_20,3.04881107528973,1.76685320616142,2.54262316418583,3.40889530110526,2.0223220917567,2.88683119698106,0.360084225815523,0.344208032795231
kapk_21,2.18402676549679,0.99537195179692,1.91714612346735,2.03928385877406,0.893664432975133,1.79705706150216,-0.144742906722735,-0.120089061965186
kappi_2023,2.25773589470567,0.485697660376922,2.18512469808541,2.23418484483288,0.48962206005489,2.15991332049442,-0.0235510498727884,-0.025211377590995
kappop_2021,5.66053342223797,1.73960433661554,5.39875044086639,5.25635601201282,1.46011273527267,5.0634172377203,-0.404177410225154,-0.335333203146093
kappr_20,9.48377786272101,2.93171272709851,8.93390461393846,9.70648790398924,3.15657253433245,9.11949716551571,0.222710041268229,0.185592551577258
kappr_2122,2.57927702208781,0.767554576944376,2.44714100821031,2.78940297864784,0.828792139635963,2.65929910514504,0.210125956560032,0.212158096934739
kapu_20,5.70235539242017,2.80013595519086,5.20973729335677,6.31350400560898,3.28306108451087,5.73168382484826,0.611148613188806,0.521946531491483
kapu_2122,1.90335903441526,0.680739139721379,1.73578576006538,1.87417303448473,0.70578401393518,1.69093150141506,-0.0291859999305311,-0.044854258650318
