param,neff,post_sd,pooled_mean,q05,q50,q95,rhat_classic,rhat_rank_bulk,rhat_rank_folded,rhat_rank
phisum,2.62386275827392,0.0294257873030888,0.949728636161969,0.894761287614402,0.955905367416763,0.9838908264796,1.2570173359556,1.19714839119225,1.10080939153809,1.19714839119225
phi2,2.86303577541666,0.147931522402662,-0.420156627873949,-0.62954959581029,-0.437588094772845,-0.146355256851656,1.22858254360926,1.20775269144993,1.05537347136051,1.20775269144993
theta2,3.1490928428333,0.0902933526669853,0.100337351016859,-0.045492043113353,0.098974418277912,0.250413383872162,1.20192500109587,1.20347724433825,1.03257999566422,1.20347724433825
xi2,3.19112997302098,0.103667537573822,-0.000530963184324843,-0.163615513013327,-0.00410071902546663,0.176663322696054,1.19852653448692,1.19797474668527,1.02516755076981,1.19797474668527
sme_pr,3.29781509819167,0.0255968304799143,0.225816483663589,0.184599662428855,0.22540757137458,0.268523558058089,1.19039755356713,1.1895706348125,1.0178654917467,1.1895706348125
lam2,3.30409527309723,0.143316494933513,-0.138067127269093,-0.347814012726685,-0.152758014638036,0.127181480528715,1.18993986944141,1.16654130955221,1.07303783374043,1.16654130955221
xi1,3.56101778855554,0.0667952102944295,-0.283600866320905,-0.395979663482843,-0.281242746589278,-0.176789011033384,1.17294333187975,1.17207857910685,1.02940302836298,1.17207857910685
theta1,3.62967694137481,0.083447973686202,-0.0206200674150302,-0.159100371118752,-0.0201475868601289,0.116173568284745,1.16890706137447,1.16995210119643,1.02586519603719,1.16995210119643
kapc_2021,3.8202521883989,2.09751820629805,4.09164996679819,1.35787643326672,3.79792427812454,7.86151125254985,1.15863548133971,1.19573475283437,1.01354993277386,1.19573475283437
rhoU,3.92576639446363,0.104805551509702,0.663383475379322,0.491651593128545,0.663609607991299,0.834191111692514,1.15347075401745,1.15474767538316,1.01949382720594,1.15474767538316
sig_Ustar,4.62554955042279,0.0147740815798855,0.0976736173580348,0.0750725874282474,0.0967457396632284,0.123314210984593,1.12624010593986,1.12617812900403,1.01089927123723,1.12617812900403
phiu,4.67406989976469,0.00339760529282823,-0.00720552877843393,-0.013114207581314,-0.00694772855633708,-0.00213006278407175,1.12470704882018,1.14176568084661,1.02062296787878,1.14176568084661
