param,base_mean,base_sd,base_q50,flag_mean,flag_sd,flag_q50,delta_mean,delta_q50
alpha,0.352115519182295,0.0389672757559111,0.352996605035894,0.357171291855393,0.044345281457108,0.357616592514213,0.00505577267309815,0.00461998747831893
alphapi,0.123984022447168,0.048775509911465,0.121675960198229,0.12835702863522,0.0517258014651793,0.124709100766808,0.004373006188052,0.00303314056857934
chi1,0.0337195460752727,0.0196002620454208,0.0339438890039604,0.0289218587130647,0.0162293463926538,0.0287580236230552,-0.00479768736220795,-0.00518586538090521
chi2,0.0106264224413684,0.0194859569848381,0.0102427332481652,0.0125119708839443,0.0169014756879987,0.0123893909931034,0.00188554844257586,0.0021466577449382
gamma1,0.501742283071854,0.067848545656469,0.502106815318234,0.496598202078297,0.068197945671547,0.495563139720481,-0.0051440809935574,-0.00654367559775249
gamma2,-0.225170550873147,0.0603234889742368,-0.222589426287753,-0.22323649530814,0.0623830026023145,-0.219027419174256,0.00193405556500728,0.00356200711349663
gwbar,0.338586601457129,0.0645850476283255,0.339457074571198,0.340355167503554,0.0702598329500648,0.340602193710058,0.00176856604642467,0.00114511913886045
gzbar,0.162667580511161,0.0706709166416431,0.162604260070725,0.149851981951502,0.0773821748907612,0.150735441826466,-0.0128155985596588,-0.0118688182442597
kapHyp_la_w2021tot,0.603588652801963,0.554152076523608,0.579672348077044,0.704562757319076,0.602850811478139,0.691040320402672,0.100974104517113,0.111367972325628
kapHyp_la_w2022tot,0.618627092814078,0.551211269104469,0.623292652555138,0.677694346678879,0.555213307533581,0.6854061924672,0.0590672538648009,0.0621135399120623
kapHyp_la_w2023tot,0.859928208193296,0.540872027445436,0.861460433002847,0.706560205163038,0.575756214542617,0.721420830445789,-0.153368003030257,-0.140039602557059
kapHyp_lm_w2021tot,1.18473249509591,0.3867277644067,1.17693781288949,1.41748979317566,0.351363398760297,1.42339613137799,0.232757298079752,0.246458318488498
kapHyp_lm_w2022tot,1.17578462148614,0.391561021256061,1.17361639624022,0.934275531965713,0.389993178749384,0.934440492113481,-0.241509089520429,-0.239175904126739
kapHyp_lm_w2023tot,0.800722513498132,0.38626432578773,0.799385501525564,0.825752144982548,0.404009708248227,0.821691865777668,0.0250296314844167,0.0223063642521044
kapc_2021,4.37416210752579,2.57599129498604,3.83729577345634,7.02251724968722,2.44467551720662,6.73193995254442,2.64835514216142,2.89464417908808
kaphpp_2022,4.05113392338719,1.08514157528779,3.90878942083571,3.41079819379253,0.964687826947907,3.263289909415,-0.640335729594663,-0.645499511420709
kappi_2023,2.28428268675669,0.503006230025364,2.21098577729818,2.20199948371389,0.493404984216606,2.13621790036931,-0.0822832030428047,-0.07476787692887
kappop_2021,5.45579496360225,1.66084126517238,5.22085825588667,5.71658159133663,1.83934888591636,5.461390893392,0.260786627734372,0.240532637505335
lam1,0.307306060139928,0.111624672088193,0.307687988826542,0.339842487341478,0.0991057562902539,0.338957960922701,0.03253642720155,0.0312699720961592
lam2,-0.165573304902505,0.126990487523889,-0.168322261602125,-0.205176309331156,0.114074805876472,-0.208188613790062,-0.0396030044286515,-0.0398663521879367
m84_c,1.77391028480769,0.339880154017498,1.74596704885601,1.72627508375878,0.329075674335801,1.70284000252499,-0.0476352010489103,-0.0431270463310256
m84_y,1.10089952483989,0.394171777922571,1.04582212652982,1.1405208621546,0.39200617733887,1.08938884849518,0.0396213373147092,0.0435667219653593
m84_z,1.93528232027864,0.457306514965309,1.90218803584296,1.8902881546924,0.456889974664695,1.86004035161544,-0.0449941655862458,-0.0421476842275104
m93_U,1.76973673826363,0.410722548520719,1.73977974911117,1.82140956098505,0.449270178884875,1.78905952485728,0.0516728227214192,0.0492797757461165
m93_pi,1.80067884460042,0.23680452286738,1.77737270462517,1.76846387705781,0.242639085657388,1.74816000588528,-0.0322149675426131,-0.0292126987398917
nu,-0.0215055014354699,0.0257186852358385,-0.0182154937475404,-0.0194248994218047,0.0266979052651493,-0.0164331255310119,0.00208060201366522,0.00178236821652846
phi2,-0.453296731719822,0.122828967950442,-0.462813651411536,-0.397733813797427,0.126386242523789,-0.407352557413048,0.0555629179223945,0.0554610939984875
phihpp,0.0116509162266327,0.0173910413058227,0.0118352716120928,0.0077009166800096,0.0153448475578388,0.00745398238813455,-0.00394999954662305,-0.00438128922395826
phik,0.000331202835275201,0.00142592395050076,0.000352371305781113,0.00049405239483586,0.00125560827140599,0.000493543239869876,0.000162849559560659,0.000141171934088763
phipr,-0.0020814285644657,0.00840329751516194,-0.0024894214141581,-0.00303124451369393,0.00731396218491173,-0.00336806953877475,-0.00094981594922823,-0.00087864812461665
phisum,0.954503949762219,0.0211025260757335,0.957315743038651,0.955163978308029,0.0206892687256002,0.957944890790741,0.000660028545810487,0.000629147752089665
