flag,n_params,max_rhat_rank,median_neff,econ_deltas,latent_deltas
FixSingletonKappa,75,1.20896752861147,10.4479889782907,gamma2: base=-0.2226 flag=-0.2222 d=0.0004; nu: base=-0.0182 flag=-0.0159 d=0.0023; alpha: base=0.3530 flag=0.3562 d=0.0032; phisum: base=0.9573 flag=0.9598 d=0.0025; phi2: base=-0.4628 flag=-0.4500 d=0.0128; rhoU: base=0.6586 flag=0.6309 d=-0.0277; sig_k: base=0.0723 flag=0.0729 d=0.0006; sig_Ustar: base=0.0947 flag=0.0947 d=0.0000,rstar_end: base=0.732 flag=0.704 d=-0.028; nairu_end: base=5.263 flag=5.248 d=-0.015; gap_end: base=1.184 flag=1.241 d=0.057; trend_infl_end: base=2.485 flag=2.487 d=0.002; gap_2020Q2: base=-2.371 flag=-3.350 d=-0.979
PoolAcuteOnly,69,1.20775269144993,7.73784675565506,gamma2: base=-0.2226 flag=-0.2292 d=-0.0066; nu: base=-0.0182 flag=-0.0174 d=0.0009; alpha: base=0.3530 flag=0.3624 d=0.0094; phisum: base=0.9573 flag=0.9559 d=-0.0014; phi2: base=-0.4628 flag=-0.4376 d=0.0252; rhoU: base=0.6586 flag=0.6636 d=0.0050; sig_k: base=0.0723 flag=0.0713 d=-0.0010; sig_Ustar: base=0.0947 flag=0.0967 d=0.0021,rstar_end: base=0.732 flag=0.714 d=-0.018; nairu_end: base=5.263 flag=5.254 d=-0.009; gap_end: base=1.184 flag=1.151 d=-0.033; trend_infl_end: base=2.485 flag=2.488 d=0.003; gap_2020Q2: base=-2.371 flag=-2.453 d=-0.082
CovidDecay,70,1.17590785944857,8.97399274008622,gamma2: base=-0.2226 flag=-0.2190 d=0.0036; nu: base=-0.0182 flag=-0.0164 d=0.0018; alpha: base=0.3530 flag=0.3576 d=0.0046; phisum: base=0.9573 flag=0.9579 d=0.0006; phi2: base=-0.4628 flag=-0.4074 d=0.0555; rhoU: base=0.6586 flag=0.6127 d=-0.0459; sig_k: base=0.0723 flag=0.0728 d=0.0005; sig_Ustar: base=0.0947 flag=0.0925 d=-0.0022,rstar_end: base=0.732 flag=0.696 d=-0.036; nairu_end: base=5.263 flag=5.298 d=0.035; gap_end: base=1.184 flag=1.324 d=0.140; trend_infl_end: base=2.485 flag=2.480 d=-0.005; gap_2020Q2: base=-2.371 flag=-4.990 d=-2.619
DropPhiY,79,1.23290149348036,9.00619906360818,gamma2: base=-0.2226 flag=-0.2298 d=-0.0072; nu: base=-0.0182 flag=-0.0171 d=0.0011; alpha: base=0.3530 flag=0.3563 d=0.0033; phisum: base=0.9573 flag=0.9571 d=-0.0002; phi2: base=-0.4628 flag=-0.4687 d=-0.0059; rhoU: base=0.6586 flag=0.6380 d=-0.0206; sig_k: base=0.0723 flag=0.0722 d=-0.0001; sig_Ustar: base=0.0947 flag=0.0954 d=0.0008,rstar_end: base=0.732 flag=0.729 d=-0.004; nairu_end: base=5.263 flag=5.270 d=0.007; gap_end: base=1.184 flag=1.260 d=0.076; trend_infl_end: base=2.485 flag=2.491 d=0.006; gap_2020Q2: base=-2.371 flag=-3.405 d=-1.034
