param,base_mean,base_sd,base_q50,flag_mean,flag_sd,flag_q50,delta_mean,delta_q50
alpha,0.352115519182295,0.0389672757559111,0.352996605035894,0.355679661472935,0.0423465300296311,0.356276812222366,0.00356414229064023,0.0032802071864716
alphapi,0.123984022447168,0.048775509911465,0.121675960198229,0.121852220626896,0.0496495970100016,0.117831506314599,-0.00213180182027217,-0.00384445388362969
chi1,0.0337195460752727,0.0196002620454208,0.0339438890039604,0.034386150883177,0.0185428396463275,0.0338907035362018,0.000666604807904363,-5.31854677585375e-05
chi2,0.0106264224413684,0.0194859569848381,0.0102427332481652,0.00780900080515032,0.0181347308619175,0.00781171661871062,-0.0028174216362181,-0.0024310166294546
gamma1,0.501742283071854,0.067848545656469,0.502106815318234,0.508486570723277,0.0673677970908759,0.509580232474725,0.00674428765142243,0.00747341715649152
gamma2,-0.225170550873147,0.0603234889742368,-0.222589426287753,-0.234410544356029,0.0598319126496416,-0.229779001878252,-0.00923999348288204,-0.00718957559049971
gwbar,0.338586601457129,0.0645850476283255,0.339457074571198,0.352596025757629,0.0646931285759987,0.352123442967422,0.0140094243004995,0.0126663683962243
gzbar,0.162667580511161,0.0706709166416431,0.162604260070725,0.151339258738117,0.0718917379096956,0.15171287658619,-0.0113283217730438,-0.0108913834845355
kapHyp_la_w2020,0.550470551101488,0.520541955194546,0.553787263364961,0.573215987333575,0.501285119401686,0.575171084454122,0.0227454362320871,0.0213838210891607
kapHyp_la_w2021,0.667116189385937,0.516717618427837,0.679597670572075,0.663607812091751,0.543471612268402,0.658908629222743,-0.00350837729418574,-0.0206890413493326
kapHyp_la_w2021tot,0.603588652801963,0.554152076523608,0.579672348077044,0.682283873256899,0.568875494956677,0.666407260765037,0.0786952204549358,0.0867349126879936
kapHyp_la_w2022tot,0.618627092814078,0.551211269104469,0.623292652555138,0.732786284677878,0.558400429222552,0.724309854797596,0.1141591918638,0.101017202242458
kapHyp_la_w2023tot,0.859928208193296,0.540872027445436,0.861460433002847,0.713502542661647,0.519197377382083,0.70959315802391,-0.146425665531649,-0.151867274978937
