date,rstar_q05,rstar_med,rstar_q95,nairu_q05,nairu_med,nairu_q95,taustar_q05,taustar_med,taustar_q95,gap_q05,gap_med,gap_q95,trend_inflation_q05,trend_inflation_med,trend_inflation_q95
01/01/1979,-2.13373738180589,1.05236486045714,4.45319474608723,4.63728649390257,6.30141821591048,7.9084118295284,1192.60282630318,1194.83246774898,1197.13498226568,-2.23528263419061,0.0388465598471856,2.15514927121853,7.12059207391223,8.7167372545221,10.3268829359264
01/04/1979,-2.08362200950356,1.07251203756184,4.36042639638108,4.73930580610838,6.41417599834751,8.03360243681397,1193.28006036831,1195.50331530845,1197.67118728041,-1.71562509169079,0.555165838185358,2.75031530598873,7.08303446060572,8.74186634092169,10.2650831106977
01/07/1979,-2.12307867685743,1.08838556709493,4.31077011358501,4.79438257042405,6.42088467516926,8.03098783519632,1194.0849887092,1196.10123689947,1198.35078273785,-1.68905343844374,0.546468596462884,2.58529940183879,7.16897388693902,8.67827922171101,10.2369865673889
01/10/1979,-1.977157613479,1.08691821399974,4.43717048355108,4.88662187128972,6.44158946927662,8.01911013676844,1195.31875336226,1197.22532255959,1199.45978744969,-1.52719992977749,0.677600388510412,2.52501778557949,7.16565145440579,8.67919395026905,10.0912422492056
01/01/1980,-1.96259908895708,1.0160267505674,4.64564063065411,4.82740291933235,6.42107223298621,7.95065330691437,1195.48725021293,1197.34545014554,1199.55028952207,-1.59961119792727,0.547172056504084,2.35026334925244,7.29950696451863,8.71444343664244,10.1122398384169
01/04/1980,-1.95759530737243,1.0970004108167,4.43914912488379,4.93600057105034,6.54501637374585,8.02212497419183,1195.72197755739,1197.55917275634,1199.53785722204,-1.64415788217499,0.3883266251056,2.18145401934528,7.32636776428818,8.71521603045255,10.0808670307261
01/07/1980,-2.0053524554511,1.14863380616084,4.44499811320655,4.97568276473566,6.53303399619775,7.88889200890591,1197.05006158854,1198.94270297513,1200.95367293755,-1.27843372629144,0.752027610656296,2.55785981761703,7.32514870288266,8.73044717542524,10.0509024235473
01/10/1980,-1.85038680524636,1.19413373457745,4.45804583684246,5.02751955549072,6.55504218612959,7.86643169963474,1198.35621496106,1200.24746794194,1202.23856689903,-0.851951998044253,1.18108820501109,2.97548602391301,7.39999217222678,8.68714698215495,10.0365510194788
01/01/1981,-2.00523449022926,1.27379174086777,4.65196718967219,5.00986761257727,6.52180127692552,7.77950916902031,1199.03251268027,1200.81114217432,1202.81559390174,-0.927859332103122,1.1437927898096,2.7968253804543,7.46077425848848,8.66548632564462,10.0322489516958
01/04/1981,-1.93324902572208,1.26281107726268,4.5951461328037,4.88256340918813,6.39323579094587,7.65119382288921,1199.84773733991,1201.47926009679,1203.56670721178,-1.03881137934826,1.02504366955053,2.62904032103352,7.45682947418463,8.6754778366031,9.97228800532573
01/07/1981,-1.97549707551626,1.29935000990127,4.74154601243656,5.02239975571809,6.52801878404175,7.81091454129689,1201.34799330505,1202.94451641883,1204.90257877085,-1.26648016170089,0.661401686648712,2.22005401358946,7.52890696665943,8.65166453873797,9.91785507535493
01/10/1981,-1.92719424701157,1.34902406785729,4.74588241853208,5.10195339357832,6.50955314943713,7.76267743680876,1202.43659025478,1204.12182222517,1206.17961457032,-1.53863169412368,0.362369972137254,1.98044532050906,7.58829992900471,8.66027435870571,9.80999117284424
01/01/1982,-2.08523684115712,1.359608658948,4.79925886274339,5.16847489866577,6.59199730548873,7.84792409443857,1203.73824425688,1205.35475220972,1207.33506516213,-1.95447642989129,0.010728476565361,1.59201491261268,7.70193957515468,8.65082373374926,9.8346614794137
01/04/1982,-1.92936986538444,1.37038748594373,4.67183691466615,5.17807351125232,6.62458243754699,7.81817724632845,1204.77401765333,1206.40039126891,1208.5292053404,-2.89932303207101,-0.843638199227009,0.734285025560232,7.72483600157991,8.65875206200412,9.80731898139939
