phiy,sme_y,ll,lp,lpost
-0.142317663036235,0.193205578454801,-295.955027018745,-40.9245290456787,-336.879556064423
-0.132542695480579,0.193205578454801,-290.479314242561,-40.7901914913368,-331.269505733897
-0.122767727924923,0.193205578454801,-285.507825289924,-40.6654089360663,-326.17323422599
-0.112992760369267,0.193205578454801,-281.040561114509,-40.5501813798673,-321.590742494376
-0.103217792813611,0.193205578454801,-277.077521716315,-40.4445088227396,-317.522030539055
-0.093442825257955,0.193205578454801,-273.618707095344,-40.3483912646834,-313.967098360027
-0.083667857702299,0.193205578454801,-270.664117251594,-40.2618287056985,-310.925945957292
-0.073892890146643,0.193205578454801,-268.213751231391,-40.1848211457851,-308.398572377176
-0.0641179225909869,0.193205578454801,-266.267610942085,-40.1173685849431,-306.384979527028
-0.0543429550353309,0.193205578454801,-264.82569543,-40.0594710231725,-304.885166453172
-0.0445679874796749,0.193205578454801,-263.888002787788,-40.0111284604733,-303.899131248261
-0.0347930199240188,0.193205578454801,-263.454534922797,-39.9723408968456,-303.426875819643
-0.0250180523683628,0.193205578454801,-263.525292788703,-39.9431083322892,-303.468401120992
-0.0152430848127068,0.193205578454801,-264.100274478156,-39.9234307668043,-304.023705244961
-0.00546811725705072,0.193205578454801,-265.179481898505,-39.9133082003908,-305.092790098896
-0.142317663036235,0.210688328328572,-293.706338150822,-38.462665398858,-332.16900354968
-0.132542695480579,0.210688328328572,-288.738535149419,-38.3283278445161,-327.066862993935
-0.122767727924923,0.210688328328572,-284.233325226628,-38.2035452892456,-322.436870515874
-0.112992760369267,0.210688328328572,-280.190707428776,-38.0883177330465,-318.279025161823
-0.103217792813611,0.210688328328572,-276.61068080219,-37.9826451759189,-314.593325978108
-0.093442825257955,0.210688328328572,-273.493247254216,-37.8865276178626,-311.379774872079
-0.083667857702299,0.210688328328572,-270.838406784856,-37.7999650588778,-308.638371843733
-0.073892890146643,0.210688328328572,-268.64615748676,-37.7229574989644,-306.369114985724
-0.0641179225909869,0.210688328328572,-266.916501744115,-37.6555049381224,-304.572006682237
-0.0543429550353309,0.210688328328572,-265.649437172734,-37.5976073763518,-303.247044549086
-0.0445679874796749,0.210688328328572,-264.844966156804,-37.5492648136526,-302.394230970456
-0.0347930199240188,0.210688328328572,-264.503085358464,-37.5104772500249,-302.013562608489
-0.0250180523683628,0.210688328328572,-264.623799546086,-37.4812446854685,-302.105044231555
-0.0152430848127068,0.210688328328572,-265.207103951298,-37.4615671199836,-302.668671071282
