x,ll,lp,lpost
0.0654129471141203,-271.353670387178,-35.4522651988452,-306.805935586023
0.0681305599941666,-271.168844166841,-34.9149403129994,-306.083784479841
0.070848172874213,-271.007034026927,-34.4592638537275,-305.466297880654
0.0735657857542594,-270.867929481192,-34.0726199546998,-304.940549435892
0.0762833986343057,-270.751207385974,-33.7446545704088,-304.495861956383
0.0790010115143521,-270.656491666499,-33.4668111487203,-304.12330281522
0.0817186243943984,-270.583515208195,-33.2319733033074,-303.815488511503
0.0844362372744448,-270.531945551073,-33.0341872721532,-303.566132823226
0.0871538501544911,-270.501533841348,-32.8684444843946,-303.369978325742
0.0898714630345375,-270.491992414311,-32.7305098462521,-303.222502260564
0.0925890759145839,-270.503092144709,-32.616785113267,-303.119877257976
0.0953066887946302,-270.534572336189,-32.5241994146759,-303.058771750865
0.0980243016746766,-270.586208378523,-32.4501209550265,-303.03632933355
0.100741914554723,-270.657793502161,-32.3922853547752,-303.050078856936
0.103459527434769,-270.749094712358,-32.3487371548817,-303.09783186724
0.106177140314816,-270.859900200945,-32.3177818042645,-303.17768200521
0.108894753194862,-270.98997990108,-32.297946046594,-303.287925947674
0.111612366074908,-271.139122738592,-32.2879450762922,-303.427067814884
0.114329978954955,-271.307132804055,-32.2866551801392,-303.593787984194
0.117047591835001,-271.493762035471,-32.2930908475803,-303.786852883052
0.119765204715047,-271.698787791741,-32.3063855394588,-304.0051733312
0.122482817595094,-271.922004054337,-32.325775465986,-304.247779520323
0.12520043047514,-272.163135319288,-32.350585851106,-304.513721170394
0.127918043355187,-272.421950225807,-32.38021926007,-304.802169485877
0.130635656235233,-272.698207760246,-32.414145646067,-305.112353406313
0.133353269115279,-272.991661582623,-32.4518938347638,-305.443555417387
0.136070881995326,-273.302006607674,-32.4930442160817,-305.795050823756
0.138788494875372,-273.629022953325,-32.5372224531641,-306.166245406489
0.141506107755418,-273.972417532677,-32.5840940513408,-306.556511584018
0.144223720635465,-274.331903073455,-32.6333596565729,-306.965262730028
0.146941333515511,-274.707188413315,-32.6847509746154,-307.39193938793
0.149658946395557,-275.097987836043,-32.7380272199473,-307.83601505599
0.152376559275604,-275.504007493753,-32.792972018158,-308.296979511911
0.15509417215565,-275.924969950638,-32.84939069755,-308.774360648188
0.157811785035696,-276.360521403159,-32.9071079157216,-309.26762931888
0.160529397915743,-276.810408771865,-32.9659655751888,-309.776374347054
0.163247010795789,-277.274295810121,-33.0258209890313,-310.300116799152
0.165964623675836,-277.751849089405,-33.0865452633312,-310.838394352737
0.168682236555882,-278.242792501459,-33.1480218680233,-311.390814369482
0.171399849435928,-278.746803440266,-33.2101453718583,-311.956948812125
0.174117462315975,-279.263557273654,-33.2728203206219,-312.536377594276
