stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot
1,0.0065045895211287,1999.99999999998,1000,0.194875,8.943135375,-8.22841617640016,2,4500,500,9,0.609875663969027,-0.194502333298012,-0.271472113489518,-0.266552798565515,0.541639353388894,0.250445575048835,0.188253159870726,0.523873682391418,0.249917793454618,0.258665159661914,0.498802830834164,-0.003246394509621,-0.0337331460014818,0.473509982020961,0.495628572406835,0.511114010072725,-0.199192808439717,-0.100628690013781,0.346272798413597,0.29359416702359,0.383577565606792,2.5307830018618,0.431358198687462,-0.0761631314230301,-0.0355324126690193,-0.00322552351020556,-0.000835070093184989,0.00161340145326653,0.704904703835262,0.139598283792769,0.274143112063034,0.479485713886929,0.04704986822649,0.273561325803984,0.0467130103224194,0.178235947298253,0.0469724460326407,0.374530025347227,0.046052231475576,0.28293905992551,0.0466359732023821,0.140421482245182,0.547470541399691,0.886111407617758,0.178235250064315,0.233811914830626,0.283253449187735,0.45616465120696,0.187133839528598,0.299999999999999,1.73308866185523,1.74199420710595,1.61452202760442,1.72871725271667,1.72841177538313,3.14386808094632,3.67572155085735,3.39908661349288,3.41756336859418,3.46850591844163,3.51737008588516,3.33911348753069,3.09117735467645,3.20237292377534,2.83316056805648,3.59837045262972,3.40270325222997,0.962455540550521,0.943819918506,0.939520140529384,0.891328465404547,0.634793633127102,0.7406071361202,0.668896436415698,0.67414263748025
2,0.0146369985491229,4500.00000000003,2250,0.301,9.585840625,-9.3699697033456,2,4500,500,9,0.612440394221125,-0.198984800179078,-0.305611039218312,-0.237324867258668,0.597279746628942,0.215774748944698,0.169233975785966,0.522118787731353,0.209932886178757,0.260868771769229,0.523578476641249,-0.0258627901599002,0.00776536899237221,0.467526973682371,0.547779118179943,0.51788721016027,-0.158998763244894,-0.107610699123248,0.350458991901798,0.283976605584537,0.386707172456227,2.50321992793922,0.36911226175544,-0.072101161584618,-0.031192110308601,-0.0043662269753441,0.00172438340972356,0.00182533864276057,0.640722504556947,0.141900744503268,0.270604089591736,0.484025629452722,0.0465010353525291,0.261534141912042,0.0472788116783179,0.17219884329368,0.0455358199376408,0.362281607777567,0.0455915230666645,0.270889958434162,0.0459161547532789,0.139804713414221,0.520141404062523,0.85640864150553,0.166886106640013,0.236522959062239,0.282854238855776,0.445667248290691,0.178218989559216,0.299999999999999,1.72199398684908,1.73584564850689,1.61134834966532,1.73689632019975,1.79472241973596,3.25113369231047,3.76613430865456,3.4720843156165,3.68808920015782,3.35647447470756,3.7582073731931,3.59817023621659,3.23465983597206,3.20655345221008,2.77609697608211,3.64922646461498,3.47492998492883,1.01464116481801,0.955860743109898,0.962496534741668,0.916933459452135,0.62657996092939,0.722824587230672,0.605434321925062,0.668180653607527
3,0.0249245220290993,4500.00000000003,2250,0.323875,9.490377375,-10.8554286049815,2,4500,500,9,0.604203251723258,-0.207879700012286,-0.35569529246745,-0.211969128441846,0.68195949589068,0.249248959155403,0.191898829281622,0.50369497243465,0.207754804931702,0.248173740425218,0.575595847870174,-0.0485782660807293,0.043581380052111,0.486248323255667,0.564727390871906,0.512763258324845,-0.119465516495981,-0.10572528851267,0.356730405073654,0.278287756205481,0.398605766189947,2.41932175683775,0.316496397688184,-0.0672711454131519,-0.0278643147474096,-0.00512587394697231,0.00825830931656133,0.00358837318537619,0.587640202183073,0.148532865553443,0.265050066304716,0.491578370931418,0.0472155154393077,0.244773032330373,0.048039037290649,0.166928900571605,0.0438453278262324,0.356321572195563,0.0443734540734706,0.256458042250169,0.0449862759390396,0.138173110305885,0.496012276195669,0.83133786387765,0.158829627514618,0.238980487379844,0.28477595916088,0.427180465605697,0.168744405307521,0.299999999999999,1.72346079711337,1.75649961144784,1.64859029576277,1.67735867296463,1.83334579657475,3.10513977411773,3.91197753098964,3.50781309928465,3.71349983848721,3.10341518712354,3.99034355255721,3.69693697385652,3.42973338449131,3.13645516634411,2.60997207451227,3.53659810244111,3.61804654524967,1.05879415508196,1.01396621012018,0.967357195354852,0.934124554962272,0.611874750965158,0.702493442390316,0.585843180592643,0.658258598127349
4,0.0383443238459673,4500.00000000003,2250,0.357875,9.4619945,-13.1088301443747,2,4500,500,9,0.607127494686582,-0.209959236281173,-0.308375176422475,-0.176737358133482,0.767446685681573,0.250018436192014,0.205447654970598,0.471922545178124,0.224573389717148,0.206935552467784,0.625606001371468,-0.0509567581601992,0.0650898031784832,0.503161751855341,0.574669869746034,0.489488800712074,-0.0976498059873499,-0.0929870503351428,0.358369572828089,0.271644051207779,0.395413190652319,2.36071153064033,0.258703021044727,-0.0575968687340498,-0.0258512188155864,-0.00705345562421568,0.00752745875560559,0.00557429244991434,0.554855112390686,0.152792417666267,0.259532264907054,0.518698826048554,0.0469264604383659,0.231638291771409,0.0487596398354669,0.162661794298307,0.042037094030212,0.352804972860903,0.0435089375430894,0.242137712730442,0.0441742061256184,0.133586776869196,0.476619146012912,0.828077712867418,0.153592874496444,0.242642979814121,0.286337854382435,0.415193308846371,0.160137482176718,0.299999999999999,1.75301375487189,1.70789938326582,1.72995236449315,1.59856843669223,1.81315879319449,2.82268872634609,3.99580570924772,3.59769123175731,3.78386320847094,2.83927704082993,4.26677232260615,3.78139098829377,3.5366894657832,2.89301290097107,2.47076676116427,3.32837511250684,3.69135787145622,1.11243310355212,1.08150117512193,0.96115925673915,0.886096594031057,0.659084057931739,0.659347107305586,0.585947651934496,0.636609313255419
5,0.0531279338421561,4500.00000000003,2250,0.28775,9.6094955,-13.4477882999566,2,4500,500,9,0.607146785345244,-0.202707025670173,-0.243825201939872,-0.143779918590292,0.837490809509144,0.214691638391467,0.179057368976362,0.478402805463867,0.210013847486589,0.185769032051818,0.653224083860779,-0.0393542571556345,0.0588840044580647,0.514407577740631,0.586984119320975,0.470784544598697,-0.0672002333307442,-0.0652511835678778,0.356825198874078,0.267826983423051,0.404458381888077,2.36226990563404,0.218037900824826,-0.0519877385638982,-0.0237157178257131,-0.00580810099781733,0.00974484329392925,0.00415394474412845,0.532982760578303,0.153487044916023,0.257569654608606,0.519465654514048,0.047146573377595,0.224289430215877,0.0500029629325756,0.159256895364799,0.0412385830036973,0.352013543472164,0.0414188171840082,0.23283193108351,0.0434773845092905,0.131692114711089,0.463775095810579,0.827646458808104,0.151760593077282,0.237821663150921,0.290685058100631,0.410212444812517,0.155025780289265,0.299999999999999,1.7289343891496,1.66386612022821,1.78924428612674,1.55188584821749,1.8326508037792,2.54486255103579,3.94629159244234,3.43455083916928,4.01659991065554,2.70198692200055,4.60710539945355,3.78238800403422,3.517383267746,2.72464979658579,2.40749255639043,3.30464937149106,3.6879525449421,1.1384300606814,1.09871588991957,0.97223575063313,0.819564219103666,0.686495193005817,0.631368939958705,0.58048381631743,0.584583117473433
6,0.0700760150552253,4500.00000000003,2250,0.3155,9.55344716666667,-14.4462750983867,2,4500,500,9,0.604217810424198,-0.195576394096109,-0.204109872570053,-0.116519786808007,0.869812940956922,0.183934971375934,0.177158666177272,0.513991642573921,0.205043034288302,0.155404820380251,0.687689405726552,-0.0205386964527052,0.0411660638746222,0.52713738171708,0.638750255800518,0.464594467491223,-0.035312526954161,-0.0452341818378492,0.352576498887734,0.264280880564035,0.408320637948139,2.37527296991107,0.196080446589907,-0.0451137583420512,-0.02253606807505,-0.00538387941212055,0.0122527984059279,0.000845385538671801,0.520037443180082,0.151541939147999,0.254026368326419,0.510547458818435,0.0471675122052608,0.213685916176986,0.0512544261683963,0.155158481984361,0.041705842876459,0.344572219261763,0.0400663553526771,0.22244749264372,0.0435660784694837,0.132208692286588,0.457672044098221,0.824478949730552,0.148537644646424,0.234302689756449,0.287166843475792,0.409144431712314,0.151883750329817,0.299999999999999,1.72765120699745,1.58288969220812,1.82220693291017,1.51348387015044,1.85640006265426,2.38837535515387,3.96049861545669,3.28619559704976,4.35329345872305,2.73158652648456,4.79481916059886,3.73934158080597,3.37586729451428,2.43197481941904,2.32360961521087,3.24944726428329,3.37877533448854,1.16339699771988,1.08170779008117,0.976108685417675,0.777192299968435,0.729999230151898,0.58549003533618,0.608787153653282,0.595614094152906
7,0.0873354870641366,4500.00000000003,2250,0.31925,9.59761929166667,-13.8329034249197,2,4500,500,9,0.597551017935622,-0.186721154510561,-0.20322165507731,-0.112858285096775,0.895467638712854,0.148939044464788,0.173915525068939,0.570157015823347,0.19609731883971,0.176465644233616,0.685926859052928,-0.00564512709049871,0.0385904865390813,0.565161933881438,0.707387941479825,0.494838676648383,0.00644126782145323,-0.0286892372315146,0.351432473978158,0.262939562828975,0.418088964840494,2.41487976880295,0.189940800176895,-0.0412415773016957,-0.0218477089931165,-0.00417790202566771,0.0152939572460939,-0.00146531062854277,0.506438929828394,0.148110130886393,0.252881662144111,0.496401984379824,0.047148441336917,0.207940368564768,0.052151085911398,0.151962177412909,0.0434625929421788,0.336349172518762,0.0387344599437156,0.219776879311808,0.0446378764197913,0.13631251575239,0.446197252086405,0.820889649671857,0.141733582896761,0.226741785154868,0.278558839686247,0.413538575605368,0.149416319827689,0.299999999999999,1.69773116894425,1.53416239275223,1.81498417065584,1.45815656909623,1.91707910077697,2.24790826104522,4.23127912711129,3.36283963856361,4.53976852647439,2.73714966246914,4.98034815785628,3.53847643295864,3.20374054871506,2.36744385110002,2.37514881737012,3.34309318409055,3.25500860134378,1.20814211064892,1.08333008744738,0.935908919294542,0.752524053614353,0.737978376248812,0.553457300968357,0.652585864145233,0.629313572623435
8,0.10463144951812,4500.00000000003,2250,0.31,9.57876775,-13.0813089485926,2,4500,500,9,0.603803236447094,-0.179694703619189,-0.199876595359126,-0.121808052236384,0.909865796025155,0.115031639076453,0.186067884062721,0.622074585534497,0.170272873368726,0.232077070356654,0.670569954043345,0.00404918895662073,0.0168298590911894,0.583289374053297,0.74535319225974,0.523515888695069,0.0168200079812223,-0.0263431790727523,0.352202348177885,0.256035338900493,0.428305254015202,2.42312828921131,0.186590397787952,-0.0360590717073132,-0.0212457257974621,-0.00278607226690996,0.0187521327364807,-0.00340494335776434,0.502835595031823,0.147753515772072,0.258276444520633,0.490306639647689,0.0482626713243646,0.199574352845156,0.0532243176043754,0.14723323752761,0.0448056920458109,0.332097239704076,0.0371955955194075,0.217166930575677,0.0452729311717926,0.139772107405522,0.42716219699635,0.802846199980656,0.132032730143372,0.220975297412456,0.270370745654207,0.408933894513885,0.145833175192722,0.299999999999999,1.61214928980439,1.55107439375592,1.72505813277158,1.44197499330782,1.8713203605766,2.22595799451455,4.59374415264637,3.25056383397131,4.63204126059266,2.78597407707925,5.48375831776651,3.26513350864545,3.03123176743678,2.62606989852321,2.5631746674153,3.50230310650029,3.0243353110943,1.28998797875375,1.12103866344601,0.867519533817426,0.759393931820185,0.78082222990679,0.528831457995221,0.679604965092057,0.691648715865107
9,0.123260505834722,4500.00000000003,2250,0.34225,9.61036041666667,-13.2651625666744,2,4500,500,9,0.611331890624886,-0.174702913586612,-0.215699194039666,-0.126396173922428,0.917404461178039,0.0590498593348468,0.212009666632761,0.676191802194133,0.113251699655455,0.326925593844892,0.649784562345913,0.0086921581906826,0.0022167530601887,0.615642987553426,0.783483153896547,0.545976608971001,0.0121965357095119,-0.0339380352555614,0.35255463072225,0.2419190460591,0.442650647800433,2.3959568770339,0.18102829406567,-0.031426145396394,-0.0190656694143388,-0.00247633635505656,0.0193311692800112,-0.00434796167583981,0.505002291312006,0.147673813666127,0.262083630049699,0.477130490118034,0.0493148584440359,0.186255195112582,0.0535973599688305,0.141076988541274,0.0464066965168087,0.333232741104863,0.0352974029019051,0.213857677440584,0.0458989795162292,0.143718868902207,0.405065880958926,0.776337468474958,0.120420546265446,0.218752948047225,0.264692395494881,0.402987277511966,0.141998460761876,0.299999999999999,1.5459095806636,1.59672845006757,1.61186046876884,1.44041679718338,1.78777270140518,2.24264951045666,4.77565018366921,3.12311311268507,4.65017571691792,2.71900083008097,5.96065077361869,2.69638192410705,2.90587349877177,2.79785506956347,2.81488012788515,3.68682302326055,2.88942874235323,1.40963810535025,1.17664075916832,0.740253086563921,0.771317868472905,0.900225046367925,0.517881020988203,0.720837985746514,0.759291137274972
10,0.146201909652353,4500.00000000003,2250,0.390875,9.65400195833333,-15.281901858802,2,4500,500,9,0.615285605315577,-0.174255574761717,-0.246175208359122,-0.113184229272265,0.920719540795504,-0.00119094532368817,0.237357397052601,0.722340774863566,0.0891465671914882,0.375609363240835,0.630786569998641,0.0305089204751563,-0.00463767016744061,0.643421688469567,0.80372321959328,0.575434892977707,0.012991702396265,-0.0427581573940497,0.349614526941021,0.225016598581888,0.448485054344654,2.36251029741159,0.18113222492327,-0.0284472379253962,-0.0181129724763657,-0.00186127906039887,0.0179173372855153,-0.00386381039940868,0.503877258534352,0.144640909353206,0.264182010100065,0.466707443044531,0.0503483807315434,0.174147531154231,0.0529728098956096,0.135392459568797,0.0467669633174802,0.337373235225502,0.0334862412223555,0.208729390324655,0.045754145177347,0.145181024762074,0.392125707763679,0.749297030264856,0.112690988708897,0.215392078537924,0.263067734024326,0.392515298484271,0.137169085684261,0.299999999999999,1.47374336026635,1.70682921502167,1.46329049462326,1.46949269129808,1.72129093546759,2.17207984453561,4.93248702001483,2.99603101721189,4.74299606307712,2.63906073059113,6.20488269256138,2.40369001288208,2.8602599260017,2.76977926330675,2.97293573582373,3.86873142453527,2.76909696297055,1.50031541650576,1.20186166758679,0.650912923258123,0.776625467693714,0.995585370522723,0.528152101048347,0.725201584735861,0.85929339450191
