L_entry,group,median,q05,q95,band_excludes_zero
Lq_pie_Ustar,2,0.0172717024437,-0.139783782943247,0.174962688205377,0
Lq_zstar_Ustar,2,-0.0747511702330789,-0.597807903394094,0.223266743070371,0
Lq_gz_Ustar,4,-0.0110786157861704,-0.0771800223691779,0.179762896423958,0
Lq_kstar_Ustar,2,0.150921111102584,-0.0191483385348922,0.494505473055556,0
Lq_gk_Ustar,4,-0.0397241059591177,-0.142966854384146,0.0631233375058677,0
Lq_wstar_Ustar,2,0.0930128277747708,-0.0382614049524618,0.331455785469915,0
Lq_gw_Ustar,4,-0.0767412820266219,-0.217781640484996,0.0430708800904744,0
Lq_hppstar_Ustar,2,0.0734604605679645,-0.073169193832648,0.230624736176674,0
Lq_ghpp_Ustar,4,0.122662316127129,-0.0407961988565422,0.232270000893087,0
Lq_prstar_Ustar,2,0.0335956774942258,-0.161205948565556,0.137535367850977,0
Lq_gpr_Ustar,4,0.0834831624795357,-0.00134589959160222,0.276836838308999,0
Lq_xi_Ustar,2,-0.222553845834567,-0.755497245442239,0.0756246727389093,0
Lq_zstar_pie,2,-0.0728620653457488,-0.385374458604748,0.0623686830874013,0
Lq_gz_pie,4,0.079213763319129,-0.0124140356385618,0.347261656030972,0
Lq_kstar_pie,2,0.0222287314695625,-0.108181197632417,0.194827385326399,0
Lq_gk_pie,4,0.00297732258096353,-0.022584014408034,0.0862676562472336,0
Lq_wstar_pie,2,0.0390863209063035,-0.055826423032482,0.142512745715191,0
Lq_gw_pie,4,-0.0156885049312412,-0.0570901464441145,0.0243224213251649,0
Lq_hppstar_pie,2,0.573403637074291,0.191087087157913,0.809456707496573,1
Lq_ghpp_pie,4,0.0695106010202744,-0.0867322997937959,0.172201865094948,0
Lq_prstar_pie,2,0.207751003756944,-0.224162611284348,0.386536672636914,0
Lq_gpr_pie,4,0.0292414408135615,-0.00822284753813492,0.0848402875072634,0
Lq_xi_pie,2,0.603191433075696,0.208659244036633,0.95865379570683,1
Lq_gz_zstar,4,-0.205596479649904,-0.427976615061148,-0.0259960113144476,1
Lq_kstar_zstar,2,-0.00831061593527724,-0.0337312095436166,0.0456573813910165,0
Lq_gk_zstar,4,0.00237313275238942,-0.024800257560961,0.0393199313913406,0
Lq_wstar_zstar,2,0.00726101462857168,-0.0320055181861093,0.0522333379719553,0
Lq_gw_zstar,4,-0.00783691740866145,-0.0500674435541528,0.042581694840863,0
Lq_hppstar_zstar,2,-0.211066392614324,-0.410262479133625,0.0135394356587477,0
Lq_ghpp_zstar,4,-0.096560563381623,-0.220468951267666,-0.00460317553043436,1
Lq_prstar_zstar,2,-0.164185345277498,-0.329063009113766,-0.00648570443645968,1
Lq_gpr_zstar,4,0.012466842060789,-0.120195642166079,0.0651132931596273,0
Lq_xi_zstar,2,-0.560803645501977,-0.824282584058696,-0.129730019121546,1
Lq_kstar_gz,4,-0.0854231272370771,-0.271742545229058,0.198258641039381,0
Lq_gk_gz,3,0.456324073467758,0.110629908001131,0.796972540486587,1
Lq_wstar_gz,4,-0.145303470033294,-0.355062399846911,0.0370384800482565,0
Lq_gw_gz,3,-0.00847080329012821,-0.215078550745306,0.100402698240655,0
Lq_hppstar_gz,4,-0.0315564890460244,-0.154589399570174,0.0355782543725628,0
Lq_ghpp_gz,3,-1.01691764195821,-1.47526216975159,-0.469248674833361,1
Lq_prstar_gz,4,-0.00450223742501708,-0.0545461846614471,0.130761289920579,0
Lq_gpr_gz,3,0.830511974116878,0.315626318328114,1.28083511056397,1
Lq_xi_gz,4,0.0329594501953635,-0.032106962929191,0.100632093283723,0
Lq_gk_kstar,4,-0.46552525105815,-0.668666466065757,-0.153072557991676,1
Lq_wstar_kstar,2,-0.104172034948641,-0.238905848069751,0.0521658356251031,0
Lq_gw_kstar,4,0.00804690026371607,-0.0478183603375579,0.0768150004541465,0
Lq_hppstar_kstar,2,0.0366445173279196,-0.318537835081848,0.231278987540477,0
Lq_ghpp_kstar,4,0.0976192158580485,-0.0254608636742668,0.273304288563733,0
Lq_prstar_kstar,2,0.229627857486543,-0.0449501828177066,0.717836545647548,0
Lq_gpr_kstar,4,-0.169557483808036,-0.329566681868965,0.0535624483530692,0
Lq_xi_kstar,2,0.341681392853291,-0.113836045883476,0.675917484032213,0
Lq_wstar_gk,4,-0.0387930072169645,-0.155137932578715,0.0236022094440185,0
Lq_gw_gk,3,0.000485338593895457,-0.11538591308113,0.167818448068521,0
Lq_hppstar_gk,4,-0.142412076341453,-0.374917968928799,0.0113062314337275,0
Lq_ghpp_gk,3,-0.124764898994976,-0.725299495278742,0.230345162271629,0
Lq_prstar_gk,4,-0.118239805307041,-0.353679587682013,0.0482577476911233,0
Lq_gpr_gk,3,0.298978800391066,-0.0355185691001805,0.681121044758495,0
Lq_xi_gk,4,-0.0615413040205816,-0.218640384865667,0.0400138559142397,0
Lq_gw_wstar,4,-0.593722749388623,-1.05098490435209,-0.337973859435892,1
Lq_hppstar_wstar,2,0.513413926294159,0.11646738639897,0.786514317099162,1
Lq_ghpp_wstar,4,0.00723995183783656,-0.0783054518577675,0.0344556771741482,0
Lq_prstar_wstar,2,0.000548624690452676,-0.111292645971755,0.202159400467408,0
Lq_gpr_wstar,4,-0.0144698759936118,-0.0616511265361109,0.0514894196482887,0
Lq_xi_wstar,2,0.699782970514243,0.232627615688097,1.05616455194744,1
Lq_hppstar_gw,4,-0.00305452147567581,-0.0782203910145524,0.0342013134559161,0
Lq_ghpp_gw,3,-0.0312894095668816,-0.621720929103817,0.0719191619135089,0
Lq_prstar_gw,4,0.686888018162559,0.277161943640175,1.15144409194789,1
Lq_gpr_gw,3,0.036094755586576,-0.0869286342983807,0.254212358661673,0
Lq_xi_gw,4,-0.00563526831548144,-0.116522660494057,0.192531761243006,0
Lq_ghpp_hppstar,4,-0.173797175916914,-0.381187250748857,-0.00581025724278976,1
Lq_prstar_hppstar,2,0.00510207378117491,-0.129994433463754,0.175201410441753,0
Lq_gpr_hppstar,4,0.181176686281406,0.0106514158524606,0.333784181900921,1
Lq_xi_hppstar,2,-0.0342244626416336,-0.255116223348243,0.090983731749047,0
Lq_prstar_ghpp,4,-0.4178377622648,-0.809080023197696,-0.12437110836304,1
Lq_gpr_ghpp,3,0.455750490856016,0.125400724549271,0.812970942349522,1
Lq_xi_ghpp,4,0.15848624641893,-0.00201849583080088,0.885048343798944,0
Lq_gpr_prstar,4,-0.0132075677276059,-0.221890287212681,0.0743323080602465,0
Lq_xi_prstar,2,0.226489202621735,-0.0022276097004731,0.500419038296025,0
Lq_xi_gpr,4,-0.00979843086244831,-0.067743668478917,0.0590941332094477,0
Lr_pi_y,1,0.0559080244604292,-0.0179807041898883,0.168808811137276,0
Lr_wapop_y,1,-0.00336564989303387,-0.0489940233466642,0.0289528169553776,0
Lr_U_y,1,-0.0169704457782995,-0.0789945175937966,0.0122129474777156,0
Lr_lpr_y,1,0.226665483840276,0.0323533898973461,0.359836161015831,1
Lr_hpp_y,1,-0.0949784263970818,-0.189945029117398,0.00924470417837511,0
Lr_k_y,1,0.00128109055682895,-0.015992333958806,0.0218556185678322,0
Lr_pie_obs_y,1,-0.0383167170968286,-0.089829286777381,0.0188692541329461,0
Lr_wapop_pi,1,-0.00266516729423005,-0.0278709798831977,0.0392273817423507,0
Lr_U_pi,1,0.0054129148616632,-0.0143080402844542,0.0383116442541299,0
Lr_lpr_pi,1,0.0574607825497634,-0.0179365959308419,0.132213852433397,0
Lr_hpp_pi,1,-0.000301348260660609,-0.0393296165821051,0.0295183421580312,0
Lr_k_pi,1,0.00977049597368614,-0.0222564379856756,0.029135332336799,0
