param,mean,sd,q05,q50,q95
gamma1,0.520119387145359,0.0740775940044046,0.396442196555952,0.520871163739628,0.641597596607444
gamma2,-0.253291915727581,0.0614974906275162,-0.354160632774363,-0.251922541878973,-0.156060756009717
xi1,-0.272714336005897,0.0549677285882411,-0.361403608626526,-0.271242821687021,-0.183992539691801
xi2,0.00440853157882848,0.0859060671809097,-0.136030735915503,0.00279008897509746,0.148207086521369
rhoU,0.634801620732549,0.0915247077510436,0.480619962800313,0.634240192582925,0.783234083162986
theta1,0.00513093326837833,0.0706085966518147,-0.114790155550256,0.00733246020622369,0.11248317947002
theta2,0.0819498716568974,0.0759890603368172,-0.0360269971881695,0.0792417049870829,0.209637194367461
rhopr,0.820559645901332,0.0683370258639685,0.700148698236975,0.824782296310486,0.929748073611331
lam1,0.311147573746673,0.0945928305685861,0.14858707886011,0.317567737889433,0.45590495299472
lam2,-0.185362265435765,0.108715920362485,-0.344963606419603,-0.195424976879577,0.00965691161250661
rhohpp,0.553819475613406,0.111017451340412,0.35997294085191,0.561544611441377,0.722362947198986
chi1,0.0381192942832708,0.0177351682519988,0.0106593398446916,0.0369704323482257,0.0689462817289225
chi2,0.00368851566846188,0.017009925720285,-0.0243618748561112,0.00422509142715324,0.0308495666029932
rhok,0.978294587125746,0.0167393741954544,0.945244519797752,0.982095603011279,0.996788726824721
rhow,0.949273595121653,0.0258788772509013,0.900269290382384,0.953739143254765,0.983250999616522
phisum,0.959291434112342,0.0178132907575096,0.92608301816338,0.962217137097135,0.983432261028497
phi2,-0.501447912657809,0.108536233550689,-0.666888850023795,-0.506432170940123,-0.324213675369686
nu,-0.0119860452961559,0.0194753767307087,-0.0453335518943062,-0.0105985503332009,0.0184928166663448
alpha,0.387733396608288,0.0409986560806379,0.314914566387402,0.391734151426559,0.449485681220532
gzbar,0.164530412148039,0.0587885355018682,0.0696035176955278,0.164259639691728,0.260374949391825
gwbar,0.308749163089895,0.0525183286133689,0.219654623247766,0.308570656050882,0.39341602586876
pistar,2.59822615371437,0.142250284053132,2.36565858805806,2.59628577703619,2.838276953313
alphapi,0.124003021729302,0.0440900129616477,0.0624090034865445,0.11756204062447,0.206192443903566
phiy,-0.0281195626670003,0.0136032173282856,-0.0552675101969456,-0.0253936622245958,-0.0109704570607713
phiu,-0.00756757504889831,0.00358121518989206,-0.0141788716623683,-0.00702544749157684,-0.00270045328488225
phipr,-0.00256953882698432,0.00702051246073669,-0.013994654622057,-0.00260660592883984,0.00929122784741804
phihpp,0.00958301963870023,0.0148665433567535,-0.0152414208827381,0.00996601596521717,0.0320297933804624
phik,0.000616031173759677,0.00137433982462026,-0.0015602635246007,0.000516088524956945,0.00296982843122186
sig_c,0.356841928495678,0.0322463042534557,0.307435139946121,0.354287929959243,0.41293070000476
sig_Ustar,0.095067160434574,0.0105753657256949,0.0792630019532439,0.0944000038626364,0.113963223015978
sig_pie,0.211702390903045,0.0171656299368611,0.183448187850419,0.211007914220998,0.240301238845123
sig_z,0.308210266397686,0.0337008747342889,0.256745704085919,0.305395250979731,0.367857016583767
sig_gz,0.0385008299365,0.00694338222609072,0.0283672773005111,0.0377841768243178,0.0507004294115578
sig_k,0.0741184509935799,0.00524665630541417,0.0661152287161217,0.0737853449404107,0.0830072554094453
sig_gk,0.0373156577164853,0.00380361752849497,0.0313485557918047,0.0370671252158646,0.0439748072437264
sig_w,0.0572367983949692,0.00400932907623407,0.0511689757961016,0.0570068047808193,0.0643426439259391
sig_gw,0.028924951267831,0.0032883097104615,0.0241050585878493,0.0286487853763378,0.0346624732753579
sig_hpp,0.22343922695304,0.0309629165984147,0.175729493612466,0.222813139507539,0.277073310348282
sig_ghpp,0.0350687428381169,0.0064328979207844,0.0263752150799364,0.0342357119111938,0.0472011783781858
sig_pr,0.169989718722665,0.019726916134977,0.139825198379354,0.16876969679806,0.205064087810966
sig_gpr,0.0368069933188725,0.00624882623877868,0.0277779998519537,0.0362086217770464,0.047699360749579
sig_xi,0.147338167263519,0.0458289173042268,0.0903867326060002,0.140122876675101,0.226485672541898
sme_y,0.266404354628101,0.0258303596531149,0.227457253351325,0.265175712117503,0.309892853006235
