path_id,t,ll,lp,lpost
1,0,-245.016706430642,-60.2650854942569,-305.281791924898
1,0.0256410256410256,-243.050790243095,-59.7594646842407,-302.810254927336
1,0.0512820512820513,-241.2601552985,-59.3162890414912,-300.576444339991
1,0.0769230769230769,-239.6216313569,-58.9318795852079,-298.553510942108
1,0.102564102564103,-238.120148023494,-58.6030162133225,-296.723164236817
1,0.128205128205128,-236.745772395609,-58.3268898389453,-295.072662234555
1,0.153846153846154,-235.492376620954,-58.1010513612958,-293.59342798225
1,0.179487179487179,-234.355574814891,-57.9233649951223,-292.278939810013
1,0.205128205128205,-233.332677771209,-57.7919677103258,-291.124645481535
1,0.230769230769231,-232.421966963702,-57.7052346503862,-290.127201614089
1,0.256410256410256,-231.622297976658,-57.6617498419316,-289.28404781859
1,0.282051282051282,-230.933264109081,-57.6602814143438,-288.593545523425
1,0.307692307692308,-230.354439947466,-57.6997606092645,-288.05420055673
1,0.333333333333333,-229.8860512601,-57.7792639624169,-287.665315222516
1,0.358974358974359,-229.528153014941,-57.8979981437717,-287.426151158713
1,0.384615384615385,-229.281316296987,-58.0552870336577,-287.336603330645
1,0.41025641025641,-229.145940333654,-58.2505606892046,-287.396501022859
1,0.435897435897436,-229.122730091301,-58.4833459184555,-287.606076009756
1,0.461538461538462,-229.21251376915,-58.7532582306494,-287.965771999799
1,0.487179487179487,-229.415969532898,-59.0599949726719,-288.47596450557
1,0.512820512820513,-229.73426034853,-59.4033294954269,-289.137589843957
1,0.538461538461538,-230.168546817026,-59.7831062214543,-289.951653038481
1,0.564102564102564,-230.719871683314,-60.1992365077972,-290.919108191111
1,0.58974358974359,-231.38971135486,-60.6516952169199,-292.04140657178
1,0.615384615384615,-232.17960001627,-61.1405179241965,-293.320117940467
1,0.641025641025641,-233.091220251621,-61.6657987037764,-294.757018955397
1,0.666666666666667,-234.126392360206,-62.2276884459968,-296.354080806202
1,0.692307692307692,-235.287222331893,-62.8263936693623,-298.113616001255
1,0.717948717948718,-236.575967026551,-63.4621757987905,-300.038142825341
1,0.743589743589744,-237.995166461445,-64.1353508896013,-302.130517351046
1,0.769230769230769,-239.547687144185,-64.8462897838461,-304.393976928031
1,0.794871794871795,-241.236473988202,-65.5954186922297,-306.831892680432
1,0.82051282051282,-243.065017688168,-66.3832202012572,-309.448237889425
1,0.846153846153846,-245.037036412125,-67.2102347115005,-312.247271123625
1,0.871794871794872,-247.156700923562,-68.0770623191846,-315.233763242747
1,0.897435897435897,-249.428536305737,-68.9843651598029,-318.41290146554
1,0.923076923076923,-251.857673288361,-69.9328702393374,-321.790543527699
1,0.948717948717949,-254.449707881252,-70.9233727860673,-325.373080667319
1,0.974358974358974,-257.210767076134,-71.9567401640925,-329.167507240227
1,1,-260.14766164356,-73.0339163987965,-333.181578042357
2,0,-257.443625249482,-59.4118327816802,-316.855458031163
2,0.0256410256410256,-256.486545094119,-58.6951816390467,-315.181726733165
2,0.0512820512820513,-255.625867401909,-58.0265089679574,-313.652376369866
2,0.0769230769230769,-254.857832614912,-57.4036525760961,-312.261485191008
2,0.102564102564103,-254.179103866298,-56.8246848344853,-311.003788700783
2,0.128205128205128,-253.586916592643,-56.2878806211866,-309.87479721383
2,0.153846153846154,-253.078579566838,-55.791690767282,-308.87027033412
2,0.179487179487179,-252.65185371178,-55.3347198793918,-307.986573591172
2,0.205128205128205,-252.304555799407,-54.9157076780896,-307.220263477497
2,0.230769230769231,-252.03469801429,-54.5335131863763,-306.568211200667
2,0.256410256410256,-251.840343742922,-54.1871012474111,-306.027444990333
2,0.282051282051282,-251.719535740847,-53.8755309599889,-305.595066700836
2,0.307692307692308,-251.670391930441,-53.5979457035091,-305.26833763395
2,0.333333333333333,-251.691177916957,-53.3535644882234,-305.04474240518
2,0.358974358974359,-251.780088965393,-53.1416744162506,-304.921763381643
2,0.384615384615385,-251.935423513512,-52.9616240776928,-304.897047591205
2,0.41025641025641,-252.155486046231,-52.8128177367593,-304.96830378299
2,0.435897435897436,-252.43863810525,-52.6947101869361,-305.133348292186
2,0.461538461538462,-252.783289602963,-52.6068021733537,-305.390091776317
2,0.487179487179487,-253.187929662784,-52.5486362955851,-305.736565958369
2,0.512820512820513,-253.651285212569,-52.5197933159284,-306.171078528497
2,0.538461538461538,-254.1717080122,-52.5198888073054,-306.691596819505
2,0.564102564102564,-254.748182874603,-52.5485700816102,-307.296752956213
2,0.58974358974359,-255.379464241552,-52.6055133438813,-307.984977585434
2,0.615384615384615,-256.064563592466,-52.6904210200932,-308.754984612559
2,0.641025641025641,-256.802400000482,-52.8030192065888,-309.60541920707
2,0.666666666666667,-257.59225329442,-52.9430551868972,-310.535308481317
2,0.692307692307692,-258.43333674896,-53.1102949563648,-311.543631705325
2,0.717948717948718,-259.32504595645,-53.3045206857764,-312.629566642226
2,0.743589743589744,-260.266837131141,-53.5255280404967,-313.792365171638
2,0.769230769230769,-261.258330040242,-53.7731232493649,-315.031453289607
2,0.794871794871795,-262.299273532108,-54.0471197839902,-316.346393316098
2,0.82051282051282,-263.389588527139,-54.3473344583931,-317.736922985533
2,0.846153846153846,-264.529233272477,-54.6735826815095,-319.202815953986
2,0.871794871794872,-265.718418538514,-55.0256724747081,-320.744091013222
2,0.897435897435897,-266.957715140076,-55.4033966750267,-322.361111815103
2,0.923076923076923,-268.247809797829,-55.8065224317403,-324.054332229569
2,0.948717948717949,-269.589787338357,-56.2347765748034,-325.824563913161
2,0.974358974358974,-270.985337447944,-56.6878245046984,-327.673161952643
2,1,-272.436879310873,-57.1652385467586,-329.602117857632
3,0,-245.016706430642,-60.2650854942569,-305.281791924898
3,0.0256410256410256,-245.067500200222,-60.2905161870586,-305.35801638728
3,0.0512820512820513,-245.125264085035,-60.3217042703673,-305.446968355403
3,0.0769230769230769,-245.189999678969,-60.3585564329884,-305.548556111957
3,0.102564102564103,-245.261726747589,-60.4009859764707,-305.66271272406
3,0.128205128205128,-245.340426482959,-60.4489122952354,-305.789338778194
3,0.153846153846154,-245.426120181141,-60.5022604026247,-305.928380583765
3,0.179487179487179,-245.518767197907,-60.5609604983457,-306.079727696252
3,0.205128205128205,-245.618388925508,-60.6249475732764,-306.243336498784
3,0.230769230769231,-245.724997266288,-60.6941610480361,-306.419158314324
3,0.256410256410256,-245.838571742698,-60.7685444421038,-306.607116184802
3,0.282051282051282,-245.959125301034,-60.8480450706073,-306.807170371641
3,0.307692307692308,-246.086646135103,-60.9326137662042,-307.019259901308
3,0.333333333333333,-246.221153476272,-61.022204623742,-307.243358100014
3,0.358974358974359,-246.362620344125,-61.1167747656196,-307.479395109745
3,0.384615384615385,-246.511056038456,-61.2162841259822,-307.727340164438
3,0.41025641025641,-246.666469899238,-61.3206952520655,-307.987165151304
3,0.435897435897436,-246.828858430441,-61.4299731211755,-308.258831551616
3,0.461538461538462,-246.99820005421,-61.5440849719329,-308.542285026143
3,0.487179487179487,-247.174538556617,-61.6630001485464,-308.837538705164
3,0.512820512820513,-247.357829067959,-61.7866899569986,-309.144519024958
3,0.538461538461538,-247.548082543629,-61.9151275321291,-309.463210075758
3,0.564102564102564,-247.745306636093,-62.0482877147001,-309.793594350793
3,0.58974358974359,-247.949511415483,-62.186146937611,-310.135658353094
3,0.615384615384615,-248.160674082635,-62.3286831205066,-310.489357203141
3,0.641025641025641,-248.378811925,-62.475875572092,-310.854687497092
3,0.666666666666667,-248.603922234022,-62.6277048995291,-311.231627133551
3,0.692307692307692,-248.835995655691,-62.7841529243464,-311.620148580038
3,0.717948717948718,-249.075027157544,-62.9452026043421,-312.020229761887
3,0.743589743589744,-249.321028901753,-63.1108379610089,-312.431866862762
3,0.769230769230769,-249.574003065651,-63.2810440120467,-312.855047077697
3,0.794871794871795,-249.83394851582,-63.4558067085704,-313.289755224391
3,0.82051282051282,-250.10084554907,-63.6351128766502,-313.73595842572
3,0.846153846153846,-250.374715973526,-63.8189501628547,-314.19366613638
3,0.871794871794872,-250.655543952234,-64.0073069834934,-314.662850935728
3,0.897435897435897,-250.943351820652,-64.2001724772825,-315.143524297934
3,0.923076923076923,-251.238112823568,-64.397536461177,-315.635649284745
