group,tau_median,tau_q05,tau_q95
measurement,0.061055032134417,0.05,0.0957570769585111
trend,0.15752555321743,0.096370184323937,0.272113348670158
drift,0.575194436150902,0.238972582965344,1.26280873761597
cross,0.109073107103986,0.0687222186911527,0.183317278885309
