param,neff,std_mean,post_sd,mcse_over_sd,rhat_classic,rhat_rank_bulk,rhat_rank_folded
sme_pieobs,0.226190476190476,1.16719408147025e-16,5.55111512312578e-17,2.10262993215139,1,NaN,NaN
sme_w,1.49235443118569,0.0084968214368304,0.0103798835495727,0.818585429812473,1.68636079232821,1.55250911549648,1.21990077394556
sig_w,1.67655658585309,0.00754882381412529,0.00977436150229914,0.772308637484878,1.54154315198034,1.50003410256927,1.11956141920438
alpha,1.73266998396942,0.0391216676924533,0.0514962122020627,0.75969990839222,1.50919770712602,1.49039638393254,1.20946259562119
sig_z,1.80892230895216,0.0454852325997218,0.0611759014181922,0.743515527279106,1.47113889650964,1.46913012170699,1.15649704638405
kapHyp_lm_w2020,1.81530789922084,0.290122397944936,0.39089166234996,0.742206667189522,1.46821592567105,1.46623407940722,1.14342638645048
phiy,1.81644069648297,0.0155824605725451,0.0210013227107259,0.741975197809173,1.46770129119853,1.52510554574999,1.10228838761639
sme_U,1.88503127812339,0.014782259964468,0.0202955168682482,0.72835099792873,1.43856975488102,1.42533199906184,1.13269764210342
rhoU,1.8921066983835,0.0890968073055644,0.1225561059507,0.726987909859058,1.43577536436829,1.42560012480818,1.09939555214844
kapHyp_lm_w2021,1.89440423324177,0.334439909332251,0.460314255487144,0.726546930375461,1.4348758177636,1.40806907311095,1.13840895407163
phiu,1.9391779842414,0.00373091112010776,0.00519545681284945,0.718110313395434,1.41807630721389,1.42818386804743,1.13174519439349
phisum,1.98439766111607,0.0528985211787532,0.0745174327640085,0.709881154202924,1.40240728467123,1.46083300698758,1.13023062906827
sig_hpp,2.02499710524159,0.0318927921496397,0.045384206422209,0.702728871205574,1.38932899742111,1.38865470088182,1.10406302921499
m93_U,2.03622373925172,0.436777039564451,0.623264726112933,0.70078896055688,1.38586458411767,1.40504471881017,1.10300652112627
kapHyp_lm_w2022tot,2.04060877691917,0.296805168298819,0.42398582210675,0.700035597473564,1.38452846966972,1.37104556560209,1.10944141770261
kapHyp_lm_w2023tot,2.05058149498314,0.308635895614763,0.441962021988942,0.698331259835003,1.38152473327022,1.37946344240512,1.1192385752637
sig_Ustar,2.07899469984025,0.0135000696401586,0.0194653716418933,0.693542866199573,1.37322385310559,1.36655959715486,1.11524079257414
kapHyp_lm_w2021tot,2.16262261488886,0.286817811031852,0.421790202014289,0.680001122980415,1.35079934625783,1.33787501590862,1.05906837696801
kapHyp_la_w2021tot,2.20121046253881,0.400993424375185,0.594932967035699,0.674014463130471,1.34135232263631,1.3356447381067,1.09948913796289
phi2,2.20896662446304,0.127733860289011,0.189845634239724,0.672830116955531,1.33951567073305,1.33756686676292,1.05795312723517
sig_ghpp,2.26881678861442,0.00683985005137476,0.0103025870915466,0.66389635832217,1.32599224609972,1.3184082585787,1.10109637458078
sme_hpp,2.31745392664741,0.0269950700392949,0.0410950972888939,0.656892715194773,1.31578344122627,1.31677477183314,1.07286928951297
sig_c,2.35541096876323,0.0319441731629835,0.0490258348601927,0.651578361777598,1.30825671979698,1.30607707560484,1.05786022237442
sig_gk,2.41230803711682,0.00405219197790267,0.00629370516860081,0.643848396032116,1.29763263048301,1.31358339961525,1.06249402534062
