stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phi1,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21
1,0.00821222793489442,1999.99999999998,1000,0.059875,7.290284875,0.502074144235537,-0.271303919546304,-0.402390730403267,-0.0193755388390099,0.521277647259038,0.0132733737216297,0.00234945881161372,0.488673186332766,0.0113004465677261,0.00387021200830776,0.49830826361803,0.0071220000089293,0.00197836366680626,0.457019892423485,0.492191961176626,0.986306272134252,-0.38672350076349,-0.093951217235713,0.350003019250422,0.29250299201409,0.391637424661817,2.47705111496449,0.498133541884987,-0.00080844173982046,-0.000937433523422939,2.29202613277581e-05,0.00272182246914427,-0.000478087658712364,0.697416748820906,0.144958775593396,0.283659115570775,0.459637745122246,0.0464855961178751,0.265349184611471,0.0466904220322318,0.177019431927485,0.0467861076675296,0.368376216298315,0.0470180367892483,0.277669660211557,0.0465498740988471,0.140284838287247,0.532062488642771,0.894913070896466,0.176868958720097,0.224549380802013,0.269267727741631,0.453979043266994,0.180453928007241,1.66439762949431,1.71255117240027,1.653504294801,1.6861369380199,1.76258407189399,4.22963613241699,4.41572340728832,4.36940444119864,4.40135972869997,4.2823218858878,4.45344386400956,4.20643423293108,4.65321566315318,4.3000870961083,4.21400460133701,4.33243295221519,4.30901327667924
2,0.0179250243632262,1999.99999999998,1000,0.07075,9.25043716666667,0.494289614605066,-0.285620531343151,-0.377767285905286,-0.0311792420264045,0.559441936273947,0.0198741443738735,0.00723297314327401,0.486396154812693,0.0148902950993987,0.00848203210162534,0.495088586039934,0.00645679247249988,0.0135319788510592,0.447239662183368,0.490069134704543,1.01256375659501,-0.35812482745378,-0.0840442496329886,0.353165827491908,0.276435624965492,0.383680007101567,2.47189782146314,0.498612802564093,0.000221079783377701,-0.00373182920131014,-0.00154621476295125,0.00474008053232211,-0.00035236926667288,0.649576491268413,0.145648621709712,0.280966171522995,0.443478186016053,0.0457850720081327,0.248092548651831,0.047589850038049,0.16673800438367,0.0482546338671994,0.356819626843838,0.04804575674119,0.271187238485197,0.0454519796155572,0.139574718377208,0.502592132798415,0.843141548423839,0.165355321623751,0.212560676233617,0.262277215059112,0.437381881193564,0.173237828135511,1.59855951689052,1.73881925368755,1.5377361182542,1.6262697161443,1.82029466560371,4.06916160879368,4.51350564848657,4.43798683511426,4.50489369853015,4.20959932783439,4.56657804535524,4.08125233427968,4.7874392474171,4.25510097579843,4.2521456076996,4.14754085811754,4.26219188931205
3,0.029157671150472,1999.99999999998,1000,0.123625,8.76346308333333,0.468988593435189,-0.301776690915122,-0.339319857128724,-0.0313056172653777,0.591689194345556,0.0111334558433049,0.0352131809652725,0.476976029134448,0.00686182708197834,0.017457275969523,0.467480879471654,0.0118712671986518,0.0315704132376248,0.435210368885059,0.442555106377592,1.04969525980089,-0.324381927709299,-0.0614865602236294,0.357810601767929,0.247243207201533,0.387390977528944,2.47315624082368,0.523256440063774,-0.00139717720143837,-0.0089646674407374,-0.00411787709234269,0.00956804855018859,0.000212226780900667,0.633798218533587,0.143486472831604,0.275744643223891,0.420246308362318,0.0449891921298477,0.233155968616839,0.0483101841042226,0.161706600177558,0.0510620954932958,0.342105708828826,0.0531267663802211,0.265938285484485,0.042160747760034,0.139327265480128,0.469075428269507,0.8148962658598,0.155397407803675,0.199005898438974,0.254780351277391,0.434061219422932,0.168739131581589,1.48229421050515,1.87469264084677,1.41049038554191,1.54932912376027,1.91227086624075,3.75288561209239,4.71445958413114,4.57269241069485,4.57781848340014,4.07523251084902,4.47949238713776,3.62821903859371,4.83366174242076,4.22317321602924,4.50585306141247,3.70942316400531,3.94918128624881
4,0.0441689807843776,1999.99999999998,1000,0.277625,13.5420765416667,0.415676769763988,-0.332825041706176,-0.299801785281891,-0.0104219452794509,0.621449837249152,-0.00627499599596735,0.086766563960431,0.481985512246355,-0.000401372988346961,0.0396371532087698,0.4048879944957,0.0182037623244714,0.0560332371141381,0.439377205470288,0.372168879472117,1.09775984924254,-0.302647819345691,-0.022939524525004,0.364440059630163,0.205657578887021,0.400591911466451,2.51584947118363,0.552749783083668,-0.00604416220796878,-0.0138345740551956,-0.00724644305045238,0.0121292823796492,0.00151665779763338,0.635804232143985,0.139620817865213,0.27120494178378,0.396635529764027,0.0437114784726503,0.220000280259803,0.0487352379963971,0.163963442624818,0.0548484938092584,0.326350530929995,0.060648806672309,0.266681422915871,0.0378711472606381,0.13591113601741,0.425590919205557,0.796950695108165,0.149814000086263,0.190524913421,0.248137028422019,0.445532593340652,0.166004359162714,1.31698289074973,2.14091071739793,1.30802338674706,1.47984829277076,2.06331931198261,3.31991740971401,5.11823418503834,4.69108757142475,4.65561246604323,3.90066800663497,4.24888255092175,3.17554206447874,4.82649075298649,4.29787765826764,4.92144482704606,3.22341662258446,3.39978557151525
5,0.0689651238487791,1999.99999999998,1000,0.448375,18.1933177083333,0.379181400274408,-0.344774056058322,-0.273826438521019,0.00807612530727055,0.64670884753065,-0.0237334070191989,0.12717823169047,0.481050508493328,0.00333332442023731,0.049973829940856,0.356952820356743,0.017728367015264,0.0681314181898018,0.445004052064142,0.329492171785017,1.14357012489986,-0.312943995678906,0.00417917538034747,0.370183640891429,0.181896180450046,0.408512265616176,2.55182995947415,0.587219945375579,-0.00660603343422112,-0.0160629312454585,-0.00992738680720587,0.0088779806815152,0.00147170383287574,0.63878593003648,0.133674646977131,0.266629808289626,0.378710660023075,0.0432758866701679,0.207600662187128,0.0481434870111137,0.166628636783955,0.0564926807796902,0.313383627145745,0.0655190612933789,0.268930829362723,0.035727029153653,0.129869990730498,0.391092474301535,0.792634593972253,0.146657451735038,0.190403540973892,0.242989428113687,0.452948688889062,0.16448408268508,1.19149451162438,2.37207757557026,1.24904235482347,1.44144076791816,2.08138932416504,3.04431253817797,5.55677467895196,4.77804157971412,4.88049351151717,3.75337379938822,4.1139206930901,3.00101954557001,4.79426486233534,4.21992877463518,5.08968133800091,3.01964006724584,3.03530051239928
6,0.102978478464632,1999.99999999998,1000,0.490625,20.113717625,0.382921436711089,-0.319288383668156,-0.257168040667662,0.00734670750214933,0.667120311552564,-0.0319001908025733,0.1286954759276,0.488128096232611,0.00431905469496815,0.0544255254602624,0.352748925421665,0.0127043189510928,0.065457468950759,0.451257955726664,0.325751028181887,1.15242118177868,-0.329141616581178,-0.0061802501948572,0.373345951491223,0.177837094228333,0.400100704693028,2.57129848630115,0.607874292661624,0.000860681727010889,-0.0166418155896431,-0.0109525866742817,0.00400748778573319,0.00118445477179314,0.62473148864616,0.12962482938812,0.264087264025567,0.36613125423979,0.044147492359101,0.198273736871675,0.047737131790445,0.164866952120279,0.0561012026166483,0.3069268222977,0.0646872406195828,0.268216200074634,0.0372708886963579,0.126520873547407,0.380888891515904,0.77616139468282,0.142310646110467,0.192401147347424,0.238074470322529,0.440803638679726,0.16328606736817,1.17316802991559,2.4582280587746,1.23735195778003,1.45253752434102,2.0298103199816,3.01675062088874,5.72086525185337,4.93689010479589,5.17305545561555,3.91336770358222,4.17590335530874,2.94207234214553,4.72076274857024,4.07829225510313,4.92291462125052,3.09497993539931,2.96286352871336
7,0.140177497780067,1999.99999999998,1000,0.479,20.4544057083333,0.39321590228436,-0.28682759456642,-0.237348030578477,0.00935065521174658,0.694671861099778,-0.0321083387409101,0.117494271052715,0.493017441596329,0.00588269920260883,0.0666763743223987,0.357359971554041,0.00226213183598847,0.0603603048648461,0.467192609134213,0.315329680527101,1.15613868725768,-0.340484771557727,-0.0244931270740306,0.37530933652659,0.169803195982344,0.385539160043803,2.57240478130661,0.632965210534677,0.00621794656445358,-0.0179845087545868,-0.0110080373338334,-0.000943039859276749,0.000996347353666798,0.608311296194438,0.127016872075565,0.261562792607452,0.355422184609268,0.0452981513399763,0.189494319185472,0.0475686873816181,0.163875335248442,0.0562323651752333,0.300062975569266,0.0633108803836835,0.269650999571876,0.0394467415435791,0.128065131262946,0.373110241590679,0.750492497450949,0.135891320709453,0.193556313171346,0.234460442319095,0.426450075343447,0.162871168811004,1.17219849028571,2.54090796746762,1.22972156750974,1.46575264271443,1.98901220810536,2.99446088450774,5.81853292490962,5.13146093232716,5.38698779722013,4.28172600603478,4.20644618309442,2.91918125184044,4.65086770379782,3.91984107455016,4.74516759622437,3.23449681046236,2.86650821137942
8,0.183296934251991,1999.99999999998,1000,0.483125,21.0072205416667,0.394570339901254,-0.250987951067454,-0.222576037323519,0.0139392602154253,0.720303880632261,-0.0300406535548319,0.107187799655076,0.491985258609762,0.00826078114946674,0.0815320843205883,0.358185612285858,-0.00760559385390279,0.0586675432032839,0.485198295114687,0.298123613978531,1.16193169454656,-0.347661038091917,-0.0356874680564397,0.377029382799539,0.163519615334658,0.374567565088045,2.5693589913703,0.665017284135479,0.00843532067636654,-0.0188095522525908,-0.011216919542613,-0.00470431923776614,0.00083172656447582,0.598953108924582,0.124376966007375,0.262075254594874,0.343675577779289,0.046153170253219,0.181058213569466,0.0471838163457173,0.163797998080743,0.0565211353120848,0.290837845923752,0.062503505242874,0.271750176847246,0.0412477437874881,0.131474953831526,0.364321778688857,0.725927321032733,0.130312635654844,0.193491882135102,0.232820195127141,0.417181333289634,0.16173530611197,1.14908143872475,2.62864839847311,1.2166396986575,1.47494040688917,1.95977518554734,2.97073414981282,5.87144473704445,5.33952110300038,5.50420066569091,4.73517928749495,4.19467725969884,2.90146637548794,4.55945713617407,3.79145704664184,4.6720763785103,3.35187361695207,2.76218017270215
9,0.233713413290767,1999.99999999998,1000,0.5115,21.55436025,0.389441442349389,-0.223468092623099,-0.213203099314587,0.0127775470386942,0.737877939807466,-0.0337013287692665,0.0977853022232499,0.489215996622951,0.0155489364614919,0.0894414629392539,0.3578176115392,-0.0130129543391923,0.0576795407976195,0.50151347042178,0.292394575531837,1.1694953927866,-0.352591313486636,-0.0419985790575695,0.37812276078415,0.162144459114705,0.372359262506459,2.56364627126448,0.701202969565773,0.00954834643090571,-0.0179845689578639,-0.012445489849953,-0.00725944924593586,0.000583401188221295,0.594280350411383,0.121741926165846,0.267227142261631,0.330632366985562,0.046578009499587,0.174308202663553,0.0464600331030136,0.162753807684319,0.0562563788270337,0.283541184494281,0.0612605287023122,0.272255368097059,0.0427391468565853,0.136423358624585,0.356222176913344,0.711657166326513,0.127591628820394,0.192140854079641,0.234030674929986,0.408746827786335,0.159997414147559,1.11569684935151,2.71809249279333,1.17317791760697,1.49020931920734,1.90815682930948,2.96654368647516,6.02941017639456,5.42709580772456,5.61939793485399,5.15802407074096,4.20526778689035,2.94543842375431,4.47864209756203,3.67433516695803,4.61059153532956,3.47115028901312,2.66303421543498
10,0.292986516293736,1999.99999999998,1000,0.527375,21.88146825,0.381408579047312,-0.19397449367779,-0.207201204975318,0.00909937714177489,0.750531726105838,-0.0402366478730383,0.0953715449190692,0.493156455335309,0.0221687358595336,0.0918872513747278,0.356371847464087,-0.0162295912155814,0.0572862784650056,0.515048502148419,0.308759220378534,1.17635692018682,-0.350636527610046,-0.0440964789329681,0.379755551513542,0.165864170810562,0.374412690936024,2.56228988511659,0.737191685931461,0.00983156382714719,-0.0157999714034516,-0.0149105183241324,-0.0055586994532789,-0.000173412951540749,0.592536024700407,0.1196837437603,0.274426499923988,0.318278606419964,0.0470285188725607,0.168066262851205,0.0456654929846589,0.161171615007868,0.0556598094797045,0.278563789665344,0.0596868245908194,0.269175838498653,0.0438432072054227,0.141662597836794,0.350547381509991,0.706617232689996,0.128401670225645,0.189239881982949,0.236830112426215,0.399022845234623,0.156987695763681,1.07343803499635,2.79645113783971,1.11708102016394,1.50952116085369,1.84493554508817,2.97527411621268,6.17753207793895,5.50936855421543,5.75725207385812,5.53412475519741,4.20268511066365,3.01107851326843,4.37527305688422,3.57573058957567,4.53132603397932,3.6166343390791,2.63833949526329
