param,rhat,means_by_seed_1,means_by_seed_2,means_by_seed_3
gamma1,1.69581620489441,0.608781502147564,0.518899605716473,0.489565692664659
gamma2,3.34417405994571,-0.162996101152579,-0.242141212389019,-0.332991990418262
xi1,1.81919344722918,-0.247676917140573,-0.129310709567971,-0.207096740253416
xi2,2.66763267226508,0.0458178420987808,-0.188150505239699,0.00345873690441199
rhoU,1.41660430892369,0.900978939973649,0.808115540313347,0.875973652722416
theta1,2.74045852297088,-0.118610606214064,-0.023514095710694,0.212954183367533
theta2,1.95310313259376,0.0952297436230005,0.145543007785065,-0.0530023573633241
rhopr,1.51674066501801,0.684741677585327,0.833571378963987,0.623376797860864
lam1,2.72479930578771,0.130923955588711,0.546659181595502,0.281225520975559
lam2,3.16995456073795,0.00890845609744456,-0.458374259328204,-0.0441666724213853
rhohpp,5.30498215148028,0.16091496600164,0.893960710459793,0.57517556174407
chi1,1.26652465968267,0.0167617356407345,-0.00138241540607335,0.0355152962812203
chi2,1.06607835025479,0.00550190112008328,0.0184307328011435,0.0203203427895616
rhok,2.78325584164126,0.459275822049933,0.356545521100897,0.814816072439972
rhow,1.12092446091792,0.888087656534965,0.826333367128127,0.878222602167182
phisum,1.98467735406403,0.89844565203074,0.873005333008988,0.648126628360638
phi2,1.59691316581847,-0.214199066591276,-0.144480367476214,0.018273290843168
nu,2.04478495468355,-0.0754462471958715,-0.0234633388926971,-0.0897993703782899
alpha,1.58542242821009,0.359282176189701,0.34704133590635,0.329242906688061
gzbar,2.57204112769247,0.353534065357822,0.381780222209284,0.219048496867828
gwbar,2.52290003481978,0.297521915520924,0.144028443449305,0.331882353574826
pistar,1.01240925258866,2.46333603179288,2.43129566520592,2.44341548468413
alphapi,1.9016524300517,0.145884558341631,0.28558763652722,0.205415388211783
phiy,2.35220728102177,-0.0365127012865067,-0.084082433710781,-0.0607285644985479
phiu,1.76364504342812,-0.0099987880792989,-0.00985697967836412,-0.0204302513180447
phipr,2.30387400657289,-0.00882772011448304,-0.0310807772012988,0.00884312142918911
phihpp,1.16312066277874,0.0230678074663013,0.0238293864308399,0.0111894968174865
phik,1.24379628372936,-0.00223551276914585,-0.00360955178453328,0.00158970416576759
sig_c,4.16541381026468,0.438893111705481,0.355963122588155,0.628420485471162
sig_Ustar,2.86485458238814,0.0937967830717424,0.119794459986599,0.15611476498052
